dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,,,,,,,,,,,,,,,,
Audiocaps,204,,,,,,,,,,,,,,,,
Audiocaps,2253,,,,,,,,,,,,,,,,
Audiocaps,2006,,,,,,,,,,,,,,,,
Audiocaps,1828,,,,,,,,,,,,,,,,
Audiocaps,1143,,,,,,,,,,,,,,,,
Audiocaps,839,,,,,,,,,,,,,,,,
Audiocaps,4467,,,,,,,,,,,,,,,,
Audiocaps,712,,,,,,,,,,,,,,,,
Audiocaps,3456,,,,,,,,,,,,,,,,
Audiocaps,260,,,,,,,,,,,,,,,,
Audiocaps,244,,,,,,,,,,,,,,,,
Audiocaps,767,,,,,,,,,,,,,,,,
Audiocaps,1791,,,,,,,,,,,,,,,,
Audiocaps,1905,,,,,,,,,,,,,,,,
Audiocaps,4139,,,,,,,,,,,,,,,,
Audiocaps,217,,,,,,,,,,,,,,,,
Audiocaps,4597,,,,,,,,,,,,,,,,
Audiocaps,1628,,,,,,,,,,,,,,,,
Audiocaps,4464,,,,,,,,,,,,,,,,
Audiocaps,3436,,,,,,,,,,,,,,,,
Audiocaps,1805,,,,,,,,,,,,,,,,
Audiocaps,3679,,,,,,,,,,,,,,,,
Audiocaps,2278,,,,,,,,,,,,,,,,
Audiocaps,53,,,,,,,,,,,,,,,,
Audiocaps,1307,,,,,,,,,,,,,,,,
Audiocaps,3462,,,,,,,,,,,,,,,,
Audiocaps,2787,,,,,,,,,,,,,,,,
Audiocaps,2276,,,,,,,,,,,,,,,,
Audiocaps,1273,,,,,,,,,,,,,,,,
Audiocaps,1763,,,,,,,,,,,,,,,,
Audiocaps,2757,,,,,,,,,,,,,,,,
Audiocaps,837,,,,,,,,,,,,,,,,
Audiocaps,759,,,,,,,,,,,,,,,,
Audiocaps,3112,,,,,,,,,,,,,,,,
Audiocaps,792,,,,,,,,,,,,,,,,
Audiocaps,2940,,,,,,,,,,,,,,,,
Audiocaps,2817,,,,,,,,,,,,,,,,
Audiocaps,2166,,,,,,,,,,,,,,,,
Audiocaps,355,,,,,,,,,,,,,,,,
Audiocaps,3763,,,,,,,,,,,,,,,,
Audiocaps,4392,,,,,,,,,,,,,,,,
Audiocaps,1022,,,,,,,,,,,,,,,,
Audiocaps,3100,,,,,,,,,,,,,,,,
Audiocaps,645,,,,,,,,,,,,,,,,
Audiocaps,4522,,,,,,,,,,,,,,,,
Audiocaps,2401,,,,,,,,,,,,,,,,
Audiocaps,2962,,,,,,,,,,,,,,,,
Audiocaps,4729,,,,,,,,,,,,,,,,
Audiocaps,1575,,,,,,,,,,,,,,,,
Audiocaps,569,,,,,,,,,,,,,,,,
Audiocaps,375,,,,,,,,,,,,,,,,
Audiocaps,1866,,,,,,,,,,,,,,,,
Audiocaps,2370,,,,,,,,,,,,,,,,
Audiocaps,653,,,,,,,,,,,,,,,,
Audiocaps,1907,,,,,,,,,,,,,,,,
Audiocaps,827,,,,,,,,,,,,,,,,
Audiocaps,3113,,,,,,,,,,,,,,,,
Audiocaps,2277,,,,,,,,,,,,,,,,
Audiocaps,3714,,,,,,,,,,,,,,,,
Audiocaps,2988,,,,,,,,,,,,,,,,
Audiocaps,1332,,,,,,,,,,,,,,,,
Audiocaps,3032,,,,,,,,,,,,,,,,
Audiocaps,2910,,,,,,,,,,,,,,,,
Audiocaps,1716,,,,,,,,,,,,,,,,
Audiocaps,2187,,,,,,,,,,,,,,,,
Audiocaps,584,,,,,,,,,,,,,,,,
Audiocaps,1401,,,,,,,,,,,,,,,,
Audiocaps,4375,,,,,,,,,,,,,,,,
Audiocaps,2005,,,,,,,,,,,,,,,,
Audiocaps,1338,,,,,,,,,,,,,,,,
Audiocaps,3786,,,,,,,,,,,,,,,,
Audiocaps,3108,,,,,,,,,,,,,,,,
Audiocaps,2211,,,,,,,,,,,,,,,,
Audiocaps,4562,,,,,,,,,,,,,,,,
Audiocaps,1799,,,,,,,,,,,,,,,,
Audiocaps,2656,,,,,,,,,,,,,,,,
Audiocaps,458,,,,,,,,,,,,,,,,
Audiocaps,1876,,,,,,,,,,,,,,,,
Audiocaps,262,,,,,,,,,,,,,,,,
Audiocaps,2584,,,,,,,,,,,,,,,,
Audiocaps,3286,,,,,,,,,,,,,,,,
Audiocaps,2193,,,,,,,,,,,,,,,,
Audiocaps,542,,,,,,,,,,,,,,,,
Audiocaps,1728,,,,,,,,,,,,,,,,
Audiocaps,4646,,,,,,,,,,,,,,,,
Audiocaps,2577,,,,,,,,,,,,,,,,
Audiocaps,1741,,,,,,,,,,,,,,,,
Audiocaps,4089,,,,,,,,,,,,,,,,
Audiocaps,3241,,,,,,,,,,,,,,,,
Audiocaps,3758,,,,,,,,,,,,,,,,
Audiocaps,1170,,,,,,,,,,,,,,,,
Audiocaps,2169,,,,,,,,,,,,,,,,
Audiocaps,2020,,,,,,,,,,,,,,,,
Audiocaps,4598,,,,,,,,,,,,,,,,
Audiocaps,4415,,,,,,,,,,,,,,,,
Audiocaps,2152,,,,,,,,,,,,,,,,
Audiocaps,4788,,,,,,,,,,,,,,,,
Audiocaps,3509,,,,,,,,,,,,,,,,
Audiocaps,4780,,,,,,,,,,,,,,,,
