dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-7.608729362487793,-14.325623512268066,-20.579017639160156,-29.362571716308594,-8.314047813415527,-20.333189010620117,-20.579010009765625,-29.373153686523438,2.256894111633301,-24.191246032714844,-10.775847434997559,-39.234670639038086,1.267679214477539,-30.21803855895996,-10.775803565979004,-39.24525547027588
VGGSound,114,-2.1853885650634766,-6.754594802856445,-39.11180877685547,-34.769378662109375,-24.167285919189453,-12.430292129516602,-39.110877990722656,-34.7696647644043,4.248844623565674,-13.188827991485596,-32.662879943847656,-41.20027160644531,-17.79420280456543,-18.880149841308594,-32.66192674636841,-41.20055961608887
VGGSound,25,-6.514222621917725,-2.440762758255005,-33.046905517578125,-25.843231201171875,-18.17466926574707,-7.683022975921631,-33.047279357910156,-25.84014129638672,-6.241106033325195,-2.713879406452179,-32.78351053595543,-26.12244102358818,-17.941436395049095,-7.998132526874542,-32.782360911369324,-26.12095680832863
VGGSound,759,-6.821079254150391,-3.143932580947876,-44.398780822753906,-67.45077514648438,-24.063182830810547,-21.389053344726562,-44.398399353027344,-67.45247650146484,-2.913753032684326,-7.0512590408325195,-40.5171217918396,-71.36856007575989,-20.22667908668518,-25.328294277191162,-40.516743421554565,-71.37026119232178
VGGSound,281,-1.4284204244613647,-4.597315311431885,-37.965511322021484,-38.161617279052734,-18.437284469604492,-23.46613311767578,-37.96514892578125,-38.16096496582031,-8.500883936882019,2.4751477241516113,-45.01421356201172,-30.966617107391357,-25.50557231903076,-16.349949836730957,-45.01384401321411,-30.965993404388428
VGGSound,250,-0.6708518266677856,-0.811823844909668,-44.273380279541016,-33.308868408203125,-22.347719192504883,-17.378646850585938,-40.78391647338867,-33.30889129638672,-5.251144051551819,3.7684683799743652,-48.67576742172241,-28.92460298538208,-26.956547260284424,-12.835850715637207,-45.36917972564697,-28.742855548858643
VGGSound,228,-5.561628818511963,-6.888375282287598,-54.267295837402344,-41.063316345214844,-23.1405086517334,-12.609379768371582,-54.021339416503906,-41.06332778930664,-1.3255128860473633,-11.124491214752197,-50.002047061920166,-45.288516998291016,-18.918699741363525,-16.843201160430908,-49.75612115859985,-45.28849411010742
VGGSound,142,-6.364560127258301,-2.8500983715057373,-57.508819580078125,-29.008028030395508,-14.501483917236328,-19.698131561279297,-57.51876449584961,-29.007976531982422,2.6724424362182617,-11.8871009349823,-48.47173881530762,-38.045023918151855,-5.599681854248047,-28.749320030212402,-48.48169136047363,-38.04496955871582
VGGSound,754,-1.4459013938903809,-6.969022750854492,-47.52404022216797,-41.309898376464844,-24.18329429626465,-9.42038345336914,-47.52238845825195,-41.30975341796875,3.2496109008789062,-11.664535522460938,-42.7739520072937,-45.98697757720947,-19.46966552734375,-14.117976665496826,-42.77229976654053,-45.986830711364746
VGGSound,104,-2.3320541381835938,-0.30644121766090393,-26.102699279785156,-43.61196517944336,-12.50849723815918,-12.372207641601562,-26.10262680053711,-43.611793518066406,3.528646469116211,-6.167142301797867,-20.2450213432312,-49.473440170288086,-6.679845809936523,-18.24238681793213,-20.244948387145996,-49.473278522491455
