dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-0.36269599199295044,-0.29594695568084717,-34.55585479736328,-33.71258544921875,-24.405384063720703,-11.99600601196289,-34.5566520690918,-33.71257019042969,-0.40472492203116417,-0.25391795113682747,-34.598578941076994,-33.671258971095085,-24.47039247304201,-11.980742886662483,-34.599374670535326,-33.67124371230602
Audiocaps,204,-0.2533580958843231,-0.7280725836753845,-56.863365173339844,-30.588764190673828,-25.147512435913086,-11.759517669677734,-56.86116027832031,-30.588756561279297,0.5258682668209076,-1.5072989463806152,-56.079130709171295,-31.363807022571564,-24.3885435461998,-12.559129118919373,-56.07692551612854,-31.363797664642334
Audiocaps,2253,-1.635920524597168,-0.5364625453948975,-35.875858306884766,-46.199337005615234,-18.274703979492188,-22.315227508544922,-35.87580871582031,-46.21205139160156,-1.6012490577995777,-0.571134191006422,-35.85112411342561,-46.2435937076807,-18.275846379227005,-22.385130859911442,-35.85093263909221,-46.25643928349018
Audiocaps,2006,-0.33589547872543335,-0.2611621916294098,-51.932838439941406,-33.09856414794922,-22.50168800354004,-16.45685577392578,-51.93470764160156,-33.09839630126953,-0.33658295567147434,-0.2604748648009263,-51.92509941011667,-33.08944686502218,-22.537643510848284,-16.47871882468462,-51.926968093030155,-33.08928005583584
Audiocaps,1828,-0.8752819895744324,-0.12157414853572845,-49.311492919921875,-36.6406364440918,-19.07992172241211,-18.217313766479492,-49.311378479003906,-36.64067840576172,-1.0234736651182175,0.026617586612701416,-49.424533635377884,-36.45606888830662,-19.236417204141617,-18.071649208664894,-49.42441767454147,-36.45611056685448
Audiocaps,1143,-0.21084584295749664,-0.8879243731498718,-59.40660858154297,-45.93506622314453,-24.832170486450195,-20.914199829101562,-59.40876770019531,-45.935062408447266,-0.22062851302325726,-0.8781414087861776,-59.41571502946317,-45.9246063195169,-24.8666998334229,-20.929244186729193,-59.417872599326074,-45.92460250481963
Audiocaps,839,-0.4453352689743042,-0.28906142711639404,-58.43769454956055,-39.996761322021484,-26.118099212646484,-23.05561065673828,-58.43319320678711,-40.01054763793945,-0.47161373123526573,-0.26278289407491684,-58.5700738877058,-40.07720762491226,-26.274617820978165,-23.193829372525215,-58.565572544932365,-40.091004610061646
Audiocaps,4467,-3.999796152114868,-0.02666737139225006,-21.33917999267578,-55.58425521850586,-10.418331146240234,-25.323484420776367,-21.33917999267578,-55.584564208984375,-4.074381299316883,0.04791761934757233,-21.413841977715492,-55.50975001603365,-10.505462981760502,-25.25619202107191,-21.413843512535095,-55.510059006512165
Audiocaps,712,-0.4034527540206909,-0.7577937841415405,-38.79402542114258,-42.664188385009766,-15.157793998718262,-17.323305130004883,-38.79433059692383,-42.66413879394531,-0.3570840321481228,-0.8041623756289482,-38.71441424638033,-42.67766956053674,-15.102905955165625,-17.359389532357454,-38.7147191464901,-42.677620485424995
Audiocaps,3456,-0.8407005667686462,-0.20330218970775604,-36.76345443725586,-34.606689453125,-22.866329193115234,-6.156013488769531,-36.763423919677734,-34.606266021728516,-1.1775314211845398,0.13352836668491364,-37.1826514005661,-34.35862699151039,-23.312642335891724,-5.9522054344415665,-37.1825310587883,-34.35828222334385
Audiocaps,260,-0.16289019584655762,-0.47946345806121826,-41.85002136230469,-25.106971740722656,-21.653732299804688,-14.517995834350586,-41.850372314453125,-25.106956481933594,-0.1753844479098916,-0.46696924325078726,-41.88092101365328,-25.112935395445675,-21.704315152019262,-14.546526236459613,-41.8812735080719,-25.112919619306922
Audiocaps,244,-0.5420117378234863,-0.19593626260757446,-42.820072174072266,-48.313018798828125,-20.165613174438477,-19.79520034790039,-42.82065963745117,-48.312740325927734,-0.4797356128692627,-0.2582124210894108,-42.77855282649398,-48.39575859904289,-20.13851250335574,-19.89033268392086,-42.77914107218385,-48.3954785913229
Audiocaps,767,-0.10953586548566818,-0.37027209997177124,-49.60804748535156,-31.999189376831055,-23.06560516357422,-11.922121047973633,-49.608970642089844,-31.999191284179688,-0.1206004349514842,-0.35920755565166473,-49.61901806946844,-31.988030625507236,-23.10433980822563,-11.958838816732168,-49.61994122620672,-31.988031236454844
Audiocaps,1791,-1.6090584993362427,-0.0758916363120079,-51.49398422241211,-45.01077651977539,-28.675071716308594,-20.776845932006836,-51.49306869506836,-45.011375427246094,-1.7278361916542053,0.042886100709438324,-51.61467877775431,-44.893969148397446,-28.811513409018517,-20.66632589697838,-51.61376425623894,-44.89456858485937
Audiocaps,1905,-0.3328274190425873,-0.5911145210266113,-63.579288482666016,-72.16610717773438,-25.442222595214844,-25.510669708251953,-63.57259750366211,-72.16201782226562,-1.7006233632564545,0.7766814231872559,-64.95147013664246,-70.80431938171387,-26.836713552474976,-24.169419288635254,-64.94477963447571,-70.80023074150085
Audiocaps,4139,-0.24970585107803345,-0.2340032309293747,-49.78059768676758,-53.32697296142578,-24.3056640625,-13.168648719787598,-49.791595458984375,-53.3270263671875,-0.6636864542961121,0.17997758090496063,-50.19292834401131,-52.911258548498154,-24.74583876132965,-12.788687378168106,-50.203964710235596,-52.9112743139267
Audiocaps,217,-5.491425514221191,-0.7365210056304932,-21.762332916259766,-40.215572357177734,-10.22985553741455,-20.868549346923828,-21.762258529663086,-40.214683532714844,-5.4902498732553795,-0.7376965872244909,-21.74900970235467,-40.20460357517004,-10.235656486358494,-20.885891245678067,-21.748934796079993,-40.20371293462813
