dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-1.9551669359207153,-0.23004786670207977,-34.018619537353516,-25.314542770385742,-21.613967895507812,-8.991843223571777,-34.018550872802734,-25.3215389251709,-2.019980311393738,-0.1652343049645424,-34.18355667591095,-25.351241644471884,-21.91828215122223,-9.130592048168182,-34.183441162109375,-25.358290676027536
Audioset,912,-1.3757036924362183,-0.3740997314453125,-12.611949920654297,-25.65233612060547,-8.249025344848633,-11.759305000305176,-12.611918449401855,-25.652196884155273,-1.381788325496018,-0.3680153749883175,-12.724398910999298,-25.752765245735645,-8.478428065776825,-11.978938832879066,-12.72437147051096,-25.75262702256441
Audioset,204,-2.5069942474365234,-0.9454147815704346,-16.411300659179688,-35.68989562988281,-8.16616153717041,-15.217707633972168,-16.41260528564453,-35.69093322753906,-2.5976351127028465,-0.8547738417983055,-16.287479132413864,-35.38014695048332,-8.150008456781507,-15.199590384960175,-16.288786955177784,-35.38119149208069
Audioset,2253,-0.7875903844833374,-0.13675643503665924,-22.63980484008789,-21.44127655029297,-8.151989936828613,-7.002449989318848,-22.639793395996094,-21.44287109375,-0.6827150285243988,-0.24163202941417694,-22.48387137055397,-21.496318623423576,-8.125933915376663,-7.183306232094765,-22.483859658241272,-21.49791418761015
Audioset,2006,-0.2845194339752197,-0.43297863006591797,-37.69427490234375,-37.457950592041016,-15.673774719238281,-8.270201683044434,-37.694236755371094,-37.45914077758789,1.0769187211990356,-1.7944164276123047,-36.32572782039642,-38.81418824195862,-14.392695903778076,-9.71421205997467,-36.32568562030792,-38.81538188457489
Audioset,1828,-10.543475151062012,-15.346465110778809,-27.47991943359375,-45.823753356933594,-9.555974006652832,-15.32515811920166,-27.482799530029297,-45.82919692993164,-10.523847611621022,-15.366092475131154,-27.581945337355137,-45.96454603970051,-9.8152576982975,-15.67512172460556,-27.58486184477806,-45.96997006237507
Audioset,1143,-4.412594318389893,-2.597388982772827,-38.48533248901367,-39.05152893066406,-16.443065643310547,-13.36630630493164,-38.486083984375,-39.07744598388672,-4.409154523164034,-2.600828900700435,-38.347608625888824,-38.92079581320286,-16.431899438612163,-13.40019128844142,-38.34832939505577,-38.94667951762676
Audioset,839,-21.15380859375,-17.097187042236328,-22.810447692871094,-26.648048400878906,-7.51827335357666,-11.084776878356934,-22.817842483520508,-26.64773941040039,-21.122825175523758,-17.128170484676957,-22.77303111180663,-26.685512121766806,-7.521143153775483,-11.131851151585579,-22.78621766716242,-26.67808642424643
Audioset,4467,-7.324390888214111,-0.8011847734451294,-27.23293685913086,-40.53133010864258,-11.960786819458008,-16.817861557006836,-27.232858657836914,-40.53133010864258,-7.271517418324947,-0.8540583066642284,-27.207769442349672,-40.61158786714077,-12.039671517908573,-17.005768969655037,-27.207696188241243,-40.6115807518363
Audioset,712,-0.5731845498085022,-0.2381216138601303,-25.74273109436035,-34.644832611083984,-8.276762962341309,-16.660667419433594,-25.745954513549805,-34.64505386352539,-0.4363201856613159,-0.37498608231544495,-25.5693137049675,-34.74628248810768,-8.181082628667355,-16.890053033828735,-25.572539284825325,-34.74650424718857
