dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-0.1483170986175537,-0.5756456255912781,-39.60240936279297,-51.98775100708008,-20.06405258178711,-14.784156799316406,-39.607975006103516,-51.982666015625,-0.6065123379230499,-0.11745044589042664,-40.05764150619507,-51.52629569172859,-20.558859318494797,-14.37005165219307,-40.06320485472679,-51.52117672562599
ESC50,228,-1.4108397960662842,-0.1282825469970703,-29.012191772460938,-43.57908630371094,-20.47352409362793,-6.816540718078613,-29.01188087463379,-43.579559326171875,-1.4305923953652382,-0.10852967016398907,-29.29254186153412,-43.821083188056946,-20.84599095582962,-7.169355094432831,-29.292214453220367,-43.82153958082199
ESC50,51,-1.3271042108535767,-2.2556657791137695,-32.679405212402344,-27.855546951293945,-17.9940128326416,-4.680229663848877,-32.668304443359375,-27.855531692504883,-1.9217469096183777,-1.6610229015350342,-33.26541668176651,-27.251012086868286,-18.620194971561432,-4.121093392372131,-33.25432950258255,-27.251004815101624
ESC50,1518,-18.509309768676758,-8.241355895996094,-61.943668365478516,-47.42795181274414,-21.03252410888672,-23.788177490234375,-61.187217712402344,-47.442588806152344,-17.093838453292847,-9.656827211380005,-60.54731094837189,-48.86163592338562,-19.64952301979065,-25.253607869148254,-59.793006896972656,-48.873416781425476
ESC50,563,-9.673160552978516,-2.0619986057281494,-25.271944046020508,-44.231441497802734,-13.969844818115234,-18.204830169677734,-25.271961212158203,-44.231204986572266,-9.69948430173099,-2.0356750171631575,-25.257891658693552,-44.164525143802166,-14.015182871371508,-18.179614366963506,-25.257929341867566,-44.164280228316784
ESC50,501,-3.2502312660217285,-0.13352201879024506,-9.785993576049805,-23.33827018737793,-6.49331521987915,-13.290328025817871,-9.787022590637207,-23.33823585510254,-3.2601880123838782,-0.12356522493064404,-9.829269297420979,-23.36176018975675,-6.552377760410309,-13.358632288873196,-9.83035572245717,-23.361733065918088
ESC50,457,-0.1762138307094574,-0.7190755605697632,-44.839195251464844,-24.234928131103516,-20.510190963745117,-10.294010162353516,-44.88678741455078,-24.23494529724121,-0.1724071844946593,-0.7228822354227304,-44.85281680803746,-24.256165772676468,-20.577005818486214,-10.351655654609203,-44.90041826106608,-24.256175212562084
ESC50,285,-5.944330215454102,-4.767899036407471,-39.76579666137695,-18.744285583496094,-13.472803115844727,-11.881144523620605,-39.76582717895508,-18.744300842285156,-5.569000989198685,-5.143228441476822,-39.4262355864048,-19.152434706687927,-13.167748421430588,-12.359142392873764,-39.426266103982925,-19.15244996547699
ESC50,1508,-0.775988757610321,-0.2291053682565689,-49.98881149291992,-24.60187339782715,-21.136409759521484,-12.68294620513916,-49.9874153137207,-24.60196876525879,0.5127490162849426,-1.517843022942543,-48.803826212882996,-25.967960357666016,-20.02206778526306,-14.0852872133255,-48.80242967605591,-25.968055725097656
ESC50,209,-0.2844443619251251,-0.13892801105976105,-37.472965240478516,-43.364498138427734,-22.513973236083984,-18.000398635864258,-37.47431945800781,-43.51839828491211,-0.35655348747968674,-0.06681906431913376,-37.52109295129776,-43.26790091395378,-22.596494682133198,-17.950500182807446,-37.522406209260225,-43.42186298966408
