dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-1.7667006254196167,-0.514300525188446,-24.264556884765625,-20.153963088989258,-11.407278060913086,-13.233282089233398,-24.26458740234375,-20.15394401550293,-1.75760227907449,-0.5233992245048285,-24.26145386090502,-20.16904237680137,-11.42187683377415,-13.27379747852683,-24.261481010820717,-20.169020725414157
Music,204,-0.6867814064025879,-0.9637301564216614,-40.43199920654297,-39.24760437011719,-18.178022384643555,-20.476850509643555,-40.43174362182617,-39.24764633178711,-0.6848076705355197,-0.9657037719152868,-40.40531203895807,-39.22487536072731,-18.163886428810656,-20.51882143318653,-40.405056193470955,-39.22491758130491
Music,2253,-1.0314990282058716,-0.12548117339611053,-19.185543060302734,-26.76807403564453,-10.35844612121582,-12.577888488769531,-19.185827255249023,-26.768085479736328,-1.0302889494923875,-0.12669091508723795,-19.172832588665187,-26.757842730730772,-10.349294197745621,-12.573263290338218,-19.173144303262234,-26.757826671004295
Music,2006,-1.8630104064941406,-0.08955076336860657,-29.03707504272461,-24.575349807739258,-9.885152816772461,-13.214980125427246,-29.0371036529541,-24.575349807739258,-1.8641626968747005,-0.08839868498034775,-29.05890305712819,-24.594878731295466,-9.92805289849639,-13.264410898089409,-29.058929607272148,-24.594880279153585
Music,1828,-1.4586673974990845,-0.36259129643440247,-26.681293487548828,-26.774669647216797,-16.901002883911133,-16.42208480834961,-26.681299209594727,-26.774658203125,-1.4589826771407388,-0.36227625276660547,-26.68406395544298,-26.776808336842805,-16.92294129729271,-16.43602709658444,-26.68406967748888,-26.77679689275101
Music,1143,-1.4732731580734253,-0.24720004200935364,-47.77294158935547,-39.28691482543945,-15.39527416229248,-18.122861862182617,-47.75917053222656,-39.270912170410156,-1.4728638816450257,-0.24760953872464597,-47.7546184360981,-39.26817026734352,-15.39990135235712,-18.14485678821802,-47.740443132817745,-39.2530031055212
Music,839,-1.176015853881836,-0.42152953147888184,-30.17398452758789,-14.961992263793945,-17.364566802978516,-3.2655222415924072,-30.17403793334961,-14.961992263793945,-1.1754784279037267,-0.42206689092563465,-30.258322037756443,-15.047394923865795,-17.458425015211105,-3.376399055123329,-30.25837544351816,-15.047394923865795
Music,4467,-13.822487831115723,-0.2495158612728119,-33.005863189697266,-19.405208587646484,-14.230517387390137,-12.82863712310791,-33.013038635253906,-19.40520477294922,-13.82221679657232,-0.24978713775635697,-32.99503999296576,-19.395829818211496,-14.226088866591454,-12.883647333830595,-33.00272170454264,-19.395430371165276
Music,712,-1.1320793628692627,-0.07553866505622864,-34.96068572998047,-42.33412170410156,-17.087268829345703,-14.055811882019043,-34.960601806640625,-42.3341178894043,-1.1341337049379945,-0.07348412764258683,-35.16104815900326,-42.53046694397926,-17.347312182188034,-14.405089795589447,-35.160962760448456,-42.530463129282
Music,4837,-1.8018252849578857,-0.10376251488924026,-34.058223724365234,-32.80308151245117,-14.069637298583984,-15.989581108093262,-34.058223724365234,-32.80295944213867,-1.8022529001173098,-0.10333459876710549,-34.07668977044523,-32.820695316419005,-14.105571273714304,-16.018025742843747,-34.07669183425605,-32.820573246106505
