dataset_name,idx,lambda,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,0,-0.20320101082324982,-13.888492584228516,-47.97610855102539,-33.83201217651367,-18.025020599365234,-16.15804100036621,-47.976226806640625,-33.836181640625,-0.2680143862962723,-13.823679022490978,-48.141045689582825,-33.86871105059981,-18.32933485507965,-16.296789824962616,-48.141117095947266,-33.87293339148164
ESC50,1309,0,-1.3606075048446655,-1.411804437637329,-23.240615844726562,-50.91975021362305,-14.862306594848633,-10.371289253234863,-23.241191864013672,-50.91630554199219,-1.8188027441501617,-0.9536092579364777,-23.695847988128662,-50.45829489827156,-15.35711333155632,-9.957184106111526,-23.696421712636948,-50.45481625199318
VGGSound,142,0,-1.9652087688446045,-16.237804412841797,-26.910018920898438,-39.58291244506836,-11.369830131530762,-25.344825744628906,-26.91023063659668,-39.581974029541016,7.071793794631958,-25.27480697631836,-17.87293815612793,-48.61990833282471,-2.4680280685424805,-34.39601421356201,-17.873157501220703,-48.618967056274414
Audioset,5238,1,-13.738744735717773,-5.695504188537598,-24.522428512573242,-64.08323669433594,-12.932806015014648,-18.62129783630371,-24.522724151611328,-64.81245422363281,-13.803558111190796,-5.63069062680006,-24.687365651130676,-64.11993556842208,-13.237120270729065,-18.760046660900116,-24.68761444091797,-64.84920597448945
ESC50,1309,1,-10.992162704467773,-2.810168504714966,-37.335784912109375,-45.80988693237305,-14.558170318603516,-10.101316452026367,-37.32732009887695,-45.80900192260742,-11.45035794377327,-2.3519733250141144,-37.791017055511475,-45.34843161702156,-15.052977055311203,-9.68721130490303,-37.78254994750023,-45.347512632608414
VGGSound,142,1,-27.281211853027344,-7.155031204223633,-57.12334060668945,-26.788936614990234,-25.546403884887695,-16.702268600463867,-57.05280303955078,-26.789348602294922,-18.24420928955078,-16.192033767700195,-48.086259841918945,-35.82593250274658,-16.644601821899414,-25.753457069396973,-48.015729904174805,-35.82634162902832
Audioset,5238,2,-10.27474594116211,-2.0378170013427734,-25.55805015563965,-57.52088165283203,-17.93889045715332,-17.523773193359375,-25.55840492248535,-57.58491134643555,-10.339559316635132,-1.973003439605236,-25.722987294197083,-57.55758052691817,-18.243204712867737,-17.66252201795578,-25.723295211791992,-57.621663097292185
ESC50,1309,2,-8.496898651123047,-1.0987646579742432,-22.151226043701172,-37.58582305908203,-11.52218246459961,-11.23685073852539,-22.151823043823242,-37.584800720214844,-8.955093890428543,-0.6405694782733917,-22.60645818710327,-37.124367743730545,-12.016989201307297,-10.822745591402054,-22.607052892446518,-37.123311430215836
VGGSound,142,2,-1.9885836839675903,-16.073930740356445,-40.62189483642578,-37.98873519897461,-14.585983276367188,-21.606605529785156,-40.616493225097656,-37.999027252197266,7.048418879508972,-25.110933303833008,-31.584814071655273,-47.02573108673096,-5.684181213378906,-30.65779399871826,-31.57942008972168,-47.036020278930664
Audioset,5238,3,-3.0170040130615234,-0.005624779034405947,-36.245609283447266,-38.281063079833984,-19.715200424194336,-18.456966400146484,-36.245872497558594,-38.28754425048828,-3.081817388534546,0.05918878270313144,-36.4105464220047,-38.317761953920126,-20.019514679908752,-18.59571522474289,-36.410762786865234,-38.32429600134492
