dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-14.171490669250488,-13.961776733398438,-45.398963928222656,-51.894386291503906,-25.435285568237305,-23.172855377197266,-45.39519500732422,-51.901405334472656,-14.213519599288702,-13.919747728854418,-45.44168807193637,-51.85305981338024,-25.500293977558613,-23.157592251896858,-45.43791760876775,-51.86007885634899
Audiocaps,204,-8.159542083740234,-7.7464752197265625,-53.75667190551758,-40.695411682128906,-25.19004249572754,-21.768678665161133,-53.792640686035156,-40.70577621459961,-7.380315721035004,-8.525701582431793,-52.97243744134903,-41.47045451402664,-24.43107360601425,-22.56829011440277,-53.008405923843384,-41.48081731796265
Audiocaps,2253,-12.654742240905762,-12.338607788085938,-60.62968444824219,-47.45425796508789,-22.3079833984375,-22.526437759399414,-60.69316101074219,-48.14500427246094,-12.620070774108171,-12.373279433697462,-60.604950254783034,-47.49851466715336,-22.309125798172317,-22.596341110765934,-60.66828493401408,-48.189392164349556
Audiocaps,2006,-9.095300674438477,-8.972537994384766,-56.04820251464844,-50.20728302001953,-21.828536987304688,-15.742874145507812,-56.04154968261719,-50.214481353759766,-9.095988151384518,-8.971850667556282,-56.040463484823704,-50.198165737092495,-21.864492494612932,-15.764737196266651,-56.03381013404578,-50.20536510832608
Audiocaps,1828,-7.900440692901611,-7.2050957679748535,-39.735992431640625,-38.39783477783203,-24.239837646484375,-21.990901947021484,-39.736366271972656,-38.397640228271484,-8.048632368445396,-7.056904032826424,-39.849033147096634,-38.21326722204685,-24.396333128213882,-21.845237389206886,-39.84940546751022,-38.21307238936424
Audiocaps,1143,-12.255359649658203,-12.194463729858398,-48.24700164794922,-53.179508209228516,-25.51216697692871,-23.168045043945312,-48.272796630859375,-53.198299407958984,-12.265142319723964,-12.184680765494704,-48.25610809586942,-53.16904830560088,-25.546696323901415,-23.183089401572943,-48.28190152999014,-53.18783950433135
Audiocaps,839,-3.597421646118164,-3.5075254440307617,-47.94742965698242,-55.29159164428711,-27.495466232299805,-26.34849739074707,-47.97256088256836,-55.321903228759766,-3.6237001083791256,-3.4812469109892845,-48.07980899512768,-55.37203794717789,-27.651984840631485,-26.486716106534004,-48.104940220713615,-55.40236020088196
Audiocaps,4467,-13.037836074829102,-13.71147346496582,-49.551700592041016,-48.20923614501953,-22.802471160888672,-21.02649688720703,-49.558998107910156,-48.21754837036133,-13.112421222031116,-13.636888474225998,-49.62636257708073,-48.13473094254732,-22.88960299640894,-20.959204487502575,-49.63366162776947,-48.14304316788912
Audiocaps,712,-20.70631980895996,-19.946063995361328,-51.07292556762695,-47.23797607421875,-24.21550178527832,-21.145240783691406,-51.06729507446289,-47.237972259521484,-20.659951087087393,-19.992432586848736,-50.993314392864704,-47.25145724974573,-24.160613741725683,-21.181325186043978,-50.98768362402916,-47.25145395100117
Audiocaps,3456,-17.0036678314209,-17.35415267944336,-51.20051956176758,-46.51731491088867,-24.8513126373291,-19.945205688476562,-51.198020935058594,-46.48573303222656,-17.340498685836792,-17.01732212305069,-51.61971652507782,-46.26925244927406,-25.29762578010559,-19.741397634148598,-51.61712807416916,-46.237749233841896
Audiocaps,260,-10.497129440307617,-10.35455322265625,-63.55526351928711,-73.12313842773438,-23.779857635498047,-23.932804107666016,-63.55290222167969,-73.21519470214844,-10.509623692370951,-10.342059007845819,-63.5861631706357,-73.1291020824574,-23.83044048771262,-23.961334509775043,-63.58380341529846,-73.22115783952177
Audiocaps,244,-13.114850997924805,-13.063076972961426,-49.42382049560547,-64.22966766357422,-25.754899978637695,-23.108558654785156,-49.45314407348633,-64.33396911621094,-13.052574872970581,-13.125353131443262,-49.38230114802718,-64.31240746378899,-25.72779930755496,-23.203690990805626,-49.411625508219004,-64.4167073816061
Audiocaps,767,-12.987493515014648,-12.500219345092773,-49.02655029296875,-39.10039520263672,-23.49977684020996,-22.866140365600586,-49.01749038696289,-39.108516693115234,-12.998558084480464,-12.489154800772667,-49.037520877085626,-39.0892364513129,-23.538511484861374,-22.90285813435912,-49.02846097107977,-39.09735664539039
Audiocaps,1791,-22.256067276000977,-21.104827880859375,-49.69228744506836,-46.56730270385742,-19.327869415283203,-18.155437469482422,-49.68940734863281,-46.56862258911133,-22.37484496831894,-20.98605014383793,-49.81298200041056,-46.45049533247948,-19.464311107993126,-18.044917434453964,-49.81010290980339,-46.451815746724606
Audiocaps,1905,-13.251764297485352,-13.751858711242676,-41.554237365722656,-51.46788787841797,-19.82826805114746,-27.11359977722168,-41.55692672729492,-51.46711730957031,-14.619560241699219,-12.384062767028809,-42.9264190196991,-50.10610008239746,-21.222759008407593,-25.77234935760498,-42.92910885810852,-50.10533022880554
Audiocaps,4139,-21.409414291381836,-20.926467895507812,-54.277835845947266,-58.0870246887207,-22.636783599853516,-23.610240936279297,-52.38256072998047,-58.10781478881836,-21.823394894599915,-20.512487083673477,-54.690166503190994,-57.671310275793076,-23.076958298683167,-23.230279594659805,-52.79492998123169,-57.692062735557556
Audiocaps,217,-20.898151397705078,-20.454301834106445,-44.76301574707031,-39.76260757446289,-24.131576538085938,-24.867990493774414,-44.748504638671875,-39.77708435058594,-20.896975756739266,-20.455477415700443,-44.749692533165216,-39.751638792455196,-24.13737748702988,-24.885332392528653,-44.73518090508878,-39.76611375249922
