dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-11.308393478393555,-11.784529685974121,-44.06100845336914,-28.420726776123047,-16.48274040222168,-13.445895195007324,-44.06251525878906,-28.398059844970703,-11.373206853866577,-11.719716124236584,-44.225945591926575,-28.45742565020919,-16.787054657936096,-13.58464401960373,-44.2274055480957,-28.43481159582734
Audioset,912,-8.831803321838379,-8.980844497680664,-32.08940505981445,-39.75856018066406,-18.393600463867188,-17.87160301208496,-32.08823776245117,-39.75525665283203,-8.837887954898179,-8.974760141223669,-32.201854050159454,-39.85898930579424,-18.62300318479538,-18.09123684465885,-32.200690783560276,-39.85568679124117
Audioset,204,-19.41429328918457,-15.866144180297852,-68.92178344726562,-38.01741027832031,-15.961310386657715,-18.514305114746094,-68.42790985107422,-38.00238800048828,-19.504934154450893,-15.775503240525723,-68.7979619204998,-37.70766159892082,-15.945157306268811,-18.4961878657341,-68.30409152060747,-37.69264626502991
Audioset,2253,-6.135534286499023,-6.208606719970703,-33.99272155761719,-44.90524673461914,-17.57306671142578,-19.61505889892578,-34.04722213745117,-44.96690368652344,-6.030658930540085,-6.313482314348221,-33.83678808808327,-44.96028880774975,-17.54701068997383,-19.7959151417017,-33.89128839969635,-45.02194678038359
Audioset,2006,-14.890396118164062,-13.590566635131836,-54.913360595703125,-50.82839584350586,-15.316057205200195,-15.246599197387695,-54.91202926635742,-50.8057975769043,-13.528957962989807,-14.952004432678223,-53.5448135137558,-52.18463349342346,-14.03497838973999,-16.690609574317932,-53.54347813129425,-52.162038683891296
Audioset,1828,-29.14312171936035,-25.88005256652832,-37.45454025268555,-29.1641845703125,-16.838403701782227,-16.98097038269043,-38.077781677246094,-29.42560386657715,-29.123494179919362,-25.899679930880666,-37.556566156446934,-29.304977253079414,-17.097687393426895,-17.33093398809433,-38.17984399199486,-29.566376999020576
Audioset,1143,-22.070863723754883,-21.842002868652344,-42.28852081298828,-51.451778411865234,-14.974468231201172,-18.093259811401367,-42.28657150268555,-51.50221252441406,-22.067423928529024,-21.84544278657995,-42.150796949863434,-51.32104529440403,-14.963302026502788,-18.127144794911146,-42.14881691336632,-51.371446058154106
Audioset,839,-40.67472457885742,-40.69050216674805,-40.403900146484375,-35.62672424316406,-17.36393165588379,-18.51866912841797,-39.980281829833984,-35.603172302246094,-40.64374116063118,-40.721485609188676,-40.36648356541991,-35.66418796405196,-17.366801456082612,-18.565743401646614,-39.948657013475895,-35.63351931609213
Audioset,4467,-17.765228271484375,-16.70973014831543,-31.724416732788086,-28.017061233520508,-17.30091094970703,-11.77955436706543,-31.72244644165039,-28.024364471435547,-17.71235480159521,-16.76260368153453,-31.6992493160069,-28.0973189920187,-17.379795648157597,-11.96746177971363,-31.69728397205472,-28.10461511462927
Audioset,712,-9.473612785339355,-8.865262031555176,-32.56270217895508,-41.53544998168945,-17.911102294921875,-18.168577194213867,-32.57945251464844,-41.59523391723633,-9.33674842119217,-9.00212650001049,-32.389284789562225,-41.63689985871315,-17.81542196124792,-18.39796280860901,-32.40603728592396,-41.696684300899506
Audioset,4837,-8.394262313842773,-7.639865875244141,-36.788963317871094,-36.695228576660156,-17.400888442993164,-16.004783630371094,-36.84284973144531,-36.64610290527344,-8.220964550971985,-7.813163533806801,-36.85703979432583,-37.100687712430954,-17.67388242483139,-16.56581997871399,-36.9109195843339,-37.05157479643822
Audioset,3456,-21.322818756103516,-21.274768829345703,-55.69245147705078,-45.693267822265625,-17.083568572998047,-14.006146430969238,-55.74748611450195,-45.696102142333984,-21.232917308807373,-21.364670395851135,-55.603841088712215,-45.78444813191891,-17.145755641162395,-14.262282401323318,-55.658886298537254,-45.78727839887142
Audioset,260,-29.12714385986328,-29.20099449157715,-41.51966857910156,-66.39830780029297,-19.02349853515625,-18.52709197998047,-41.50782012939453,-66.37692260742188,-29.115786047652364,-29.212352368980646,-41.51581762870774,-66.4171975851059,-19.07950573414564,-18.65754246711731,-41.503996124025434,-66.395795898512
Audioset,244,-5.792362213134766,-5.439652442932129,-44.379173278808594,-56.429595947265625,-13.206619262695312,-16.340429306030273,-44.22801971435547,-56.39663314819336,-5.762452017515898,-5.469562437385321,-44.328036200255156,-56.43844665400684,-13.301871210336685,-16.47155524790287,-44.17689651623368,-56.4054755885154
Audioset,767,-15.724700927734375,-15.22439193725586,-54.86259460449219,-41.89720916748047,-18.21112823486328,-19.656930923461914,-55.023475646972656,-41.93058776855469,-15.737224604934454,-15.21186838671565,-54.89132442697883,-41.90093721705489,-18.373685121536255,-19.76353108882904,-55.05220444127917,-41.93431892176159
Audioset,1791,-14.134625434875488,-14.992695808410645,-59.873600006103516,-39.84930419921875,-18.61526870727539,-17.07657241821289,-59.232261657714844,-39.94145965576172,-14.122508150525391,-15.004813194274902,-59.94165201485157,-39.941372111439705,-18.831824854016304,-17.27051591873169,-59.30032233148813,-40.03353364765644
Audioset,1905,-25.67169952392578,-26.017440795898438,-48.06515121459961,-40.28074264526367,-16.245126724243164,-17.379304885864258,-48.07643508911133,-40.29889678955078,-25.670209530973807,-26.01893105416093,-47.94819625467062,-40.16677964478731,-16.240503011271358,-17.424572441726923,-47.95947507023811,-40.184961430728436
Audioset,4139,-12.841144561767578,-18.357572555541992,-40.37506103515625,-39.482948303222656,-13.827550888061523,-14.32890510559082,-40.36703109741211,-39.483680725097656,-18.022979736328125,-13.175737380981445,-45.56094741821289,-34.31449604034424,-19.08372211456299,-9.444260597229004,-45.552926540374756,-34.315218925476074
Audioset,4931,-11.693418502807617,-10.851883888244629,-29.4699764251709,-62.40355682373047,-13.734601974487305,-14.926708221435547,-29.56661033630371,-62.23522186279297,-11.653529651463032,-10.891772657632828,-29.42891702055931,-62.44292077422142,-13.85311435163021,-15.206680178642273,-29.525821913033724,-62.27421999722719
Audioset,217,-10.672611236572266,-7.195820331573486,-51.767906188964844,-35.602779388427734,-18.546138763427734,-17.69711685180664,-51.72788619995117,-35.74224090576172,-10.67290839733323,-7.195523409376619,-51.83978158980608,-35.67406405508518,-18.700656712055206,-17.886564150452614,-51.79975803941488,-35.813524045050144
