dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-19.84433937072754,-20.115591049194336,-48.28504943847656,-46.542320251464844,-21.78605842590332,-18.22671890258789,-48.410614013671875,-46.509010314941406,-20.302534610033035,-19.657395869493484,-48.74028158187866,-46.08086493611336,-22.280865162611008,-17.812613755464554,-48.86584386229515,-46.0475210249424
ESC50,228,-16.515710830688477,-16.274127960205078,-55.65447998046875,-63.635498046875,-20.022884368896484,-15.223440170288086,-55.74433135986328,-63.52909469604492,-16.53546342998743,-16.254375083371997,-55.93483006954193,-63.87749493122101,-20.395351231098175,-15.576254546642303,-56.02466493844986,-63.77107495069504
ESC50,51,-26.627992630004883,-27.176494598388672,-26.86004066467285,-47.236793518066406,-13.486799240112305,-19.78681182861328,-26.89607048034668,-47.0889778137207,-27.222635328769684,-26.581851720809937,-27.446052134037018,-46.63225865364075,-14.112981379032135,-19.227675557136536,-27.482095539569855,-46.484450936317444
ESC50,1518,-37.788265228271484,-35.80586624145508,-59.42198944091797,-56.18204116821289,-17.315616607666016,-21.53591537475586,-57.236358642578125,-56.04145431518555,-36.37279391288757,-37.22133755683899,-58.02563202381134,-57.61572527885437,-15.932615518569946,-23.00134575366974,-55.84214782714844,-57.47228229045868
ESC50,563,-31.705333709716797,-31.62525749206543,-52.36117172241211,-45.922733306884766,-18.867115020751953,-20.909530639648438,-52.021419525146484,-45.97508239746094,-31.73165745846927,-31.598933903500438,-52.347119335085154,-45.8558169528842,-18.912453074008226,-20.88431483693421,-52.00738765485585,-45.908157639205456
ESC50,501,-11.634214401245117,-10.891925811767578,-35.04658126831055,-40.13404083251953,-20.82251739501953,-22.720911026000977,-35.0590934753418,-40.09065628051758,-11.644171147607267,-10.881969017907977,-35.08985698968172,-40.15753083489835,-20.88157993555069,-22.7892152890563,-35.10242660716176,-40.11415349133313
ESC50,457,-9.782600402832031,-9.508391380310059,-54.722354888916016,-38.59307098388672,-22.31843376159668,-22.54623031616211,-54.49150466918945,-38.622718811035156,-9.778793756617233,-9.512198055163026,-54.73597644548863,-38.61430862545967,-22.385248616337776,-22.603875808417797,-54.50513551570475,-38.64394872635603
ESC50,285,-26.975492477416992,-26.976823806762695,-57.505104064941406,-40.79581069946289,-20.415687561035156,-18.0070743560791,-57.504913330078125,-40.846885681152344,-26.600163251161575,-27.352153211832047,-57.16554298996925,-41.203959822654724,-20.110632866621017,-18.48507222533226,-57.16535225510597,-41.25503480434418
ESC50,1508,-15.453554153442383,-15.969344139099121,-48.528099060058594,-49.18656539916992,-22.759342193603516,-17.11087417602539,-48.51759338378906,-49.193695068359375,-14.16481637954712,-17.258081793785095,-47.34311378002167,-50.55265235900879,-21.645000219345093,-18.51321518421173,-47.33260774612427,-50.55978202819824
ESC50,209,-6.314426422119141,-6.577524185180664,-41.42820739746094,-43.15167999267578,-19.43134117126465,-20.410890579223633,-41.44679641723633,-43.26581954956055,-6.386535547673702,-6.505415238440037,-41.47633510828018,-43.05508276820183,-19.513862617313862,-20.36099212616682,-41.49488316848874,-43.169284254312515
ESC50,1385,-9.14012336730957,-8.527894020080566,-38.77920150756836,-39.181732177734375,-21.127119064331055,-17.548303604125977,-38.78124237060547,-39.0776252746582,-9.145728720352054,-8.522288421634585,-38.78800881374627,-39.17929329350591,-21.169279359281063,-17.597857788205147,-38.79003314394504,-39.0752081470564
ESC50,1516,-18.719322204589844,-19.743009567260742,-36.083038330078125,-51.543853759765625,-17.368425369262695,-21.48562240600586,-36.09267807006836,-51.542930603027344,-18.67590767890215,-19.786423169076443,-36.042140420526266,-51.589761324226856,-17.368305020783737,-21.559549182653427,-36.051781203597784,-51.588838167488575
ESC50,1827,-24.527254104614258,-22.344242095947266,-46.39521408081055,-39.23756790161133,-17.415016174316406,-20.25877571105957,-46.22549057006836,-39.07948684692383,-24.501716174185276,-22.369779992848635,-46.370976846665144,-39.26437019370496,-17.441144647076726,-20.37507802993059,-46.20125984400511,-39.10632309690118
ESC50,1116,-10.54325008392334,-10.821849822998047,-48.9058952331543,-37.35947799682617,-24.269071578979492,-19.91387939453125,-48.98908615112305,-37.14982223510742,-10.760504126548767,-10.604595750570297,-49.141038835048676,-37.160900324583054,-24.552648663520813,-19.754204347729683,-49.22416549921036,-36.95130552351475
ESC50,178,-24.11838150024414,-25.17857551574707,-43.23457717895508,-44.98008728027344,-20.223310470581055,-22.828414916992188,-43.35637283325195,-47.51714324951172,-24.171153254806995,-25.12580344825983,-43.28782354295254,-44.922793727368116,-20.28718191385269,-22.800612714141607,-43.40705832093954,-47.462261114269495
ESC50,1209,-8.001297950744629,-7.388149261474609,-55.50978088378906,-42.5225830078125,-20.633729934692383,-17.89844512939453,-55.45602035522461,-42.530120849609375,-8.003404040122405,-7.386043186299503,-55.425797790288925,-42.434346705675125,-20.592509776353836,-17.87822471000254,-55.372037790715694,-42.44188375771046
ESC50,864,-14.518540382385254,-15.549912452697754,-48.53864288330078,-40.55427169799805,-22.464111328125,-18.273828506469727,-48.54487991333008,-40.554656982421875,-15.65574860572815,-14.412704229354858,-49.676127552986145,-39.417423605918884,-23.63196563720703,-17.194661378860474,-49.682366251945496,-39.41780722141266
ESC50,65,-30.295602798461914,-26.9894962310791,-57.041542053222656,-36.60502624511719,-19.627222061157227,-18.299070358276367,-57.00662612915039,-36.60395812988281,-26.924822330474854,-30.360276699066162,-53.68047904968262,-39.98028326034546,-16.339099407196045,-21.74992823600769,-53.64556360244751,-39.97921323776245
ESC50,61,-17.73866844177246,-17.741086959838867,-54.67947769165039,-34.81756591796875,-20.636089324951172,-19.846454620361328,-54.0225830078125,-36.97556686401367,-17.886567905545235,-17.59318770468235,-54.7956355959177,-34.60798618197441,-20.773194566369057,-19.69195158779621,-54.12308548390865,-36.77861984074116
ESC50,191,-27.70480728149414,-27.53997802734375,-51.08490753173828,-47.68114471435547,-20.843215942382812,-19.342798233032227,-51.166343688964844,-47.77836227416992,-27.683026922866702,-27.561758134514093,-51.05590846762061,-47.69574313424528,-20.903657902032137,-19.43530537188053,-51.13734410703182,-47.79296017810702
ESC50,447,-15.863533020019531,-15.991414070129395,-48.449676513671875,-50.9970703125,-21.06114387512207,-22.609832763671875,-47.9764289855957,-51.00472640991211,-15.967659592628479,-15.887287274003029,-48.564034059643745,-50.904057785868645,-21.3607220351696,-22.710620775818825,-48.09110017120838,-50.91139888763428
ESC50,476,-7.3767805099487305,-6.922647953033447,-67.40489196777344,-48.918907165527344,-25.19910430908203,-19.776838302612305,-69.49026489257812,-48.48761749267578,-6.107301235198975,-8.192127227783203,-66.13941752910614,-50.19132196903229,-23.93739378452301,-21.049986243247986,-68.22477734088898,-49.76007664203644
ESC50,1034,-25.081066131591797,-25.754465103149414,-48.477989196777344,-40.96628189086914,-23.6375675201416,-22.764745712280273,-49.059715270996094,-41.02804183959961,-25.0435435436666,-25.791987851262093,-48.331406101584435,-40.89571313560009,-23.56765577197075,-22.73196815699339,-48.91314235329628,-40.957464933395386
ESC50,1232,-7.4768385887146,-7.747270584106445,-48.66188430786133,-32.74906539916992,-17.438364028930664,-15.216134071350098,-55.901153564453125,-35.15211868286133,-7.538092907518148,-7.686016112565994,-48.869539111852646,-32.82655134797096,-17.693858087062836,-15.367926940321922,-56.10761380195618,-35.2380995079875
ESC50,54,-23.46490478515625,-22.382888793945312,-32.42390823364258,-34.36964416503906,-23.841371536254883,-26.64696502685547,-34.49209213256836,-36.367916107177734,-22.31024146080017,-23.53755223751068,-31.27285075187683,-35.52706837654114,-22.74005877971649,-27.849120616912842,-33.34103560447693,-37.52534353733063
ESC50,1149,-15.52385425567627,-15.327590942382812,-66.72186279296875,-36.64616775512695,-20.654342651367188,-23.996301651000977,-66.71250915527344,-36.6463623046875,-15.524101718503516,-15.32734320659074,-66.69330463372171,-36.61711344495416,-20.660046808887273,-23.987381724640727,-66.68394370004535,-36.61729991808534
ESC50,407,-17.954938888549805,-16.170650482177734,-43.78742218017578,-39.5516242980957,-28.671428680419922,-23.658296585083008,-43.8088264465332,-39.540283203125,-17.68469375371933,-16.44089585542679,-43.567230477929115,-39.868915885686874,-28.47654926776886,-24.022750049829483,-43.5886323004961,-39.85757526755333
ESC50,1466,-14.243260383605957,-15.08623218536377,-53.70846176147461,-41.91957092285156,-21.405752182006836,-18.02565574645996,-54.053611755371094,-39.20488357543945,-14.244195801729802,-15.085296824632678,-53.83167574554682,-41.69191116094589,-21.377687737345695,-18.02893765317276,-54.00285026058555,-39.15224042162299
ESC50,1330,-26.381977081298828,-27.9766788482666,-94.62254333496094,-37.17440414428711,-21.491199493408203,-14.924324989318848,-98.08895111083984,-37.169891357421875,-26.718491673469543,-27.640164375305176,-94.97686138749123,-36.857111036777496,-21.85723179578781,-14.614114195108414,-98.44319951534271,-36.852538377046585
ESC50,1436,-11.635154724121094,-11.136902809143066,-58.003089904785156,-78.7016830444336,-19.29702377319336,-23.349855422973633,-57.615623474121094,-69.14568328857422,-11.472216665744781,-11.299840807914734,-57.84200695157051,-78.86640685796738,-19.13644629716873,-23.51694741845131,-57.45454266667366,-69.3104100972414
ESC50,859,-25.82075309753418,-25.785654067993164,-68.76490020751953,-52.61577606201172,-19.906232833862305,-20.654081344604492,-66.31644439697266,-52.76277160644531,-25.821024891687557,-25.785382515692618,-68.76939944596961,-52.6197761897929,-19.95955729857087,-20.713987480849028,-66.32095294445753,-52.76673811348155
ESC50,451,-9.479433059692383,-10.716907501220703,-43.74340057373047,-64.38438415527344,-21.994548797607422,-22.283750534057617,-43.759281158447266,-64.75186920166016,-9.465340678580105,-10.731000229716301,-43.70996341481805,-64.37919039651752,-22.00525238364935,-22.32581702247262,-43.7258421741426,-64.74667570227757
ESC50,919,-16.978734970092773,-17.2855224609375,-84.93238830566406,-60.950923919677734,-21.60746955871582,-19.86143684387207,-82.9361343383789,-60.87379837036133,-17.05664859712124,-17.207608848810196,-84.9866614639759,-60.848943173885345,-21.718005761504173,-19.807052224874496,-82.99040698260069,-60.7718136459589
ESC50,1206,-17.6116943359375,-17.520112991333008,-51.957191467285156,-38.19933319091797,-22.362581253051758,-18.868555068969727,-51.957000732421875,-38.21272659301758,-17.572332128882408,-17.559474892914295,-52.039764150977135,-38.12223174422979,-22.3643923306372,-18.965780705213547,-51.92032717913389,-38.25474834814668
ESC50,569,-15.002423286437988,-14.921699523925781,-34.612247467041016,-38.492919921875,-20.489952087402344,-21.57359504699707,-34.56197738647461,-38.56098175048828,-14.962446130812168,-14.9616765268147,-34.51635159552097,-38.477520529180765,-20.437623351812363,-21.61563330888748,-34.466145031154156,-38.54561716783792
ESC50,1657,-16.540266036987305,-17.6214599609375,-38.55741500854492,-62.749473571777344,-19.963539123535156,-15.897804260253906,-38.54051208496094,-59.85340118408203,-17.826765298843384,-16.33496069908142,-39.85686278343201,-61.480244874954224,-21.278550505638123,-14.631118059158325,-39.839881896972656,-58.58419942855835
ESC50,1780,-11.175789833068848,-10.687122344970703,-50.752601623535156,-50.19368362426758,-20.305185317993164,-17.539871215820312,-50.77701187133789,-48.84219741821289,-11.159797843545675,-10.70311420969665,-50.70448402315378,-50.17659273929894,-20.299978733062744,-17.59632993489504,-50.72834902256727,-48.82564029470086
ESC50,13,-9.041191101074219,-10.490350723266602,-44.759727478027344,-38.049198150634766,-21.32923698425293,-19.117076873779297,-45.04753112792969,-38.046539306640625,-9.07479740679264,-10.456744521856308,-44.783630944788456,-38.00580899044871,-21.399768486618996,-19.14368275552988,-45.07143408060074,-38.00315406918526
ESC50,1554,-32.83598327636719,-32.914398193359375,-51.449920654296875,-29.7512149810791,-23.929941177368164,-17.56999397277832,-51.50467300415039,-29.750410079956055,-32.85539881139994,-32.89498257637024,-51.4931809976697,-29.755833687260747,-24.016025222837925,-17.73611606657505,-51.5480702072382,-29.755082571413368
