dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-9.560985565185547,-5.723071098327637,-52.706199645996094,-42.67167663574219,-19.881437301635742,-17.83394432067871,-52.718505859375,-42.66908645629883,-9.55188721884042,-5.732169797644019,-52.70309662213549,-42.6867559235543,-19.896036074496806,-17.874459709972143,-52.71539946785197,-42.684163166210055
Music,204,-13.356979370117188,-10.735803604125977,-27.87693977355957,-27.269760131835938,-15.243990898132324,-18.098148345947266,-27.89800262451172,-27.315967559814453,-13.35500563425012,-10.737777219619602,-27.850252605974674,-27.24703112244606,-15.229854942299426,-18.140119269490242,-27.8713151961565,-27.29323880933225
Music,2253,-11.299824714660645,-2.658278703689575,-28.056339263916016,-91.07279968261719,-14.025635719299316,-18.88255500793457,-28.056110382080078,-91.08026123046875,-11.29861463594716,-2.6594884453807026,-28.04362879227847,-91.06256837770343,-14.016483795829117,-18.877929809503257,-28.04342743009329,-91.07000242173672
Music,2006,-4.220997333526611,-15.925235748291016,-42.092308044433594,-54.73212814331055,-10.831424713134766,-18.72182273864746,-42.09220504760742,-54.73008728027344,-4.222149623907171,-15.924083669902757,-42.114136058837175,-54.751657066866755,-10.874324794858694,-18.771253511309624,-42.11403100192547,-54.749617751687765
Music,1828,-11.823697090148926,-4.154402732849121,-74.51942443847656,-36.28175354003906,-25.6243839263916,-20.20391082763672,-74.50106811523438,-36.28174591064453,-11.82401236979058,-4.154087689181324,-74.52219490637071,-36.28389222966507,-25.646322339773178,-20.21785311587155,-74.50383858312853,-36.28388460027054
Music,1143,-7.094001293182373,-9.642661094665527,-30.40947151184082,-33.27560806274414,-16.81597137451172,-15.688432693481445,-30.40599822998047,-33.24183654785156,-7.093592016753973,-9.64307059138082,-30.39114835858345,-33.25686350464821,-16.820598564576358,-15.71042761951685,-30.38727083057165,-33.22392748296261
Music,839,-6.793410778045654,-0.5612501502037048,-29.707517623901367,-26.64771270751953,-18.20734214782715,-11.929460525512695,-29.707508087158203,-26.647748947143555,-6.792873352067545,-0.5617875096504577,-29.79185513406992,-26.73311536759138,-18.301200360059738,-12.040337339043617,-29.791845597326756,-26.733151607215405
Music,4467,-16.082233428955078,-16.61705780029297,-33.35747146606445,-33.86542510986328,-19.818782806396484,-11.703509330749512,-33.3861198425293,-33.86461639404297,-16.081962394411676,-16.617329076776514,-33.346648269332945,-33.85604634042829,-19.8143542855978,-11.758519541472197,-33.37580291181803,-33.854841992259026
Music,712,-5.080843448638916,-6.277362823486328,-44.53189468383789,-64.03768157958984,-23.36627197265625,-23.596036911010742,-44.529937744140625,-64.06708526611328,-5.082897790707648,-6.275308286072686,-44.73225711286068,-64.23402681946754,-23.62631532549858,-23.945314824581146,-44.730298697948456,-64.26343050599098
Music,4837,-10.546823501586914,-11.261636734008789,-49.242958068847656,-50.93150329589844,-23.556007385253906,-19.48362922668457,-49.24320602416992,-50.916542053222656,-10.547251116746338,-11.261208817886654,-49.26142411492765,-50.94911709986627,-23.591941360384226,-19.512073861435056,-49.26167413406074,-50.93415585719049
Music,3456,-13.400806427001953,-14.828832626342773,-43.109764099121094,-37.0018424987793,-24.2869873046875,-17.371824264526367,-43.109825134277344,-37.005126953125,-13.403648811392486,-14.825990193756297,-43.121841731481254,-37.00823524966836,-24.307735223323107,-17.395973175764084,-43.1218996681273,-37.01152228889987
Music,260,-12.150920867919922,-12.003362655639648,-84.61314392089844,-53.48258972167969,-23.905014038085938,-26.20464515686035,-80.07485961914062,-53.602439880371094,-12.148390294983983,-12.00589356571436,-84.61920115351677,-53.49370231665671,-23.92713630013168,-26.234990818426013,-80.08091530017555,-53.613552475348115
Music,244,-15.35173511505127,-13.587502479553223,-29.989532470703125,-45.206642150878906,-19.25029182434082,-19.028539657592773,-29.989482879638672,-44.6771240234375,-15.348037543008104,-13.591200009919703,-30.00596224144101,-45.221110025420785,-19.279066333547235,-19.097110241651535,-30.00119703542441,-44.696219477802515
