dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-30.613445281982422,-22.20357894897461,-56.75450134277344,-54.12315368652344,-22.576091766357422,-29.34119415283203,-56.49934768676758,-53.87764358520508,-20.747821807861328,-32.06920146942139,-46.95133113861084,-63.99525260925293,-12.994364738464355,-39.226043701171875,-46.69614124298096,-63.74974536895752
VGGSound,114,-25.805633544921875,-19.347898483276367,-58.316368103027344,-41.38525390625,-25.407312393188477,-22.24835968017578,-58.55331039428711,-41.342201232910156,-19.371400356292725,-25.782131671905518,-51.86743927001953,-47.81614685058594,-19.034229278564453,-28.698217391967773,-52.10435914993286,-47.77309608459473
VGGSound,25,-12.538654327392578,-12.252168655395508,-39.253273010253906,-42.103759765625,-25.613201141357422,-14.82956600189209,-39.39167404174805,-39.39747619628906,-12.265537738800049,-12.525285303592682,-38.98987802863121,-42.382969588041306,-25.379968270659447,-15.144675552845001,-39.126755595207214,-39.67829170823097
VGGSound,759,-23.305416107177734,-19.727394104003906,-48.58077621459961,-52.134361267089844,-22.722421646118164,-25.226953506469727,-49.08992385864258,-52.14459228515625,-19.39808988571167,-23.63472056388855,-44.6991171836853,-56.052146196365356,-18.885917901992798,-29.166194438934326,-45.2082679271698,-56.062376976013184
VGGSound,281,-15.995462417602539,-23.043420791625977,-43.13052749633789,-40.21863555908203,-23.87552261352539,-24.558088302612305,-43.10877990722656,-40.254478454589844,-23.067925930023193,-15.97095775604248,-50.179229736328125,-33.023635387420654,-30.94381046295166,-17.44190502166748,-50.157474994659424,-33.05950689315796
VGGSound,250,-15.366256713867188,-21.292633056640625,-34.33983612060547,-33.72990036010742,-22.914541244506836,-22.616294860839844,-27.013208389282227,-33.75226593017578,-19.94654893875122,-16.712340831756592,-38.742223262786865,-29.345634937286377,-27.523369312286377,-18.073498725891113,-31.598471641540527,-29.186230182647705
VGGSound,228,-19.12750244140625,-16.373497009277344,-56.925750732421875,-48.237586975097656,-25.900426864624023,-16.533287048339844,-57.45025634765625,-48.251930236816406,-14.89138650894165,-20.609612941741943,-52.6605019569397,-52.46278762817383,-21.67861795425415,-20.76710844039917,-53.1850380897522,-52.47709655761719
VGGSound,142,-22.139965057373047,-13.343892097473145,-44.96719741821289,-38.463157653808594,-18.696434020996094,-23.22909927368164,-44.986473083496094,-38.4622802734375,-13.102962493896484,-22.380894660949707,-35.93011665344238,-47.50015354156494,-9.794631958007812,-32.280287742614746,-35.94939994812012,-47.4992733001709
VGGSound,754,-13.781656265258789,-9.84739875793457,-63.98225784301758,-42.474037170410156,-24.60377311706543,-21.603408813476562,-64.45975494384766,-42.471641540527344,-9.086143970489502,-14.542911529541016,-59.23216962814331,-47.151116371154785,-19.89014434814453,-26.301002025604248,-59.70966625213623,-47.14871883392334
VGGSound,104,-21.463411331176758,-15.116678237915039,-56.924560546875,-53.66509246826172,-21.933134078979492,-22.059064865112305,-57.01805114746094,-53.8343505859375,-15.602710723876953,-20.977379322052002,-51.066882610321045,-59.526567459106445,-16.104482650756836,-27.92924404144287,-51.160372734069824,-59.69583559036255
