dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-15.875411033630371,-14.107778549194336,-48.848548889160156,-48.822296142578125,-26.46078109741211,-19.427398681640625,-48.856693267822266,-48.82135009765625,-15.917439963668585,-14.065749544650316,-48.89127303287387,-48.78096966445446,-26.525789506733418,-19.412135556340218,-48.899415869265795,-48.780023619532585
Audiocaps,204,-10.785051345825195,-12.694109916687012,-45.813594818115234,-41.07850646972656,-24.051517486572266,-17.940874099731445,-45.8139762878418,-41.078094482421875,-10.005824983119965,-13.473336279392242,-45.029360353946686,-41.8535493016243,-23.29254859685898,-18.740485548973083,-45.029741525650024,-41.85313558578491
Audiocaps,2253,-10.212215423583984,-11.454313278198242,-45.12749481201172,-42.619712829589844,-13.485135078430176,-21.96014976501465,-45.12736892700195,-42.57190704345703,-10.177543956786394,-11.488984923809767,-45.102760618552566,-42.66396953165531,-13.486277478164993,-22.03005311638117,-45.10249285027385,-42.61629493534565
Audiocaps,2006,-9.416056632995605,-9.73315715789795,-44.07413101196289,-59.3177375793457,-22.94305419921875,-12.714165687561035,-44.07381057739258,-59.30970764160156,-9.416744109941646,-9.732469831069466,-44.06639198213816,-59.30862029641867,-22.979009706526995,-12.736028738319874,-44.06607102882117,-59.300591396167874
Audiocaps,1828,-5.826939582824707,-7.322178840637207,-40.87102508544922,-60.42160415649414,-17.490251541137695,-20.907100677490234,-40.8711051940918,-60.40667724609375,-5.975131258368492,-7.173987105488777,-40.98406580090523,-60.23703660070896,-17.646747022867203,-20.761436119675636,-40.984144389629364,-60.22210940718651
Audiocaps,1143,-13.631239891052246,-15.57754898071289,-54.811279296875,-54.05601501464844,-18.349445343017578,-25.917598724365234,-54.806095123291016,-54.05775451660156,-13.641022561118007,-15.567766016349196,-54.8203857447952,-54.0455551110208,-18.383974689990282,-25.932643081992865,-54.81520002242178,-54.04729461297393
Audiocaps,839,-11.726619720458984,-9.728729248046875,-39.48226547241211,-39.107215881347656,-25.9603214263916,-22.624603271484375,-39.482322692871094,-39.11183166503906,-11.752898182719946,-9.702450715005398,-39.614644810557365,-39.187662184238434,-26.116840034723282,-22.76282198727131,-39.61470203101635,-39.192288637161255
Audiocaps,4467,-15.557592391967773,-14.66698169708252,-45.07177734375,-45.72608184814453,-20.87145233154297,-27.05258560180664,-45.072025299072266,-45.72608184814453,-15.632177539169788,-14.592396706342697,-45.14643932878971,-45.65157664567232,-20.958584167063236,-26.985293202102184,-45.14668881893158,-45.65157664567232
Audiocaps,712,-20.054885864257812,-17.058643341064453,-60.48304748535156,-30.984943389892578,-24.83799934387207,-22.62540626525879,-60.49365234375,-30.985124588012695,-20.008517142385244,-17.10501193255186,-60.40343631058931,-30.998424565419555,-24.783111300319433,-22.66149066761136,-60.41404089331627,-30.99860627949238
Audiocaps,3456,-4.404642105102539,-9.326534271240234,-39.30961227416992,-38.620880126953125,-22.130075454711914,-10.698784828186035,-39.309478759765625,-38.6192741394043,-4.741472959518433,-8.989703714847565,-39.728809237480164,-38.372817665338516,-22.576388597488403,-10.49497677385807,-39.72858589887619,-38.37129034101963
Audiocaps,260,-13.91080379486084,-13.642213821411133,-59.44978713989258,-41.913330078125,-24.34939193725586,-20.77191925048828,-59.440250396728516,-41.91374206542969,-13.923298046924174,-13.629719606600702,-59.48068679124117,-41.91929373284802,-24.399974789470434,-20.800449652597308,-59.47115159034729,-41.919705202803016
Audiocaps,244,-14.634495735168457,-14.5751953125,-80.37651824951172,-64.28973388671875,-25.272327423095703,-22.810319900512695,-80.27754974365234,-64.30168151855469,-14.572219610214233,-14.637471470981836,-80.33499890193343,-64.37247368693352,-25.245226752012968,-22.905452236533165,-80.23603117838502,-64.38441978394985
Audiocaps,767,-14.664213180541992,-14.10084342956543,-51.519779205322266,-42.87076950073242,-24.702896118164062,-20.84823989868164,-51.5172004699707,-42.87299728393555,-14.675277750007808,-14.089778885245323,-51.53074978943914,-42.8596107494086,-24.741630762815475,-20.884957667440176,-51.52817105408758,-42.861837236210704
Audiocaps,1791,-22.19874382019043,-13.977771759033203,-49.24514389038086,-30.915496826171875,-25.76534080505371,-13.001187324523926,-49.24396896362305,-30.91551971435547,-22.317521512508392,-13.858994022011757,-49.36583844572306,-30.79868945479393,-25.901782497763634,-12.890667289495468,-49.364664524793625,-30.798712871968746
Audiocaps,1905,-8.18332576751709,-9.315485000610352,-39.350093841552734,-60.51312255859375,-22.27735710144043,-25.9736328125,-39.3500862121582,-60.513633728027344,-9.551121711730957,-7.947689056396484,-40.722275495529175,-59.15133476257324,-23.67184805870056,-24.6323823928833,-40.7222683429718,-59.15184664726257
Audiocaps,4139,-17.891170501708984,-17.936843872070312,-44.1512336730957,-50.546173095703125,-25.424362182617188,-24.899707794189453,-44.17603302001953,-50.54608917236328,-18.305151104927063,-17.522863060235977,-44.56356433033943,-50.1304586827755,-25.86453688144684,-24.51974645256996,-44.58840227127075,-50.13033711910248
Audiocaps,217,-23.94692611694336,-22.435789108276367,-32.76795196533203,-39.02561950683594,-21.39552879333496,-22.91891860961914,-32.767486572265625,-39.0289421081543,-23.945750475977547,-22.436964689870365,-32.754628751426935,-39.01465072482824,-21.401329742278904,-22.93626050837338,-32.75416283868253,-39.01797151006758
Audiocaps,4597,-12.8739595413208,-16.945125579833984,-28.712923049926758,-63.11147689819336,-17.050731658935547,-22.845386505126953,-28.712997436523438,-63.038368225097656,-12.867210746742785,-16.951874500140548,-28.754134096205235,-63.166106920689344,-17.154746897518635,-22.932132102549076,-28.75420591980219,-63.093000803142786
Audiocaps,1628,-7.019054889678955,-9.624966621398926,-49.0493049621582,-67.64543914794922,-26.010183334350586,-17.898969650268555,-49.051353454589844,-67.62754821777344,-7.0267930729314685,-9.617228369228542,-49.04988062789198,-67.63052343763411,-26.025702498853207,-17.89458123827353,-49.051930155663285,-67.61263510398567
Audiocaps,4464,-12.40039348602295,-12.659269332885742,-35.71490478515625,-57.14542007446289,-23.219921112060547,-24.81137466430664,-35.7178840637207,-57.05575942993164,-12.247325837612152,-12.812336698174477,-35.51330554485321,-57.251631647348404,-23.03944180905819,-24.93237841874361,-35.51627233624458,-57.161972016096115
Audiocaps,3436,-15.910674095153809,-15.548463821411133,-32.89716720581055,-57.519378662109375,-15.043730735778809,-25.274311065673828,-32.867462158203125,-57.42377853393555,-15.950418196618557,-15.508719958364964,-32.95727792754769,-57.500952046364546,-15.119469165802002,-25.29305311664939,-32.92742582410574,-57.404445342719555
Audiocaps,1805,-15.021881103515625,-15.342167854309082,-93.52547454833984,-39.32450866699219,-24.730609893798828,-20.778732299804688,-96.0428695678711,-39.258941650390625,-15.017145013902336,-15.346903956029564,-93.538554684259,-39.346923884004354,-24.763542264699936,-20.82073087617755,-96.05589757021517,-39.28142279200256
Audiocaps,3679,-8.446978569030762,-5.6673431396484375,-48.67087936401367,-55.73686981201172,-21.911361694335938,-24.477487564086914,-48.66796875,-55.73442459106445,-8.356136478483677,-5.758185297250748,-48.60551714152098,-55.85266628861427,-21.868459071964025,-24.610677912831306,-48.602606527507305,-55.850219056010246
Audiocaps,2278,-2.84026837348938,-4.540074825286865,-52.7226676940918,-33.73696517944336,-20.932592391967773,-14.7872953414917,-52.72348403930664,-33.736900329589844,-2.8407933092094027,-4.539549567212816,-52.73910159058869,-33.7523524640128,-20.977048683911562,-14.84328979998827,-52.739918967708945,-33.75228813011199
Audiocaps,53,-18.74639892578125,-15.693978309631348,-46.24707794189453,-44.30057907104492,-21.331525802612305,-20.00634765625,-46.24668502807617,-44.30055618286133,-16.774047255516052,-17.666329622268677,-44.27597963809967,-46.273727893829346,-19.36120295524597,-21.979894518852234,-44.27558434009552,-46.27370500564575
Audiocaps,1307,-7.406957626342773,-10.546728134155273,-47.809181213378906,-42.15625762939453,-24.16175079345703,-17.442455291748047,-47.799713134765625,-42.158512115478516,-7.434686493128538,-10.518999280408025,-47.857965275645256,-42.149726091418415,-24.235634684562683,-17.453478693030775,-47.84850129112601,-42.151977725327015
Audiocaps,3462,-4.880923748016357,-9.252638816833496,-50.533172607421875,-41.50459289550781,-24.732406616210938,-22.568958282470703,-50.534568786621094,-41.505184173583984,-4.439798563718796,-9.693764209747314,-50.04645335674286,-41.90455049276352,-24.279036343097687,-22.993071854114532,-50.0478498339653,-41.90514177083969
Audiocaps,2787,-6.522350788116455,-9.579656600952148,-51.91737747192383,-39.62816619873047,-23.80221939086914,-23.437545776367188,-52.11146545410156,-39.62838363647461,-6.524104984709993,-9.577902213437483,-51.89677522331476,-39.61185410618782,-23.80831860937178,-23.44384223362431,-52.094767751172185,-39.608169946819544
Audiocaps,2276,-23.792808532714844,-22.571765899658203,-39.42042922973633,-48.675941467285156,-19.525402069091797,-31.474056243896484,-39.41973114013672,-48.67737579345703,-23.92196872830391,-22.442605644464493,-39.71700543165207,-48.719152085483074,-19.87464666366577,-31.631590858101845,-39.716308772563934,-48.720584876835346
Audiocaps,1273,-8.430508613586426,-6.870601654052734,-35.92451858520508,-66.60747528076172,-23.638612747192383,-26.76366424560547,-35.92451477050781,-66.6126708984375,-8.425535143353045,-6.875575123820454,-35.89876739308238,-66.5916937366128,-23.636830180883408,-26.771638248115778,-35.898763578385115,-66.59688909351826
Audiocaps,1763,-13.985590934753418,-13.552513122558594,-40.823341369628906,-44.2540168762207,-22.773914337158203,-23.61724090576172,-40.82483673095703,-44.256256103515625,-13.984491418581456,-13.553612619289197,-40.79630283266306,-44.229182451963425,-22.793146770447493,-23.626249324530363,-40.79779949784279,-44.23142402432859
Audiocaps,2757,-8.28610897064209,-15.056953430175781,-32.8379020690918,-34.75721740722656,-11.273606300354004,-21.707155227661133,-32.837745666503906,-34.757999420166016,-8.279987285844982,-15.063075286336243,-32.82408703956753,-34.755655943765305,-11.272462169872597,-21.72244614455849,-32.823930118232965,-34.75643795670476
Audiocaps,837,-8.205083847045898,-6.800718307495117,-40.84416198730469,-39.97404098510742,-25.673364639282227,-17.022775650024414,-40.84568786621094,-39.97443771362305,-8.207278422545642,-6.798523917328566,-40.87910069897771,-40.00461111776531,-25.729849945753813,-17.081439409404993,-40.88062811642885,-40.005008360370994
Audiocaps,759,-11.857587814331055,-3.139305353164673,-33.91313934326172,-41.904212951660156,-16.645315170288086,-25.570873260498047,-33.913551330566406,-41.90420150756836,-11.73298341780901,-3.263909563422203,-33.7391569763422,-41.980842903256416,-16.497582852840424,-25.66569110006094,-33.73956951498985,-41.98083349317312
Audiocaps,3112,-15.983881950378418,-16.01482582092285,-35.2948112487793,-45.202674865722656,-19.521808624267578,-18.76071548461914,-35.29840850830078,-45.20267105102539,-16.179641768336296,-15.819065853953362,-35.46074861288071,-45.000122115015984,-19.736017182469368,-18.58497154712677,-35.476303800940514,-44.988222643733025
Audiocaps,792,-9.23325252532959,-9.474178314208984,-45.819190979003906,-59.64906692504883,-26.221275329589844,-18.39586639404297,-45.81819534301758,-59.685089111328125,-8.887313187122345,-9.820117473602295,-45.48211228847504,-60.00319078564644,-25.908331871032715,-18.77906623482704,-45.48111441731453,-60.03920817375183
Audiocaps,2940,-24.11794662475586,-24.113645553588867,-68.38926696777344,-58.719329833984375,-18.84979248046875,-18.611480712890625,-81.07331848144531,-58.71778106689453,-23.635055989027023,-24.596536189317703,-67.84466695785522,-59.14809322357178,-18.35353285074234,-19.0825352370739,-80.52927625179291,-59.145997524261475
Audiocaps,2817,-13.655054092407227,-16.115930557250977,-63.22248840332031,-54.549556732177734,-19.956287384033203,-25.926429748535156,-63.232582092285156,-54.575439453125,-13.653578341472894,-16.117406324483454,-63.183925181627274,-54.513951018452644,-19.946547116152942,-25.93059651972726,-63.19401704519987,-54.53983922302723
Audiocaps,2166,-14.252710342407227,-14.451523780822754,-49.4392204284668,-71.30499267578125,-24.863908767700195,-25.56031036376953,-49.441837310791016,-71.26982116699219,-15.51306676864624,-13.19116759300232,-50.66840648651123,-70.00292325019836,-26.122348308563232,-24.300997376441956,-50.67102491855621,-69.96775102615356
Audiocaps,355,-9.606985092163086,-10.611753463745117,-32.466827392578125,-49.48808288574219,-21.760841369628906,-15.342622756958008,-32.45965576171875,-53.859004974365234,-9.380970776081085,-10.837767869234085,-32.94440424442291,-49.05532902479172,-21.59281675517559,-15.608286738395691,-32.25877557694912,-54.108882665634155
Audiocaps,3763,-13.10293960571289,-13.609687805175781,-44.07285690307617,-51.28586196899414,-29.516115188598633,-23.23390007019043,-44.051876068115234,-51.283546447753906,-13.082176096737385,-13.630451444536448,-44.12674146145582,-51.38101404160261,-29.59393059462309,-23.35848832130432,-44.10581482946873,-51.37865850329399
Audiocaps,4392,-9.88248348236084,-16.057025909423828,-38.441741943359375,-36.96410369873047,-16.90235710144043,-19.015968322753906,-38.43627166748047,-36.96429443359375,-9.880926680052653,-16.05858293012716,-38.43677391530946,-36.962269549490884,-16.939440082758665,-19.03207759000361,-38.43131348723546,-36.96244966657832
Audiocaps,1022,-10.264958381652832,-7.3749308586120605,-62.471771240234375,-23.76816749572754,-24.728086471557617,-10.35520076751709,-40.31158447265625,-23.7681941986084,-10.270270039327443,-7.369619176257402,-44.488718032836914,-41.658809661865234,-24.76181970909238,-10.348764675669372,-40.315431494032964,-23.761417662724853
Audiocaps,3100,-5.639822483062744,-8.106569290161133,-46.03385543823242,-49.27507400512695,-22.320802688598633,-21.015737533569336,-46.03350067138672,-49.280399322509766,-5.641293592285365,-8.105098459287547,-46.02746259607375,-49.265733369626105,-22.336589079350233,-21.034919979050756,-46.02710575517267,-49.27106335759163
Audiocaps,645,-11.768505096435547,-16.015758514404297,-46.131263732910156,-68.05358123779297,-18.473758697509766,-23.121347427368164,-46.133846282958984,-68.06360626220703,-11.68929649144411,-16.094967134296894,-46.04487466067076,-68.1257377192378,-18.412567611783743,-23.22579698264599,-46.04745616018772,-68.13576274365187
