dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-13.060311317443848,-12.543378829956055,-30.20840835571289,-48.62505340576172,-12.303400993347168,-19.388721466064453,-30.212390899658203,-48.715538024902344,-13.12512469291687,-12.478565268218517,-30.373345494270325,-48.66175227984786,-12.607715249061584,-19.527470290660858,-30.377281188964844,-48.75228977575898
Audioset,912,-11.630882263183594,-13.40034294128418,-34.41561508178711,-49.01544189453125,-17.052438735961914,-18.9945068359375,-34.41880798339844,-49.04123306274414,-11.636966896243393,-13.394258584827185,-34.52806407213211,-49.11587101966143,-17.281841456890106,-19.21414066851139,-34.53126100450754,-49.14166320115328
Audioset,204,-23.916194915771484,-24.107616424560547,-48.79886245727539,-46.441226959228516,-16.776090621948242,-17.161043167114258,-48.805999755859375,-46.438995361328125,-24.006835781037807,-24.016975484788418,-48.67504093050957,-46.131478279829025,-16.75993754155934,-17.142925918102264,-48.68218142539263,-46.12925362586975
Audioset,2253,-8.22624683380127,-7.830901622772217,-43.4058837890625,-33.551124572753906,-17.457992553710938,-18.197629928588867,-43.407562255859375,-33.551513671875,-8.121371477842331,-7.9357772171497345,-43.24995031952858,-33.606166645884514,-17.431936532258987,-18.378486171364784,-43.25162851810455,-33.60655676573515
Audioset,2006,-8.153267860412598,-10.02647590637207,-70.3625717163086,-52.608943939208984,-22.616653442382812,-12.721199035644531,-70.36907196044922,-52.63485336303711,-6.791829705238342,-11.387913703918457,-68.99402463436127,-53.96518158912659,-21.335574626922607,-14.165209412574768,-69.00052082538605,-53.99109447002411
Audioset,1828,-6.073801040649414,-18.141639709472656,-26.849201202392578,-44.50645065307617,-18.345836639404297,-22.337282180786133,-26.849328994750977,-44.49251174926758,-6.054173501208425,-18.161267073825,-26.951227106153965,-44.647243335843086,-18.605120331048965,-22.687245786190033,-26.95139130949974,-44.633284881711006
Audioset,1143,-22.641468048095703,-24.10970687866211,-50.781612396240234,-35.070396423339844,-17.900739669799805,-17.466815948486328,-50.98432922363281,-35.05522155761719,-22.638028252869844,-24.113146796589717,-50.64388853311539,-34.93966330587864,-17.88957346510142,-17.500700931996107,-50.84657463431358,-34.92445509135723
Audioset,839,-43.8886604309082,-45.1715087890625,-45.698760986328125,-41.116539001464844,-18.359514236450195,-17.358415603637695,-44.98737716674805,-41.09960174560547,-43.85767701268196,-45.20249223150313,-45.66134440526366,-41.15400272235274,-18.36238403664902,-17.40548987686634,-44.95575235038996,-41.12994875945151
Audioset,4467,-22.805953979492188,-22.33230972290039,-71.88661193847656,-29.643775939941406,-16.7786865234375,-15.932578086853027,-72.43047332763672,-29.644372940063477,-22.753080509603024,-22.38518325611949,-71.86144452169538,-29.724033698439598,-16.857571221888065,-16.12048549950123,-72.40531085804105,-29.7246235832572
Audioset,712,-13.041987419128418,-12.995867729187012,-33.53034210205078,-47.620269775390625,-16.856409072875977,-19.648868560791016,-33.52969741821289,-47.65684509277344,-12.905123054981232,-13.132732197642326,-33.35692471265793,-47.72171965241432,-16.760728739202023,-19.878254175186157,-33.35628218948841,-47.758295476436615
Audioset,4837,-11.630914688110352,-12.4912748336792,-43.3826789855957,-63.343421936035156,-17.425140380859375,-17.265493392944336,-43.377357482910156,-63.196109771728516,-11.457616925239563,-12.66457249224186,-43.45075546205044,-63.748881071805954,-17.6981343626976,-17.82652974128723,-43.44542733579874,-63.601581662893295
Audioset,3456,-21.96087074279785,-11.85700511932373,-30.703632354736328,-34.13075637817383,-16.972816467285156,-6.797425746917725,-30.70022964477539,-34.130645751953125,-21.87096929550171,-11.946906685829163,-30.615021966397762,-34.22193668782711,-17.035003535449505,-7.053561717271805,-30.611629828810692,-34.22182200849056
Audioset,260,-27.285633087158203,-27.703779220581055,-27.325889587402344,-49.827796936035156,-16.982257843017578,-21.6389217376709,-27.32750129699707,-49.82433319091797,-27.274275274947286,-27.715137097984552,-27.322038637008518,-49.84668672084808,-17.03826504200697,-21.76937222480774,-27.323677291627973,-49.8432064820081
Audioset,244,-3.956702709197998,-7.964966297149658,-45.358848571777344,-69.66175842285156,-16.550100326538086,-19.081899642944336,-45.342323303222656,-69.72657775878906,-3.92679251357913,-7.99487629160285,-45.307711493223906,-69.67060912959278,-16.64535227417946,-19.213025584816933,-45.29120010510087,-69.7354201991111
Audioset,767,-16.046321868896484,-14.681509971618652,-66.48159790039062,-33.344608306884766,-14.964873313903809,-18.811519622802734,-68.39273071289062,-33.47455596923828,-16.058845546096563,-14.668986421078444,-66.51032772287726,-33.348336356459185,-15.127430200576782,-18.91811978816986,-68.42145950719714,-33.47828712244518
Audioset,1791,-21.189579010009766,-20.476272583007812,-61.49266815185547,-37.147972106933594,-19.212867736816406,-17.129304885864258,-61.196407318115234,-37.17354965209961,-21.17746172565967,-20.48838996887207,-61.56072016060352,-37.24004001915455,-19.42942388355732,-17.323248386383057,-61.26446799188852,-37.26562364399433
Audioset,1905,-22.680692672729492,-24.657745361328125,-37.17189025878906,-41.17945098876953,-18.8960018157959,-18.39131736755371,-37.17379379272461,-41.62297821044922,-22.679202679777518,-24.659235619590618,-37.05493529886007,-41.06548798829317,-18.891378102824092,-18.436584923416376,-37.056833773851395,-41.50904285162687
Audioset,4139,-10.764631271362305,-13.997665405273438,-33.57991027832031,-37.86815643310547,-12.189399719238281,-18.559688568115234,-33.58168029785156,-37.86827087402344,-15.946466445922852,-8.81583023071289,-38.76579666137695,-32.69970417022705,-17.445570945739746,-13.675044059753418,-38.76757574081421,-32.699809074401855
Audioset,4931,-9.921205520629883,-7.26041316986084,-28.282363891601562,-16.21128273010254,-14.000794410705566,-10.137449264526367,-28.22587776184082,-16.211374282836914,-9.881316669285297,-7.300301939249039,-28.241304486989975,-16.25064668059349,-14.119306787848473,-10.417421221733093,-28.185089338570833,-16.250372417271137
