dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-13.981081008911133,-7.778621196746826,-39.17352294921875,-34.120243072509766,-15.134394645690918,-14.451994895935059,-39.190940856933594,-34.12010192871094,-14.439276248216629,-7.320426017045975,-39.62875509262085,-33.65878775715828,-15.629201382398605,-14.037889748811722,-39.64617070555687,-33.65861263871193
ESC50,228,-3.688710927963257,-3.2164692878723145,-69.25390625,-63.16506576538086,-23.290220260620117,-11.22556209564209,-69.29127502441406,-63.17966079711914,-3.708463527262211,-3.196716411039233,-69.53425633907318,-63.40706264972687,-23.662687122821808,-11.578376471996307,-69.57160860300064,-63.42164105176926
ESC50,51,-27.780067443847656,-28.074464797973633,-53.42234420776367,-59.79628372192383,-21.32969856262207,-22.24590492248535,-53.32372283935547,-59.359107971191406,-28.374710142612457,-27.479821920394897,-54.00835567712784,-59.19174885749817,-21.9558807015419,-21.686768651008606,-53.909747898578644,-58.75458109378815
ESC50,1518,-30.576152801513672,-33.4760856628418,-48.052608489990234,-40.98280715942383,-16.50518226623535,-21.816761016845703,-45.791255950927734,-40.90666961669922,-29.16068148612976,-34.89155697822571,-46.656251072883606,-42.41649127006531,-15.122181177139282,-23.282191395759583,-44.39704513549805,-42.33749759197235
ESC50,563,-30.689701080322266,-32.40195083618164,-44.39284133911133,-43.76310729980469,-22.563634872436523,-20.69376564025879,-44.372222900390625,-43.764747619628906,-30.71602482907474,-32.37562724761665,-44.37878895178437,-43.69619094580412,-22.608972925692797,-20.66854983754456,-44.35819103009999,-43.697822861373425
ESC50,501,-14.892142295837402,-11.697492599487305,-40.332462310791016,-35.643798828125,-19.51722526550293,-22.08707046508789,-40.35060119628906,-35.63844299316406,-14.902099042199552,-11.687535805627704,-40.37573803216219,-35.66728883050382,-19.576287806034088,-22.155374728143215,-40.393934328109026,-35.66194020397961
ESC50,457,-13.35441780090332,-15.554454803466797,-42.952911376953125,-40.896400451660156,-22.10869026184082,-20.60965347290039,-43.715126037597656,-40.911643981933594,-13.350611154688522,-15.558261478319764,-42.96653293352574,-40.91763809323311,-22.175505116581917,-20.66729896515608,-43.728756884112954,-40.93287389725447
ESC50,285,-26.453645706176758,-26.884769439697266,-52.90856170654297,-32.35364532470703,-14.49426555633545,-19.132129669189453,-52.91244125366211,-32.364044189453125,-26.07831647992134,-27.260098844766617,-52.569000631570816,-32.761794447898865,-14.18921086192131,-19.61012753844261,-52.57288017868996,-32.77219331264496
ESC50,1508,-13.912481307983398,-6.815613746643066,-56.70335006713867,-58.912811279296875,-18.943395614624023,-12.922018051147461,-56.7044563293457,-58.9149169921875,-12.623743534088135,-8.10435140132904,-55.518364787101746,-60.27889823913574,-17.8290536403656,-14.324359059333801,-55.51947069168091,-60.28100395202637
ESC50,209,-13.330967903137207,-10.692143440246582,-47.79236602783203,-54.71975326538086,-22.2170467376709,-20.09160614013672,-47.78818893432617,-54.87498092651367,-13.403077028691769,-10.620034493505955,-47.840493738651276,-54.623156040906906,-22.299568183720112,-20.041707687079906,-47.836275685578585,-54.77844563126564
ESC50,1385,-13.453763961791992,-9.605561256408691,-36.0712776184082,-73.9983139038086,-20.780189514160156,-11.28226375579834,-36.11138916015625,-77.99575805664062,-13.459369314834476,-9.59995565796271,-36.08008492458612,-73.99587501958013,-20.822349809110165,-11.33181793987751,-36.12017993349582,-77.99334092903882
ESC50,1516,-15.077207565307617,-19.304258346557617,-31.59843635559082,-40.87076187133789,-22.04332160949707,-20.979440689086914,-31.598941802978516,-40.87060546875,-15.033793039619923,-19.347671948373318,-31.55753844603896,-40.91666943579912,-22.043201261018112,-21.053367465734482,-31.55804493650794,-40.91651303321123
ESC50,1827,-26.90359115600586,-24.606273651123047,-47.12797546386719,-44.14824676513672,-20.909086227416992,-22.009021759033203,-47.18513488769531,-44.117042541503906,-26.878053225576878,-24.631811548024416,-47.103738229721785,-44.17504905723035,-20.935214700177312,-22.125324077904224,-47.16090416163206,-44.14387879148126
ESC50,1116,-10.706884384155273,-11.810086250305176,-82.12560272216797,-41.033546447753906,-19.775911331176758,-19.234724044799805,-82.8947525024414,-40.30670928955078,-10.9241384267807,-11.592832177877426,-82.36074632406235,-40.83496877551079,-20.05948841571808,-19.075048997998238,-83.12983185052872,-40.10819257795811
ESC50,178,-24.031558990478516,-22.145050048828125,-37.311824798583984,-32.70478057861328,-17.251928329467773,-24.720428466796875,-37.32717514038086,-32.98729705810547,-24.08433074504137,-22.092277981340885,-37.365071162581444,-32.64748702570796,-17.31579977273941,-24.692626263946295,-37.37786062806845,-32.932414922863245
ESC50,1209,-15.193087577819824,-12.319817543029785,-43.965965270996094,-42.06654739379883,-20.364089965820312,-15.383026123046875,-43.964141845703125,-42.06718444824219,-15.1951936671976,-12.317711467854679,-43.881982177495956,-41.97831109166145,-20.322869807481766,-15.362805703654885,-43.88015928119421,-41.97894735634327
ESC50,864,-8.62617301940918,-4.638469696044922,-36.7344970703125,-70.29411315917969,-18.869338989257812,-26.854393005371094,-36.73413848876953,-70.2950210571289,-9.763381242752075,-3.5012614727020264,-37.871981739997864,-69.15726506710052,-20.037193298339844,-25.77522587776184,-37.87162482738495,-69.15817129611969
ESC50,65,-4.041088581085205,-19.64447784423828,-28.639951705932617,-57.01828384399414,-8.566056251525879,-14.770567893981934,-28.63970375061035,-57.0172004699707,-0.6703081130981445,-23.015258312225342,-25.278888702392578,-60.39354085922241,-5.277933597564697,-18.221425771713257,-25.27864122390747,-60.39245557785034
ESC50,61,-13.125564575195312,-4.461336135864258,-51.24517059326172,-35.456382751464844,-25.151857376098633,-17.09252166748047,-52.15627670288086,-34.808555603027344,-13.273464038968086,-4.313436880707741,-51.36132849752903,-35.246803015470505,-25.288962617516518,-16.938018634915352,-52.25677917897701,-34.61160857975483
ESC50,191,-28.47178077697754,-29.49648094177246,-47.06575012207031,-40.76662063598633,-22.930688858032227,-19.3688907623291,-47.06591796875,-40.768070220947266,-28.4500004183501,-29.518261048942804,-47.03675105795264,-40.781219055876136,-22.99113081768155,-19.461397901177406,-47.03691838681698,-40.78266812488437
ESC50,447,-10.066322326660156,-10.144597053527832,-39.64494323730469,-23.40460777282715,-14.195266723632812,-11.173262596130371,-39.84342956542969,-23.409889221191406,-10.170448899269104,-10.040470257401466,-39.75930078327656,-23.311595246195793,-14.494844883680344,-11.27405060827732,-39.958100751042366,-23.316561698913574
