dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-1.203073501586914,-1.4027124643325806,-51.691680908203125,-25.506397247314453,-24.308509826660156,-14.68868350982666,-51.690704345703125,-25.50617027282715,-1.1939751552417874,-1.411811163648963,-51.68857788434252,-25.521476535126567,-24.32310859952122,-14.729198899120092,-51.68759795418009,-25.521246982738376
Music,204,-9.531272888183594,-10.725630760192871,-28.377592086791992,-36.86530303955078,-17.309457778930664,-21.825786590576172,-28.377727508544922,-36.865867614746094,-9.529299152316526,-10.727604375686496,-28.350904919207096,-36.842574030160904,-17.295321823097765,-21.86775751411915,-28.351040080189705,-36.84313886426389
Music,2253,-0.25118255615234375,-1.2581204175949097,-30.62557029724121,-36.04439926147461,-15.877654075622559,-9.726093292236328,-30.62753677368164,-36.044395446777344,-0.24997247743885964,-1.259330159286037,-30.612859825603664,-36.03416795656085,-15.86850215215236,-9.721468093805015,-30.61485382169485,-36.03413663804531
Music,2006,-2.419769525527954,-14.274927139282227,-29.842937469482422,-48.41952896118164,-9.88920783996582,-15.578407287597656,-29.842945098876953,-48.42008590698242,-2.420921815908514,-14.273775060893968,-29.864765483886003,-48.43905788473785,-9.932107921689749,-15.627838060259819,-29.864771053195,-48.43961637839675
Music,1828,-5.8676981925964355,-4.784012794494629,-56.35173416137695,-24.74994468688965,-27.165029525756836,-16.203317642211914,-56.35089111328125,-24.749937057495117,-5.86801347223809,-4.783697750826832,-56.354504629271105,-24.752083376515657,-27.186967939138412,-16.217259930446744,-56.3536615811754,-24.752075747121125
Music,1143,-11.708155632019043,-8.486137390136719,-35.35977554321289,-37.48760986328125,-11.869925498962402,-15.090302467346191,-35.36405944824219,-37.67853546142578,-11.707746355590643,-8.486546886852011,-35.34145238995552,-37.46886530518532,-11.874552689027041,-15.112297393381596,-35.34533204883337,-37.66062639653683
Music,839,-4.4517412185668945,-8.658597946166992,-31.319965362548828,-34.63172149658203,-17.20107650756836,-12.168082237243652,-31.319963455200195,-34.631683349609375,-4.451203792588785,-8.659135305613745,-31.40430287271738,-34.71712415665388,-17.29493471980095,-12.278959050774574,-31.404300965368748,-34.717086009681225
Music,4467,-9.958564758300781,-16.318805694580078,-34.31918716430664,-36.67754364013672,-18.698278427124023,-14.77528190612793,-34.325374603271484,-36.67634582519531,-9.958293723757379,-16.319076971063623,-34.30836396757513,-36.66816487070173,-18.69384990632534,-14.830292116850615,-34.315057672560215,-36.66657142341137
Music,712,-0.4092346429824829,-0.37271827459335327,-43.816009521484375,-39.90373992919922,-21.277286529541016,-22.113296508789062,-43.81573486328125,-39.90375518798828,-0.4112889850512147,-0.37066373717971146,-44.016371950507164,-40.10008516907692,-21.537329882383347,-22.462574422359467,-44.01609581708908,-40.10010042786598
Music,4837,-4.661619186401367,-8.55359172821045,-40.39796447753906,-46.569091796875,-16.321735382080078,-12.574471473693848,-40.39796447753906,-46.56959915161133,-4.662046801560791,-8.553163812088314,-40.416430523619056,-46.58670560084283,-16.357669357210398,-12.602916108444333,-40.41643258742988,-46.58721295557916
Music,3456,-5.754138946533203,-7.859513759613037,-40.33047103881836,-30.433528900146484,-9.340554237365723,-12.078268051147461,-40.3304328918457,-30.43279457092285,-5.756981330923736,-7.856671327026561,-40.34254867117852,-30.439921651035547,-9.36130215600133,-12.102416962385178,-40.34250742569566,-30.43918990669772
Music,260,-7.436549663543701,-0.6555211544036865,-47.06340408325195,-50.0228157043457,-22.76309585571289,-27.713685989379883,-47.06452941894531,-50.02262878417969,-7.434019090607762,-0.6580520644783974,-47.069461315870285,-50.033928299322724,-22.78521811775863,-27.744031650945544,-47.070585099980235,-50.03374137915671
Music,244,-8.940262794494629,-9.578081130981445,-34.88605880737305,-29.5145263671875,-14.545379638671875,-19.59674072265625,-34.886329650878906,-29.54071807861328,-8.936565222451463,-9.581778661347926,-34.90248857811093,-29.52899424172938,-14.57415414787829,-19.66531130671501,-34.898043806664646,-29.559813532978296
Music,767,-0.04682687669992447,-4.089986801147461,-38.22243118286133,-13.863180160522461,-18.000988006591797,-4.1629438400268555,-38.22285079956055,-13.86318588256836,-0.046249322360381484,-4.090564537560567,-38.214153768494725,-13.856058530509472,-18.010689359158278,-4.185862358659506,-38.214573385193944,-13.85606269724667
Music,1791,-3.4644789695739746,-10.488667488098145,-38.967987060546875,-46.824859619140625,-18.903059005737305,-18.946260452270508,-38.96790313720703,-46.82344436645508,-3.487080117687583,-10.466066243126988,-38.97352209314704,-46.78510086610913,-18.961330395191908,-18.926731809973717,-38.97343765292317,-46.783685613423586
