dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-32.83407211303711,-20.506183624267578,-50.279884338378906,-61.38608932495117,-26.41712760925293,-26.399023056030273,-50.3411865234375,-60.80806350708008,-22.968448638916016,-30.371806144714355,-40.47671413421631,-71.25818824768066,-16.835400581359863,-36.28387260437012,-40.53798007965088,-70.68016529083252
VGGSound,114,-26.319677352905273,-15.949913024902344,-45.830055236816406,-43.40312194824219,-24.035114288330078,-19.657133102416992,-45.8148193359375,-43.38800048828125,-19.885444164276123,-22.384146213531494,-39.381126403808594,-49.834014892578125,-17.662031173706055,-26.106990814208984,-39.36586809158325,-49.81889533996582
VGGSound,25,-15.558780670166016,-14.558134078979492,-38.55775833129883,-35.4072380065918,-20.115489959716797,-12.311615943908691,-38.55699157714844,-35.43812561035156,-15.285664081573486,-14.831250727176666,-38.29436334967613,-35.6864478290081,-19.88225708901882,-12.626725494861603,-38.292073130607605,-35.71894112229347
VGGSound,759,-27.921966552734375,-23.968250274658203,-95.23304748535156,-40.606109619140625,-27.345693588256836,-26.681472778320312,-93.52586364746094,-40.60493469238281,-24.01464033126831,-27.875576734542847,-91.35138845443726,-44.52389454841614,-23.50918984413147,-30.620713710784912,-89.64420771598816,-44.522719383239746
VGGSound,281,-20.543174743652344,-27.62570571899414,-85.99571228027344,-61.928401947021484,-22.974140167236328,-24.217071533203125,-84.91720581054688,-62.378326416015625,-27.615638256072998,-20.553242683410645,-93.04441452026367,-54.73340177536011,-30.042428016662598,-17.1008882522583,-91.96590089797974,-55.18335485458374
VGGSound,250,-16.880016326904297,-21.730144500732422,-44.21541213989258,-32.523990631103516,-25.815750122070312,-21.089702606201172,-50.13271713256836,-32.52360534667969,-21.46030855178833,-17.14985227584839,-48.617799282073975,-28.13972520828247,-30.424578189849854,-16.54690647125244,-54.71798038482666,-27.95756959915161
VGGSound,228,-20.358705520629883,-17.56631088256836,-51.61517333984375,-40.90017318725586,-24.866819381713867,-17.68882179260254,-51.566654205322266,-40.90044403076172,-16.122589588165283,-21.80242681503296,-47.34992456436157,-45.12537384033203,-20.645010471343994,-21.922643184661865,-47.30143594741821,-45.1256103515625
VGGSound,142,-24.60272789001465,-13.153318405151367,-29.804141998291016,-31.609066009521484,-17.869571685791016,-19.53630256652832,-29.81148910522461,-31.611604690551758,-15.565725326538086,-22.19032096862793,-20.767061233520508,-40.64606189727783,-8.967769622802734,-28.587491035461426,-20.774415969848633,-40.648597717285156
VGGSound,754,-16.56599235534668,-12.086691856384277,-43.89839172363281,-29.190570831298828,-23.592041015625,-12.371471405029297,-43.8974609375,-29.190704345703125,-11.870480060577393,-16.782204627990723,-39.148303508758545,-33.86765003204346,-18.8784122467041,-17.069064617156982,-39.147372245788574,-33.86778163909912
VGGSound,104,-22.038341522216797,-9.536111831665039,-36.25666809082031,-65.87413787841797,-16.073884963989258,-14.173089027404785,-36.25518035888672,-65.7437973022461,-16.177640914916992,-15.396812915802002,-30.398990154266357,-71.7356128692627,-10.245233535766602,-20.04326820373535,-30.397501945495605,-71.60528230667114
