dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-0.4472794532775879,-0.2718256115913391,-42.32707977294922,-39.86937713623047,-24.769184112548828,-17.8502140045166,-42.32691192626953,-39.8701057434082,-0.4893083833158016,-0.2297966070473194,-42.36980391666293,-39.828050658106804,-24.834192521870136,-17.834950879216194,-42.36963452771306,-39.82877926528454
Audiocaps,204,-0.1630984991788864,-1.1204895973205566,-45.27880096435547,-37.550045013427734,-24.785303115844727,-11.468427658081055,-45.27897262573242,-37.55003356933594,0.6161278635263443,-1.8997159600257874,-44.49456650018692,-38.32508784532547,-24.02633422613144,-12.268039107322693,-44.49473786354065,-38.325074672698975
Audiocaps,2253,-0.8062800765037537,-1.083617091178894,-27.137434005737305,-33.86944580078125,-10.664417266845703,-18.48576545715332,-27.13741683959961,-33.87140655517578,-0.7716086097061634,-1.1182887367904186,-27.11269981227815,-33.91370250284672,-10.66555966658052,-18.55566880851984,-27.112540762871504,-33.9157944470644
Audiocaps,2006,-0.8436583280563354,-0.07310262322425842,-75.48270416259766,-51.690879821777344,-22.961467742919922,-19.55715560913086,-75.49726867675781,-51.68632125854492,-0.8443458050023764,-0.07241529639577493,-75.47496513277292,-51.68176253885031,-22.997423250228167,-19.579018659889698,-75.4895291281864,-51.677205013111234
Audiocaps,1828,-0.14238660037517548,-0.31401383876800537,-51.86371612548828,-28.20680809020996,-18.59139060974121,-14.199427604675293,-51.86344909667969,-28.206796646118164,-0.29057827591896057,-0.1658221036195755,-51.97675684094429,-28.022240534424782,-18.74788609147072,-14.053763046860695,-51.976488292217255,-28.022228807210922
Audiocaps,1143,-0.9703605771064758,-0.07523550093173981,-29.50360870361328,-48.835693359375,-11.097477912902832,-23.505022048950195,-29.503585815429688,-48.83576965332031,-0.9801432471722364,-0.06545253656804562,-29.512715151533484,-48.825233455747366,-11.132007259875536,-23.520066406577826,-29.51269071456045,-48.82530974969268
Audiocaps,839,-0.2076076716184616,-0.2430240511894226,-35.88933563232422,-47.98515319824219,-20.900007247924805,-22.69856071472168,-35.88898468017578,-47.97256088256836,-0.23388613387942314,-0.2167455181479454,-36.021714970469475,-48.065599501132965,-21.056525856256485,-22.836779430508614,-36.02136401832104,-48.05301785469055
Audiocaps,4467,-2.273775577545166,-0.027489181607961655,-21.601696014404297,-44.27153778076172,-9.758758544921875,-19.3715763092041,-21.601696014404297,-44.2716064453125,-2.348360724747181,0.04709580913186073,-21.676357999444008,-44.19703257828951,-9.845890380442142,-19.304283909499645,-21.67635953426361,-44.19710124284029
Audiocaps,712,-0.8914124965667725,-1.93109130859375,-29.93001937866211,-19.544099807739258,-12.095276832580566,-10.145241737365723,-29.93006706237793,-19.54410743713379,-0.8450437746942043,-1.9774599000811577,-29.85040820389986,-19.557580983266234,-12.04038878902793,-10.181326139718294,-29.8504556119442,-19.557589128613472
Audiocaps,3456,-0.08022288978099823,-2.1261024475097656,-40.66590118408203,-21.979589462280273,-24.731489181518555,-1.3487259149551392,-40.665916442871094,-21.97962188720703,-0.4170537441968918,-1.789271891117096,-41.08509814739227,-21.731527000665665,-25.177802324295044,-1.1449178606271744,-41.08502358198166,-21.731638088822365
Audiocaps,260,-0.07329374551773071,-0.7458246350288391,-49.07487487792969,-27.372800827026367,-24.259754180908203,-14.490145683288574,-49.075843811035156,-27.372791290283203,-0.0857879975810647,-0.7333304202184081,-49.10577452927828,-27.378764481749386,-24.310337033122778,-14.518676085397601,-49.10674500465393,-27.37875442765653
Audiocaps,244,-0.9596177339553833,-0.04558230936527252,-37.20452117919922,-45.11228942871094,-20.481586456298828,-23.21360969543457,-37.204627990722656,-45.112640380859375,-0.8973416090011597,-0.10785846784710884,-37.16300183162093,-45.195029228925705,-20.454485785216093,-23.30874203145504,-37.16310942545533,-45.19537864625454
Audiocaps,767,-1.01810622215271,-0.07978914678096771,-71.6404800415039,-76.3706283569336,-22.235252380371094,-17.158992767333984,-71.63829803466797,-76.37398529052734,-1.029170791618526,-0.0687246024608612,-71.65145062562078,-76.35946960560977,-22.273987025022507,-17.19571053609252,-71.64926861878484,-76.3628252428025
Audiocaps,1791,-0.17655952274799347,-0.44520533084869385,-39.11443328857422,-24.73101806640625,-23.299386978149414,-6.279843807220459,-39.11381912231445,-24.730998992919922,-0.2953372150659561,-0.3264275938272476,-39.235127843916416,-24.614210695028305,-23.435828670859337,-6.169323772192001,-39.23451468348503,-24.6141921505332
Audiocaps,1905,-0.3104248046875,-0.31247860193252563,-43.548675537109375,-59.112056732177734,-10.575538635253906,-24.183866500854492,-43.54804229736328,-59.11053466796875,-1.6782207489013672,1.0553173422813416,-44.920857191085815,-57.75026893615723,-11.970029592514038,-22.842616081237793,-44.92022442817688,-57.74874758720398
Audiocaps,4139,-0.13895422220230103,-0.44875484704971313,-49.5018424987793,-22.770355224609375,-25.503759384155273,-12.802607536315918,-49.500022888183594,-22.77035140991211,-0.5529348254203796,-0.03477403521537781,-49.914173156023026,-22.354640811681747,-25.943934082984924,-12.422646194696426,-49.912392139434814,-22.354599356651306
