dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-1.4764435291290283,0.07458259910345078,-35.34125900268555,-15.94298267364502,-20.630603790283203,-4.932106018066406,-35.34149932861328,-15.9412202835083,-1.5412569046020508,0.13939616084098816,-35.50619614124298,-15.979681547731161,-20.93491804599762,-5.070854842662811,-35.50638961791992,-15.977972034364939
Audioset,912,-0.04975459724664688,-0.9136816263198853,-42.272010803222656,-29.772781372070312,-12.205100059509277,-10.079641342163086,-42.272499084472656,-29.77277374267578,-0.05583923030644655,-0.9075972698628902,-42.38445979356766,-29.87321049720049,-12.43450278043747,-10.299275174736977,-42.38495210558176,-29.87320388108492
Audioset,204,-3.3461875915527344,-0.7581124305725098,-29.366100311279297,-42.272315979003906,-12.336690902709961,-15.959615707397461,-29.365962982177734,-42.27124786376953,-3.4368284568190575,-0.6674714908003807,-29.242278784513474,-41.962567299604416,-12.320537822321057,-15.941498458385468,-29.242144651710987,-41.96150612831116
Audioset,2253,-2.062849283218384,0.009809015318751335,-20.7283935546875,-24.895267486572266,-9.682514190673828,-10.061463356018066,-20.728439331054688,-24.895343780517578,-1.9579739272594452,-0.09506657905876637,-20.57246008515358,-24.950309559702873,-9.656458169221878,-10.242319598793983,-20.572505593299866,-24.950386874377728
Audioset,2006,-0.26596081256866455,-0.1320154070854187,-40.9273567199707,-16.00930404663086,-14.175029754638672,-3.0157968997955322,-40.92731475830078,-16.00942611694336,1.0954773426055908,-1.4934532046318054,-39.55880963802338,-17.365541696548462,-12.893950939178467,-4.459807276725769,-39.55876362323761,-17.36566722393036
Audioset,1828,-11.211844444274902,-9.954931259155273,-25.137794494628906,-28.427574157714844,-14.194169044494629,-13.507447242736816,-25.13825225830078,-28.517959594726562,-11.192216904833913,-9.974558623507619,-25.239820398390293,-28.568366840481758,-14.453452736139297,-13.857410848140717,-25.240314573049545,-28.65873272716999
Audioset,1143,-0.7751964330673218,-9.15757942199707,-36.743412017822266,-21.218862533569336,-11.869093894958496,-8.395723342895508,-36.74477005004883,-21.21906280517578,-0.7717566378414631,-9.161019339924678,-36.60568815469742,-21.08812941610813,-11.857927690260112,-8.429608326405287,-36.6070154607296,-21.088296338915825
Audioset,839,-28.121662139892578,-2.691538095474243,-36.57740020751953,-57.49812316894531,-8.660982131958008,-13.001548767089844,-36.59781265258789,-57.46795654296875,-28.090678721666336,-2.722521537914872,-36.53998362645507,-57.53558688983321,-8.663851932156831,-13.048623040318489,-36.5661878362298,-57.49830355681479
Audioset,4467,-6.734248161315918,-0.5920875072479248,-26.109039306640625,-25.39354133605957,-9.571691513061523,-17.404359817504883,-26.109067916870117,-25.393545150756836,-6.681374691426754,-0.6449610404670238,-26.083871889859438,-25.473799094557762,-9.650576211512089,-17.592267230153084,-26.083905447274446,-25.473795793950558
Audioset,712,-2.5818281173706055,-0.06842422485351562,-29.483116149902344,-27.11148452758789,-10.786881446838379,-16.348814010620117,-29.484338760375977,-27.11151885986328,-2.444963753223419,-0.20528869330883026,-29.30969876050949,-27.212934404611588,-10.691201113164425,-16.57819962501526,-29.310923531651497,-27.21296924352646
Audioset,4837,-0.454235315322876,-0.18476444482803345,-34.13733673095703,-27.184762954711914,-6.309661388397217,-10.193472862243652,-34.13734817504883,-27.183902740478516,-0.2809375524520874,-0.35806210339069366,-34.205413207411766,-27.590222090482712,-6.582655370235443,-10.754509210586548,-34.20541802793741,-27.589374631643295
Audioset,3456,-1.624570369720459,-1.02676260471344,-60.2320556640625,-29.084125518798828,-15.329957008361816,-1.6715272665023804,-60.26431655883789,-29.08411979675293,-1.5346689224243164,-1.116664171218872,-60.143445275723934,-29.17530582845211,-15.392144076526165,-1.9276632368564606,-60.17571674287319,-29.175296053290367
Audioset,260,-4.166832447052002,-13.800517082214355,-43.63212966918945,-25.708189010620117,-13.661848068237305,-6.10256814956665,-44.230247497558594,-25.709741592407227,-4.1554746348410845,-13.811874959617853,-43.62827871879563,-25.727078795433044,-13.717855267226696,-6.233018636703491,-44.2264234921895,-25.728614883497357
