dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-0.30175653100013733,-0.5119770169258118,-49.079498291015625,-43.53980255126953,-17.61931610107422,-10.620342254638672,-49.10775375366211,-43.53781509399414,-0.7599517703056335,-0.05378183722496033,-49.534730434417725,-43.078347235918045,-18.114122837781906,-10.206237107515335,-49.562983602285385,-43.07632580399513
ESC50,228,-0.13358719646930695,-0.329109251499176,-58.828330993652344,-34.36716079711914,-22.043441772460938,-10.517287254333496,-58.83417510986328,-34.36273956298828,-0.15333979576826096,-0.3093563746660948,-59.108681082725525,-34.60915768146515,-22.415908634662628,-10.870101630687714,-59.11450868844986,-34.6047198176384
ESC50,51,-0.6531864404678345,-0.5052753686904907,-68.60929107666016,-42.287818908691406,-18.308076858520508,-12.273361206054688,-69.28756713867188,-42.29658889770508,-1.2478291392326355,0.08936750888824463,-69.19530254602432,-41.68328404426575,-18.934258997440338,-11.714224934577942,-69.87359219789505,-41.69206202030182
ESC50,1518,-6.451308727264404,-16.75681495666504,-39.527156829833984,-14.687907218933105,-4.851887226104736,-4.091620922088623,-39.18194580078125,-14.68761157989502,-5.035837411880493,-18.17228627204895,-38.130799412727356,-16.121591329574585,-3.468886137008667,-5.557051301002502,-37.78773498535156,-16.118439555168152
ESC50,563,-0.23545952141284943,-12.545448303222656,-46.36933517456055,-46.06044006347656,-20.49349594116211,-16.815217971801758,-46.38072967529297,-46.060333251953125,-0.2617832701653242,-12.519124714657664,-46.35528278723359,-45.993523709475994,-20.538833994418383,-16.79000216908753,-46.36669780500233,-45.99340849369764
ESC50,501,-0.7718571424484253,-0.94195556640625,-24.061920166015625,-31.15915870666504,-11.12800407409668,-10.012312889099121,-24.05962562561035,-31.161130905151367,-0.781813888810575,-0.931998772546649,-24.1051958873868,-31.18264870904386,-11.187066614627838,-10.080617152154446,-24.102958757430315,-31.184628115966916
ESC50,457,-0.14657127857208252,-0.5928630828857422,-42.38703536987305,-18.65754508972168,-18.51102638244629,-9.823132514953613,-42.37699890136719,-18.657583236694336,-0.14276463235728443,-0.5966697577387094,-42.40065692644566,-18.678782731294632,-18.577841237187386,-9.880778007209301,-42.390629747882485,-18.67881315201521
ESC50,285,-2.6523091793060303,-5.991424560546875,-44.03948974609375,-31.830720901489258,-13.0930814743042,-9.997632026672363,-44.03948974609375,-31.83037567138672,-2.2769799530506134,-6.366753965616226,-43.6999286711216,-32.23887002468109,-12.78802677989006,-10.475629895925522,-43.6999286711216,-32.23852479457855
ESC50,1508,-0.4898470342159271,-0.4620126783847809,-59.32805252075195,-21.6844482421875,-18.907577514648438,-9.053107261657715,-59.324073791503906,-21.684494018554688,0.7988907396793365,-1.750750333070755,-58.14306724071503,-23.050535202026367,-17.793235540390015,-10.455448269844055,-58.13908815383911,-23.050580978393555
ESC50,209,-0.3094063997268677,-0.28658172488212585,-40.31704330444336,-31.12035369873047,-22.858047485351562,-17.261625289916992,-40.31627655029297,-31.16536521911621,-0.3815155252814293,-0.21447277814149857,-40.365171015262604,-31.023756474256516,-22.940568931400776,-17.21172683686018,-40.36436330154538,-31.06882992386818
ESC50,1385,-0.2567993700504303,-1.4861518144607544,-54.37813949584961,-25.743968963623047,-12.628738403320312,-0.8742446303367615,-54.406822204589844,-25.743457794189453,-0.2624047230929136,-1.4805462160147727,-54.38694680202752,-25.74153007939458,-12.670898698270321,-0.9237988144159317,-54.41561297792941,-25.74104066658765
ESC50,1516,-0.2997455894947052,-6.085456848144531,-23.45653533935547,-19.877565383911133,-12.497936248779297,-7.187842845916748,-23.456758499145508,-19.877567291259766,-0.25633106380701065,-6.128870449960232,-23.41563742980361,-19.923472948372364,-12.497815900300338,-7.261769622564316,-23.415861632674932,-19.923474855720997
ESC50,1827,-4.895524978637695,-6.393081188201904,-24.466754913330078,-23.384714126586914,-13.627516746520996,-9.539864540100098,-24.466711044311523,-23.38245964050293,-4.8699870482087135,-6.418619085103273,-24.442517679184675,-23.41151641868055,-13.653645219281316,-9.656166858971119,-24.442480318248272,-23.40929589048028
ESC50,1116,-0.4725067615509033,-0.38417482376098633,-28.519861221313477,-61.32748031616211,-13.985581398010254,-13.955883026123047,-28.679731369018555,-58.95697784423828,-0.6897608041763306,-0.1669207513332367,-28.755004823207855,-61.12890264391899,-14.269158482551575,-13.79620797932148,-28.914810717105865,-58.75846113264561
ESC50,178,-8.551966667175293,-4.714541435241699,-19.674705505371094,-29.97273826599121,-7.390016555786133,-18.676219940185547,-19.6746826171875,-30.03361701965332,-8.604738421738148,-4.661769367754459,-19.727951869368553,-29.91544471308589,-7.45388799905777,-18.648417737334967,-19.725368104875088,-29.978734884411097
ESC50,1209,-1.8854970932006836,-0.9437103867530823,-33.584014892578125,-28.41178321838379,-19.21371078491211,-5.253859519958496,-33.583885192871094,-28.411779403686523,-1.8876031825784594,-0.9416043115779757,-33.50003179907799,-28.323546916246414,-19.172490626573563,-5.233639100566506,-33.49990262836218,-28.323542311787605
ESC50,864,-0.6026354432106018,-0.18252308666706085,-41.43170928955078,-32.663185119628906,-13.700199127197266,-12.200488090515137,-41.43137741088867,-32.66318893432617,-1.7398436665534973,0.9546851366758347,-42.569193959236145,-31.526337027549744,-14.868053436279297,-11.121320962905884,-42.56886374950409,-31.526339173316956
ESC50,65,-0.9674575924873352,-1.493937611579895,-37.691123962402344,-45.4710693359375,-8.421127319335938,-13.704766273498535,-37.69102096557617,-45.47175216674805,2.4033228754997253,-4.864718079566956,-34.330060958862305,-48.84632635116577,-5.133004665374756,-17.15562415122986,-34.32995843887329,-48.847007274627686
ESC50,61,-0.19110256433486938,-0.09267964214086533,-16.675046920776367,-26.194787979125977,-11.014615058898926,-14.784791946411133,-16.70759391784668,-26.50003433227539,-0.3390020281076431,0.0552196130156517,-16.79120482504368,-25.985208243131638,-11.15172030031681,-14.630288913846016,-16.808096393942833,-26.303087309002876
ESC50,191,-2.431574821472168,-4.525854587554932,-30.367034912109375,-23.432458877563477,-17.969268798828125,-10.933588027954102,-30.367034912109375,-23.432451248168945,-2.4097944628447294,-4.547634694725275,-30.338035847991705,-23.447057297453284,-18.02971075847745,-11.026095166802406,-30.338035330176353,-23.447049152106047
ESC50,447,-1.2412735223770142,-0.10378972440958023,-15.471670150756836,-16.873666763305664,-9.813322067260742,3.3091487884521484,-15.468323707580566,-16.874170303344727,-1.345400094985962,0.0003370717167854309,-15.586027696728706,-16.78065423667431,-10.112900227308273,3.2083607763051987,-15.582994893193245,-16.780842781066895
ESC50,476,-0.11655402183532715,-0.8956614136695862,-42.64628601074219,-23.664005279541016,-12.315820693969727,-9.087882995605469,-42.642333984375,-23.663793563842773,1.1529252529144287,-2.165140688419342,-41.38081157207489,-24.93642008304596,-11.054110169410706,-10.36103093624115,-41.37684643268585,-24.93625271320343
ESC50,1034,-0.030298156663775444,-7.8107218742370605,-41.865299224853516,-53.014739990234375,-21.171968460083008,-19.97625160217285,-41.87199020385742,-53.01320266723633,0.00722443126142025,-7.848244622349739,-41.718716129660606,-52.944171234965324,-21.102056711912155,-19.943474046885967,-41.72541728615761,-52.942625761032104
ESC50,1232,-0.5639694333076477,-0.1287533938884735,-23.949987411499023,-41.65301513671875,-14.247136116027832,-17.1024169921875,-23.95008659362793,-41.59059524536133,-0.6252237521111965,-0.06749892234802246,-24.15764221549034,-41.73050108551979,-14.502630174160004,-17.254209861159325,-24.15654683113098,-41.6765760704875
ESC50,54,-0.3950802981853485,-0.12838609516620636,-44.187557220458984,-22.72216796875,-14.185215950012207,-19.619884490966797,-44.187442779541016,-22.89665412902832,0.7595830261707306,-1.283049538731575,-43.03649973869324,-23.879592180252075,-13.083903193473816,-20.82204008102417,-43.036386251449585,-24.054081559181213
ESC50,1149,0.006577667314559221,-1.118050456047058,-25.973388671875,-23.801021575927734,-18.733280181884766,-5.783559799194336,-25.972536087036133,-23.810110092163086,0.006330204487312585,-1.1178027202549856,-25.94483051262796,-23.771967265754938,-18.73898433940485,-5.774639872834086,-25.943970631808043,-23.781047705560923
ESC50,407,-3.414741039276123,-0.20479841530323029,-34.43102264404297,-43.403926849365234,-17.61945915222168,-12.166367530822754,-34.43107986450195,-43.40311813354492,-3.144495904445648,-0.47504378855228424,-34.2108309417963,-43.721218436956406,-17.424579739570618,-12.53082099556923,-34.21088571846485,-43.72041019797325
ESC50,1466,-0.028356174007058144,-0.4364011883735657,-16.582311630249023,-21.455867767333984,-4.018263816833496,-13.9571533203125,-16.582414627075195,-21.679201126098633,-0.029291592130903155,-0.4354658276424743,-16.705525614321232,-21.228208005428314,-3.9901993721723557,-13.9604352270253,-16.531653132289648,-21.62655797228217
ESC50,1330,-0.04995226860046387,-5.18726921081543,-21.381258010864258,-19.531694412231445,-15.70225715637207,-1.0967615842819214,-21.381860733032227,-19.531747817993164,-0.3864668607711792,-4.850754737854004,-21.735576063394547,-19.214401304721832,-16.06828945875168,-0.7865507900714874,-21.736109137535095,-19.214394837617874
ESC50,1436,-1.5395538806915283,0.004175994079560041,-24.48714256286621,-20.841115951538086,-2.8889825344085693,-12.672776222229004,-24.487207412719727,-20.84117317199707,-1.376615822315216,-0.15876200469210744,-24.326059609651566,-21.00583976507187,-2.7284050583839417,-12.83986821770668,-24.326126605272293,-21.005899980664253
ESC50,859,-3.645453453063965,-5.623928070068359,-50.79209899902344,-93.90821075439453,-19.329261779785156,-20.79285430908203,-51.33320617675781,-69.5418930053711,-3.6457252472173423,-5.623656517767813,-50.79659823747352,-93.91221088217571,-19.382586244493723,-20.852760445326567,-51.33771472424269,-69.54585951240733
ESC50,451,-0.41951099038124084,-0.31373336911201477,-19.34223175048828,-30.41164207458496,-11.559618949890137,-16.043617248535156,-19.34222984313965,-30.411712646484375,-0.40541860926896334,-0.3278260976076126,-19.30879459157586,-30.40644831582904,-11.570322535932064,-16.08568373695016,-19.308790858834982,-30.40651914710179
ESC50,919,-0.40276214480400085,-2.565518856048584,-32.557472229003906,-21.871633529663086,-16.588359832763672,-12.06886100769043,-32.55836486816406,-21.871599197387695,-0.4806757718324661,-2.48760524392128,-32.61174538731575,-21.769652783870697,-16.698896035552025,-12.014476388692856,-32.612637512385845,-21.769614472985268
ESC50,1206,-0.5917893648147583,-0.3172781467437744,-32.13605880737305,-26.345653533935547,-11.489800453186035,-9.047289848327637,-32.139732360839844,-26.470172882080078,-0.5524271577596664,-0.3566400483250618,-32.218631491065025,-26.26855208724737,-11.491611530771479,-9.144515484571457,-32.10305880755186,-26.512194637209177
ESC50,569,-0.1553134024143219,-0.48688656091690063,-39.19669723510742,-21.242403030395508,-20.721698760986328,-11.657898902893066,-39.2089729309082,-21.24641227722168,-0.11533624678850174,-0.5268635638058186,-39.10080136358738,-21.227003637701273,-20.669370025396347,-11.699937164783478,-39.11314057558775,-21.231047694571316
ESC50,1657,-1.387295126914978,-0.07880116254091263,-20.375417709350586,-39.91707229614258,-7.237251281738281,-5.250343322753906,-20.376691818237305,-40.269779205322266,-2.673794388771057,1.2076980993151665,-21.67486548423767,-38.64784359931946,-8.552262663841248,-3.983657121658325,-21.676061630249023,-39.000577449798584
ESC50,1780,-0.4044862687587738,-0.7127041220664978,-32.48006820678711,-15.620885848999023,-11.832174301147461,-8.182062149047852,-32.4800910949707,-15.621583938598633,-0.3884942792356014,-0.7286959867924452,-32.431950606405735,-15.603794964030385,-11.826967716217041,-8.238520868122578,-32.431428246200085,-15.605026815086603
ESC50,13,-0.32269781827926636,-0.7004173994064331,-36.727210998535156,-31.877241134643555,-18.77861213684082,-4.155506610870361,-36.72755432128906,-31.873882293701172,-0.3563041239976883,-0.6668111979961395,-36.75111446529627,-31.833851974457502,-18.849143639206886,-4.182112492620945,-36.75145727396011,-31.830497056245804
ESC50,1554,-14.16438102722168,-0.05644404515624046,-20.726770401000977,-31.169431686401367,-10.779648780822754,-16.31244659423828,-20.73265266418457,-31.138687133789062,-14.183796562254429,-0.03702842816710472,-20.7700307443738,-31.174050392583013,-10.865732826292515,-16.47856868803501,-20.776049867272377,-31.143359625246376
ESC50,1650,-1.1900758743286133,-1.1854230165481567,-9.933789253234863,-12.965291023254395,-0.4055570662021637,-3.5614404678344727,-9.934569358825684,-12.965291023254395,-1.1763680931180716,-1.1991307605057955,-9.89133732020855,-12.988839212805033,-0.6468244791030884,-3.8723549842834473,-9.911455729976296,-12.96962010487914
ESC50,326,-0.46747949719429016,-0.552422821521759,-21.37343978881836,-23.505613327026367,-13.310432434082031,-1.2270623445510864,-21.375699996948242,-23.505231857299805,-0.4718675399199128,-0.548034745734185,-21.300908394157887,-23.424153044819832,-13.319593577645719,-1.1601805463433266,-21.30313964188099,-23.423816949129105
ESC50,1429,-1.9855645895004272,-0.07527239620685577,-48.09497833251953,-33.888248443603516,-16.592439651489258,-13.920751571655273,-48.25526809692383,-33.9051628112793,-2.0201966874301434,-0.04064059257507324,-48.12465540319681,-33.84914613887668,-16.699481062591076,-13.921030692610657,-48.286112232133746,-33.86671267449856
ESC50,865,-0.10569347441196442,-1.47714102268219,-32.753047943115234,-43.358642578125,-14.10132884979248,-8.522476196289062,-32.753055572509766,-43.358577728271484,-0.08856022916734219,-1.494274239987135,-32.740405230782926,-43.38024857081473,-14.195425651967525,-8.655318930745125,-32.740413120016456,-43.3801826890558
ESC50,696,-0.9635813236236572,-0.39356788992881775,-21.65616798400879,-40.448219299316406,-11.504857063293457,-18.876224517822266,-21.666196823120117,-40.40757751464844,-1.0709759443998337,-0.28617358952760696,-21.738333247601986,-40.31469567120075,-11.724207505583763,-18.81375940516591,-21.748225934803486,-40.27418041229248
ESC50,318,-0.07387333363294601,-1.6738921403884888,-44.503536224365234,-29.24805450439453,-19.815160751342773,-9.026519775390625,-44.503517150878906,-29.248126983642578,11.965382762253284,-13.71314823627472,-32.464826583862305,-41.287343978881836,-8.231992721557617,-21.066516876220703,-32.464805603027344,-41.2874174118042
ESC50,440,-3.4615492820739746,-0.017788833007216454,-20.10824966430664,-40.107295989990234,-18.001544952392578,-5.7462992668151855,-20.112491607666016,-40.10960006713867,-4.176921010017395,0.6975830141454935,-20.831844806671143,-39.40168273448944,-18.77067220211029,-5.083760559558868,-20.83612710237503,-39.40397095680237
ESC50,1960,-0.5083938241004944,-0.48611053824424744,-48.259666442871094,-28.30604362487793,-16.286121368408203,-15.362832069396973,-49.59701919555664,-28.43433952331543,-0.4712464287877083,-0.5232580713927746,-48.24250850826502,-28.362137615680695,-16.316914776340127,-15.466231778264046,-49.57945062406361,-28.49090112373233
ESC50,1563,-0.21241216361522675,-0.8164300918579102,-31.97545051574707,-37.90288543701172,-19.847551345825195,-19.162073135375977,-32.56008529663086,-37.903076171875,-1.4354463070631027,0.4066040515899658,-33.242265582084656,-36.743409276008606,-21.165719866752625,-18.06198799610138,-33.8292738199234,-36.74110400676727
ESC50,689,-2.696364641189575,-1.3640083074569702,-30.403667449951172,-19.70207405090332,-6.7888383865356445,-9.433125495910645,-30.47593879699707,-19.70820426940918,-2.4995075464248657,-1.5608651787042618,-30.170438915491104,-19.86626897752285,-6.67315535992384,-9.616266146302223,-30.243848830461502,-19.87139555811882
ESC50,189,-0.28884992003440857,-0.35388508439064026,-39.10784912109375,-34.67283248901367,-25.24070167541504,-12.372910499572754,-39.10802459716797,-34.67449951171875,-0.2950658677145839,-0.34766904124990106,-39.181705966591835,-34.73433080688119,-25.368943467736244,-12.46349123120308,-39.181863114237785,-34.73600089177489
ESC50,778,-1.1594645977020264,-0.465342253446579,-47.10319137573242,-44.227420806884766,-11.555695533752441,-9.951369285583496,-47.12808609008789,-44.233463287353516,-5.01845645904541,3.393649607896805,-50.95926356315613,-40.361345529556274,-15.43215298652649,-6.111331224441528,-50.98415803909302,-40.36736822128296
ESC50,198,-0.24091395735740662,-9.875560760498047,-38.91055679321289,-23.071752548217773,-16.779277801513672,-10.5829496383667,-38.86204528808594,-23.071807861328125,-0.18059296160936356,-9.935881845653057,-38.88066692836583,-23.162122651934624,-16.794998107478023,-10.713958233594894,-38.83217002078891,-23.162154644727707
ESC50,735,-1.3819911479949951,-0.8172627687454224,-25.559282302856445,-35.12013626098633,-10.384607315063477,-12.582771301269531,-25.559667587280273,-35.12004470825195,-1.5534587353467941,-0.6457951813936234,-25.727499336004257,-34.94528701901436,-10.624517947435379,-12.421756654977798,-25.727884620428085,-34.94519466161728
ESC50,1735,-0.44928959012031555,-0.38011041283607483,-50.6317024230957,-21.537851333618164,-21.87115478515625,-12.998323440551758,-50.63016128540039,-21.53784942626953,-0.4480929757701233,-0.3813072150805965,-50.64553144574165,-21.55406705662608,-22.05439491569996,-13.062355384230614,-50.64398411568254,-21.55406205356121
ESC50,704,-0.4894833266735077,-0.09410072863101959,-44.99860382080078,-38.34082794189453,-15.239861488342285,-19.59149932861328,-44.99855422973633,-38.34120559692383,-0.49018322688061744,-0.09340097452513874,-44.999169133545365,-38.3399883788079,-15.289112091064453,-19.6257252022624,-44.99911695421906,-38.340369399636984
ESC50,1236,-3.034109354019165,-0.6491925716400146,-29.840190887451172,-34.98686981201172,-11.838685989379883,-24.744834899902344,-29.830780029296875,-35.06255340576172,-3.025593846105039,-0.6577079501003027,-29.871756181120872,-35.03539687767625,-11.982390642166138,-24.847064174711704,-29.862336587160826,-35.11106255277991
ESC50,541,-0.41955500841140747,-0.16791711747646332,-27.89511489868164,-29.64560317993164,-17.722257614135742,-14.173659324645996,-27.895048141479492,-29.645835876464844,-0.41979832969082054,-0.16767326480476186,-27.898235625121742,-29.648231880972162,-17.78220723569393,-14.20559673011303,-27.898168350337073,-29.648467681836337
ESC50,1652,-0.7942401766777039,-0.04982242360711098,-29.62722396850586,-34.16986083984375,-18.2470760345459,-12.131072998046875,-29.62663459777832,-34.172977447509766,-0.8050434393808246,-0.03901946824043989,-29.63875740673393,-34.15932776033878,-18.32831771671772,-12.136816639453173,-29.638075092807412,-34.16281282622367
ESC50,88,-1.9033987522125244,-4.20065975189209,-43.966922760009766,-30.390289306640625,-13.82686710357666,-22.9644718170166,-43.885093688964844,-30.404144287109375,-1.935944590717554,-4.168113861232996,-43.966047985013574,-30.323991991579533,-13.842252261936665,-22.945094652473927,-43.884238591301255,-30.337944224476814
ESC50,1494,-2.933847427368164,-2.080698251724243,-40.540096282958984,-28.78474998474121,-12.458984375,-7.65280818939209,-40.539520263671875,-28.784740447998047,5.37899112701416,-10.393536806106567,-32.34709358215332,-37.115474700927734,-4.5441789627075195,-16.011180877685547,-32.34652137756348,-37.115461349487305
ESC50,940,-0.45768553018569946,-0.5633174180984497,-29.784893035888672,-25.92181396484375,-21.42424964904785,-10.71330451965332,-29.785249710083008,-25.91851234436035,-0.46259022131562233,-0.5584126235917211,-29.74283240735531,-25.869876101613045,-21.450245594605803,-10.716497781919315,-29.743189863860607,-25.86658836901188
ESC50,1098,-2.18017578125,-2.9414432048797607,-42.934566497802734,-27.145742416381836,-16.719940185546875,-4.324524402618408,-42.935699462890625,-27.14707374572754,3.5417404174804688,-8.66335940361023,-37.199679374694824,-32.864131450653076,-11.109123706817627,-10.047372817993164,-37.20077705383301,-32.86550998687744
ESC50,255,-0.2223052978515625,-2.871760606765747,-20.795074462890625,-51.119956970214844,-6.47468900680542,-17.008657455444336,-20.79522132873535,-51.144657135009766,-0.161853589117527,-2.932212397456169,-20.72681748867035,-51.1703482195735,-6.467044687829912,-17.09992028772831,-20.72599233686924,-51.19645136594772
ESC50,1992,0.6717405319213867,-0.9068567156791687,-7.21641731262207,-22.39579963684082,2.279468536376953,-4.77541446685791,-7.2164530754089355,-22.39579963684082,0.674693830544129,-0.909809818258509,-7.202372716739774,-22.387688983231783,2.278545904555358,-4.8727086037397385,-7.20241834782064,-22.38768068421632
ESC50,1888,-0.6713712215423584,-1.3715983629226685,-28.433706283569336,-28.19508934020996,-11.144417762756348,-16.561296463012695,-28.43385124206543,-28.588289260864258,-0.6627291403710842,-1.3802403314039111,-28.416195672005415,-28.194881212039036,-11.159255652688444,-16.619549695402384,-28.416340108960867,-28.588079061722965
ESC50,775,-2.201497793197632,-2.7445530891418457,-28.592018127441406,-42.079444885253906,-15.625175476074219,-11.032559394836426,-28.59192657470703,-42.079471588134766,-1.198887586593628,-3.7471632957458496,-27.62906551361084,-43.113569259643555,-14.720898866653442,-12.087486982345581,-27.628972351551056,-43.113595604896545
ESC50,161,-0.45418423414230347,-0.5153148770332336,-23.97965431213379,-34.720420837402344,-14.008881568908691,-14.51687240600586,-23.98063087463379,-34.72197341918945,-0.5461669862270355,-0.4233323112130165,-24.115853026509285,-34.67347098141909,-14.193997874855995,-14.527746197767556,-24.116755828261375,-34.67507327720523
ESC50,1130,-1.4706398248672485,-0.5615675449371338,-23.03066062927246,-49.15638732910156,-13.615058898925781,-19.698694229125977,-23.030582427978516,-49.15644454956055,-1.7484769821166992,-0.2837304472923279,-23.311672180891037,-48.88193577528,-13.943470120429993,-19.471146509051323,-23.31159883737564,-48.88199603557587
ESC50,600,-1.685685634613037,-0.47054529190063477,-10.390082359313965,-38.831085205078125,-3.622673511505127,-20.732389450073242,-10.390055656433105,-38.83112335205078,-0.8567531108856201,-1.2994776964187622,-9.604921817779541,-39.69622337818146,-2.9647223353385925,-21.660859286785126,-9.604897618293762,-39.69625639915466
