dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-0.03366333246231079,-0.489776611328125,-20.15829849243164,-25.60023307800293,-12.036649703979492,-9.554801940917969,-20.158252716064453,-25.600187301635742,-0.024564986117184162,-0.4988753106445074,-20.155195468571037,-25.615312365815043,-12.051248476840556,-9.595317330211401,-20.15514632454142,-25.61526401154697
Music,204,-0.9310274124145508,-0.3502904772758484,-31.134075164794922,-49.09828186035156,-14.947654724121094,-15.28697395324707,-31.134037017822266,-49.098812103271484,-0.9290536765474826,-0.3522640927694738,-31.107387997210026,-49.075552850961685,-14.933518768288195,-15.328944876790047,-31.10734958946705,-49.07608335278928
Music,2253,-0.04571074992418289,-0.11249900609254837,-15.159501075744629,-30.54511833190918,-7.801760673522949,-11.217727661132812,-15.159805297851562,-30.545141220092773,-0.04450067121069878,-0.11370874778367579,-15.146790604107082,-30.53488702699542,-7.79260875005275,-11.2131024627015,-15.147122345864773,-30.53488241136074
Music,2006,-0.5034825205802917,-1.434638261795044,-36.46251678466797,-26.46550941467285,-11.031397819519043,-10.12185287475586,-36.462467193603516,-26.465503692626953,-0.5046348109608516,-1.4334861834067851,-36.48434479907155,-26.48503833822906,-11.074297901242971,-10.171283647418022,-36.48429314792156,-26.48503416404128
Music,1828,-0.471737265586853,-0.3457108736038208,-32.55731201171875,-31.03506088256836,-16.499927520751953,-16.010093688964844,-32.55727767944336,-31.035127639770508,-0.47205254522850737,-0.3453958299360238,-32.5600824796129,-31.037199572194368,-16.52186593413353,-16.024035977199674,-32.56004814733751,-31.037266329396516
Music,1143,-0.511487603187561,-1.8513787984848022,-29.249656677246094,-39.26936340332031,-13.825788497924805,-8.135942459106445,-29.25029945373535,-39.250152587890625,-0.5110783267591614,-1.8517882952000946,-29.231333523988724,-39.25061884522438,-13.830415687989444,-8.15793738514185,-29.231572054326534,-39.23224352300167
Music,839,-0.09298370033502579,-0.25495216250419617,-20.72784423828125,-19.578842163085938,-15.366368293762207,-5.230175495147705,-20.72787857055664,-19.57887840270996,-0.09244627435691655,-0.255489521950949,-20.812181748449802,-19.664244823157787,-15.460226505994797,-5.341052308678627,-20.812216080725193,-19.66428106278181
Music,4467,-2.1630160808563232,-1.1627117395401,-50.65100860595703,-27.72077751159668,-13.102747917175293,-11.230449676513672,-50.59518814086914,-27.72101593017578,-2.1627450463129207,-1.1629830160236452,-50.64018540922552,-27.71139874216169,-13.09831939637661,-11.285459887236357,-50.58487121015787,-27.711241528391838
Music,712,-0.2420613318681717,-0.06973638385534286,-70.57337951660156,-30.847919464111328,-16.535512924194336,-14.456743240356445,-70.5831527709961,-30.847959518432617,-0.24411567393690348,-0.06768184644170105,-70.77374194562435,-31.04426470398903,-16.795556277036667,-14.80602115392685,-70.78351372480392,-31.044304758310318
Music,4837,-0.4700607657432556,-0.2639285922050476,-23.91283416748047,-37.172607421875,-13.157485008239746,-11.430826187133789,-23.912845611572266,-37.17234802246094,-0.47048838090267964,-0.26350067608291283,-23.931300213560462,-37.19022122584283,-13.193418983370066,-11.459270821884274,-23.931313721463084,-37.18996182642877
