dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-6.852598190307617,-1.0776687860488892,-21.60053253173828,-41.88843536376953,-8.30809497833252,-20.043121337890625,-21.601221084594727,-41.832576751708984,3.0130252838134766,-10.943291306495667,-11.797362327575684,-51.76053428649902,1.2736320495605469,-29.92797088623047,-11.798014640808105,-51.704678535461426
VGGSound,114,-1.5379045009613037,-4.971290111541748,-69.40127563476562,-49.896236419677734,-23.22661590576172,-12.412150382995605,-69.36992645263672,-49.896488189697266,4.896328687667847,-11.405523300170898,-62.95234680175781,-56.32712936401367,-16.853532791137695,-18.862008094787598,-62.92097520828247,-56.327383041381836
VGGSound,25,-1.3418056964874268,-1.7627440690994263,-43.46324157714844,-34.46339416503906,-18.412193298339844,-8.717096328735352,-43.46139907836914,-34.462432861328125,-1.0686891078948975,-2.0358607172966003,-43.19984659552574,-34.74260398745537,-18.17896042764187,-9.032205879688263,-43.19648063182831,-34.743248373270035
VGGSound,759,-2.4530224800109863,-4.525388717651367,-58.16461944580078,-41.52056121826172,-24.183656692504883,-17.63158416748047,-58.168373107910156,-41.52042770385742,1.4543037414550781,-8.43271517753601,-54.282960414886475,-45.43834614753723,-20.347152948379517,-21.57082509994507,-54.28671717643738,-45.438212394714355
VGGSound,281,-0.8879151344299316,-2.306825876235962,-45.04932403564453,-37.01812744140625,-21.712417602539062,-22.972980499267578,-45.04983901977539,-37.01789474487305,-7.960378646850586,4.765637159347534,-52.098026275634766,-29.823127269744873,-28.780705451965332,-15.856797218322754,-52.09853410720825,-29.822923183441162
VGGSound,250,-0.007076514419168234,-3.5061235427856445,-38.421958923339844,-27.063581466674805,-21.819570541381836,-17.73876953125,-38.095516204833984,-27.063365936279297,-4.587368739303201,1.0741686820983887,-42.82434606552124,-22.67931604385376,-26.428398609161377,-13.19597339630127,-42.680779457092285,-22.49733018875122
VGGSound,228,-5.368494987487793,-2.6217901706695557,-31.391923904418945,-40.93629837036133,-21.948122024536133,-11.788740158081055,-31.398561477661133,-40.93626022338867,-1.1323790550231934,-6.857906103134155,-27.126675128936768,-45.1614990234375,-17.72631311416626,-16.02256155014038,-27.13334321975708,-45.16142654418945
VGGSound,142,-4.208057403564453,-0.3325144052505493,-33.06953430175781,-36.515438079833984,-18.206378936767578,-22.59108543395996,-33.06984329223633,-36.51495361328125,4.828945159912109,-9.369516968727112,-24.032453536987305,-45.55243396759033,-9.304576873779297,-31.642273902893066,-24.03277015686035,-45.55194664001465
VGGSound,754,-0.5259740948677063,-2.3937597274780273,-46.948795318603516,-24.62841033935547,-24.29391098022461,-6.877937316894531,-46.95203399658203,-24.62838363647461,4.169538199901581,-7.089272499084473,-42.19870710372925,-29.305489540100098,-19.58028221130371,-11.575530529022217,-42.201945304870605,-29.305460929870605
VGGSound,104,-1.988289475440979,-0.08998125046491623,-40.284542083740234,-42.261016845703125,-11.089881896972656,-12.721256256103516,-40.28590774536133,-42.265628814697266,3.8724111318588257,-5.950682334601879,-34.42686414718628,-48.12249183654785,-5.26123046875,-18.591435432434082,-34.428229331970215,-48.127113819122314
VGGSound,692,-3.0813262462615967,-3.6919684410095215,-26.032974243164062,-26.785030364990234,-7.195566654205322,-13.821596145629883,-26.033042907714844,-26.7850284576416,-1.0210154056549072,-5.752279281616211,-23.957737922668457,-28.836098670959473,-5.217716693878174,-15.899110555648804,-23.957829475402832,-28.83607292175293
