method,audio,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
opt-model,cat_dog,-2.266583204269409,-3.8236143589019775,-27.16333770751953,-12.351290702819824,-4.193233013153076,-3.1425364017486572,-27.16336441040039,-12.351292610168457,-4.901841878890991,-1.1883559226989746,-29.798596382141113,-9.716035604476929,-6.828491926193237,-0.5072782039642334,-29.798623085021973,-9.716034173965454
opt-model,car-horn_thunder,-0.41006729006767273,-0.4817885458469391,-23.700807571411133,-29.578941345214844,-11.768577575683594,-12.351700782775879,-23.700801849365234,-29.578893661499023,0.7764696180820465,-1.6683253347873688,-22.514272689819336,-30.765479683876038,-10.582041144371033,-13.538237810134888,-22.514264941215515,-30.765430450439453
opt-model,violin_bass,-0.15049514174461365,-0.32126396894454956,-35.1138801574707,-33.64424133300781,-5.453866004943848,-24.282968521118164,-35.11397933959961,-33.64433288574219,1.3325150310993195,-7.060355365276337,-28.42281436920166,-40.33596658706665,1.1581978797912598,-30.999701023101807,-28.4229154586792,-40.336058139801025
nmf,cat_dog,19.995437622070312,17.360177993774414,19.95227813720703,17.415176391601562,20.689910888671875,18.73747444152832,19.952186584472656,17.415081024169922,17.36017894744873,19.995436429977417,17.31701946258545,20.050431489944458,18.054651975631714,21.372732639312744,17.316927909851074,20.050339460372925
nmf,car-horn_thunder,12.037738800048828,13.224276542663574,11.994852066040039,13.132814407348633,17.520002365112305,13.211490631103516,11.994853019714355,13.132814407348633,13.224275708198547,12.037739753723145,13.181386947631836,11.946276068687439,18.706538796424866,12.024953603744507,13.181389927864075,11.946277618408203
nmf,violin_bass,0.688657820224762,5.381905555725098,-7.606170177459717,5.433165550231934,-0.8019760251045227,5.664915561676025,-7.606169700622559,5.433165550231934,2.171667993068695,-1.3571858406066895,-0.9151043891906738,-1.2585597038269043,5.810087859630585,-1.0518169403076172,-0.9151058197021484,-1.2585597038269043
dgmo,cat_dog,8.153000831604004,6.652880668640137,7.8519134521484375,5.598448753356934,11.006863594055176,8.698831558227539,7.851914405822754,5.598433494567871,5.517742156982422,9.28813910484314,5.2166547775268555,8.233703851699829,8.371604681015015,11.334089756011963,5.216655731201172,8.233691930770874
dgmo,car-horn_thunder,2.63249135017395,6.959573745727539,1.7544379234313965,6.262128829956055,2.003716230392456,6.404126167297363,1.754434585571289,6.262124061584473,3.8190282583236694,5.773036956787109,2.9409728050231934,5.075590491294861,3.190252661705017,5.2175891399383545,2.9409714937210083,5.075587272644043
dgmo,violin_bass,1.9388251304626465,1.3190958499908447,-2.1198277473449707,2.3070714473724365,-0.1295435130596161,6.033621788024902,-2.1198291778564453,2.3070595264434814,3.4218353033065796,-5.419995546340942,4.571238040924072,-4.384653806686401,6.482520371675491,-0.6831107139587402,4.571234703063965,-4.3846657276153564
audiosep,cat_dog,0.06648806482553482,22.088329315185547,-12.40432357788086,22.079509735107422,0.1131913810968399,22.377866744995117,-12.404424667358398,22.07939910888672,-2.568770609796047,24.72358775138855,-15.039582252502441,24.714764833450317,-2.5220675319433212,25.01312494277954,-15.03968334197998,24.71465754508972
audiosep,car-horn_thunder,32.067588806152344,29.168685913085938,32.350494384765625,29.164913177490234,33.365440368652344,29.255207061767578,32.350440979003906,29.164831161499023,33.25412571430206,27.982149124145508,33.53702926635742,27.97837483882904,34.551976799964905,28.06867003440857,33.536977887153625,27.978294372558594
audiosep,violin_bass,4.9617156982421875,9.169403076171875,10.636978149414062,38.69590759277344,28.083967208862305,39.49522399902344,10.636977195739746,38.695796966552734,6.444725871086121,2.430311679840088,17.328043937683105,32.0041823387146,34.69603109359741,32.778491497039795,17.328041076660156,32.0040717124939
