dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-0.5223457217216492,-4.5020623207092285,-28.606613159179688,-24.15353775024414,-20.932985305786133,-14.40317153930664,-28.609642028808594,-24.15353775024414,-0.5643746517598629,-4.460033316165209,-28.6493373028934,-24.112211272120476,-20.99799371510744,-14.387908414006233,-28.652364630252123,-24.112211272120476
Audiocaps,204,-0.8235001564025879,-2.5717039108276367,-45.592288970947266,-47.24590301513672,-24.87167739868164,-11.829178810119629,-45.59217071533203,-47.24610900878906,-0.04427379369735718,-3.3509302735328674,-44.80805450677872,-48.020945847034454,-24.112708508968353,-12.628790259361267,-44.80793595314026,-48.0211501121521
Audiocaps,2253,-1.037555456161499,-0.4794585406780243,-33.97148513793945,-30.130556106567383,-16.812946319580078,-17.347980499267578,-33.9714469909668,-30.13359832763672,-1.0028839893639088,-0.5141301862895489,-33.9467509444803,-30.17481280863285,-16.814088719314896,-17.417883850634098,-33.94657091423869,-30.177986219525337
Audiocaps,2006,-0.17065496742725372,-1.4775789976119995,-45.11935806274414,-33.72077178955078,-23.708669662475586,-12.183104515075684,-45.120567321777344,-33.72084045410156,-0.1713424443732947,-1.476891670783516,-45.11161903291941,-33.711654506623745,-23.74462516978383,-12.204967565834522,-45.112827773205936,-33.711724208667874
Audiocaps,1828,-0.09455409646034241,-1.7003201246261597,-42.96998596191406,-34.28105163574219,-22.165769577026367,-11.072596549987793,-42.970062255859375,-34.281070709228516,-0.2427457720041275,-1.5521283894777298,-43.08302667737007,-34.09648407995701,-22.322265058755875,-10.926931992173195,-43.08310145139694,-34.096502870321274
Audiocaps,1143,-0.8388198018074036,-0.3268459737300873,-29.64498519897461,-48.09170150756836,-14.073307991027832,-23.56252670288086,-29.644969940185547,-48.09166717529297,-0.8486024718731642,-0.3170630093663931,-29.654091646894813,-48.081241603940725,-14.107837338000536,-23.57757106050849,-29.65407483931631,-48.081207271665335
Audiocaps,839,-6.661407470703125,-7.409262180328369,-49.14157485961914,-49.25636291503906,-32.21553421020508,-26.174362182617188,-49.13549041748047,-49.24296951293945,-6.6876859329640865,-7.382983647286892,-49.2739541977644,-49.33680921792984,-32.37205281853676,-26.31258089840412,-49.267869755625725,-49.323426485061646
Audiocaps,4467,-1.979986548423767,-0.1613185554742813,-32.621803283691406,-42.333778381347656,-12.538060188293457,-19.744400024414062,-32.621803283691406,-42.33379364013672,-2.054571695625782,-0.08673356473445892,-32.69646526873112,-42.259273178875446,-12.625192023813725,-19.677107624709606,-32.69646680355072,-42.25928843766451
Audiocaps,712,-4.712231636047363,-1.0025815963745117,-31.706069946289062,-26.59246063232422,-12.373632431030273,-13.40428638458252,-31.706066131591797,-26.592466354370117,-4.665862914174795,-1.0489501878619194,-31.626458771526814,-26.605941807851195,-12.318744387477636,-13.440370786935091,-31.626454681158066,-26.6059480458498
Audiocaps,3456,-0.9913938641548157,-5.043022632598877,-40.35905456542969,-56.95556640625,-23.890304565429688,-5.425775527954102,-40.359039306640625,-56.95417404174805,-1.3282247185707092,-4.706192076206207,-40.77825152873993,-56.70750394463539,-24.336617708206177,-5.221967473626137,-40.77814644575119,-56.70619024336338
Audiocaps,260,-1.6098500490188599,-0.35267624258995056,-43.08629608154297,-36.10552978515625,-24.384777069091797,-17.485132217407227,-43.08618927001953,-36.10541534423828,-1.6223443010821939,-0.34018202777951956,-43.11719573289156,-36.11149343987927,-24.43535992130637,-17.513662619516253,-43.117090463638306,-36.11137848161161
Audiocaps,244,-1.2894474267959595,-0.08468278497457504,-37.20500564575195,-48.942779541015625,-19.00981903076172,-19.945199966430664,-37.205020904541016,-48.94092559814453,-1.2271713018417358,-0.14695894345641136,-37.163486298173666,-49.02551934123039,-18.982718359678984,-20.040332302451134,-37.16350233927369,-49.023663863539696
Audiocaps,767,-0.524077296257019,-8.070012092590332,-41.377601623535156,-26.98472785949707,-23.2276668548584,-11.643865585327148,-41.37785339355469,-26.984739303588867,-0.5351418657228351,-8.058947548270226,-41.38857220765203,-26.97356910817325,-23.26640149950981,-11.680583354085684,-41.388823977671564,-26.973579255864024
Audiocaps,1791,-2.1374363899230957,-0.29669439792633057,-50.15316390991211,-46.42641067504883,-25.368785858154297,-20.837480545043945,-50.15386962890625,-46.42684555053711,-2.2562140822410583,-0.17791666090488434,-50.27385846525431,-46.30960330367088,-25.50522755086422,-20.726960510015488,-50.27456519007683,-46.31003870815039
Audiocaps,1905,-0.32610952854156494,-0.18740558624267578,-36.18149185180664,-48.335662841796875,-21.910118103027344,-24.454593658447266,-36.18144607543945,-48.33605194091797,-1.6939054727554321,1.1803903579711914,-37.55367350578308,-46.97387504577637,-23.304609060287476,-23.113343238830566,-37.55362820625305,-46.9742648601532
Audiocaps,4139,-0.3151524066925049,-2.5120413303375244,-52.92890930175781,-65.4048080444336,-25.120161056518555,-19.506866455078125,-52.90753936767578,-65.40438842773438,-0.7291330099105835,-2.098060518503189,-53.34123995900154,-64.98909363150597,-25.560335755348206,-19.126905113458633,-53.319908618927,-64.98863637447357
Audiocaps,217,-0.9003274440765381,-4.645391941070557,-29.234397888183594,-30.837894439697266,-18.491579055786133,-11.511431694030762,-29.234203338623047,-30.838714599609375,-0.8991518031107262,-4.646567522664554,-29.221074674278498,-30.82692565768957,-18.497380004730076,-11.528773592785,-29.220879605039954,-30.82774400152266
Audiocaps,4597,-0.21459391713142395,-0.4672703444957733,-32.49679946899414,-47.95652770996094,-15.203178405761719,-23.524456024169922,-32.496829986572266,-47.959957122802734,-0.20784512255340815,-0.4740192648023367,-32.53801051527262,-48.01115773245692,-15.307193644344807,-23.611201621592045,-32.53803846985102,-48.014589700847864
