dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-2.015127182006836,-3.6888084411621094,-42.026390075683594,-37.034847259521484,-19.831594467163086,-4.023327827453613,-42.026763916015625,-37.052825927734375,-2.0799405574798584,-3.623994879424572,-42.19132721424103,-37.071546133607626,-20.135908722877502,-4.162076652050018,-42.191654205322266,-37.08957767859101
Audioset,912,-1.9086556434631348,-0.10921332985162735,-35.326026916503906,-31.058576583862305,-9.98032283782959,-15.58244514465332,-35.32506561279297,-31.058826446533203,-1.9147402765229344,-0.10312897339463234,-35.43847590684891,-31.15900570899248,-10.209725558757782,-15.802078977227211,-35.43751863390207,-31.15925658494234
Audioset,204,-4.731115341186523,-2.036477565765381,-36.14570999145508,-47.68659210205078,-14.136502265930176,-17.300683975219727,-36.14570999145508,-47.69401931762695,-4.8217562064528465,-1.9458366259932518,-36.021888464689255,-47.37684342265129,-14.120349185541272,-17.282566726207733,-36.02189166098833,-47.38427758216858
Audioset,2253,-1.588929295539856,-0.47282302379608154,-34.271949768066406,-32.499271392822266,-13.692167282104492,-11.567545890808105,-34.27162551879883,-32.49923324584961,-1.4840539395809174,-0.5776986181735992,-34.116016298532486,-32.55431346595287,-13.666111260652542,-11.748402133584023,-34.115691781044006,-32.55427633970976
Audioset,2006,-1.8938186168670654,-2.459789991378784,-69.28060150146484,-29.13164520263672,-13.51340389251709,-10.300999641418457,-69.28130340576172,-29.131526947021484,-0.5323804616928101,-3.821227788925171,-67.91205441951752,-30.48788285255432,-12.232325077056885,-11.745010018348694,-67.91275227069855,-30.487768054008484
Audioset,1828,-27.560012817382812,-13.162623405456543,-30.04938316345215,-48.77165222167969,-13.405364036560059,-15.107650756835938,-30.05073356628418,-49.62320327758789,-27.540385277941823,-13.182250769808888,-30.151409067213535,-48.9124449044466,-13.664647728204727,-15.457614362239838,-30.152795881032944,-49.76397641003132
Audioset,1143,-9.837259292602539,-12.86158561706543,-31.7430477142334,-43.57915496826172,-13.774641036987305,-16.208837509155273,-31.742918014526367,-43.5718879699707,-9.83381949737668,-12.865025534993038,-31.60532385110855,-43.448421850800514,-13.76347483228892,-16.242722492665052,-31.605163425207138,-43.44112150371075
Audioset,839,-21.23613739013672,-23.778226852416992,-38.04496383666992,-56.637264251708984,-12.36535930633545,-14.773334503173828,-38.055030822753906,-57.17827224731445,-21.205153971910477,-23.80921029485762,-38.00754725560546,-56.674727972596884,-12.368229106534272,-14.820408776402473,-38.02340600639582,-57.20861926116049
Audioset,4467,-15.108148574829102,-3.8141510486602783,-41.2126579284668,-41.30393981933594,-13.208066940307617,-18.2362117767334,-41.208213806152344,-41.303958892822266,-15.055275104939938,-3.8670245818793774,-41.18749051168561,-41.38419757783413,-13.286951638758183,-18.4241191893816,-41.18305133655667,-41.38420953601599
Audioset,712,-1.81741464138031,-4.706310749053955,-26.286420822143555,-30.619848251342773,-10.010382652282715,-16.760242462158203,-26.287368774414062,-30.619726181030273,-1.6805502772331238,-4.84317521750927,-26.113003432750702,-30.72129812836647,-9.91470231860876,-16.989628076553345,-26.113953545689583,-30.72117656469345
Audioset,4837,-1.5374046564102173,-0.3929634392261505,-50.97486877441406,-39.49116134643555,-7.939753532409668,-21.527067184448242,-50.97627639770508,-39.424808502197266,-1.3641068935394287,-0.5662610977888107,-51.0429452508688,-39.896620482206345,-8.212747514247894,-22.088103532791138,-51.04434625059366,-39.830280393362045
Audioset,3456,-1.0202796459197998,-11.666947364807129,-42.30268859863281,-32.555450439453125,-17.443439483642578,-4.8981828689575195,-42.30030822753906,-32.55530548095703,-0.9303781986236572,-11.756848931312561,-42.21407821029425,-32.64663074910641,-17.505626551806927,-5.1543188393116,-42.211708411574364,-32.64648173749447
Audioset,260,-12.74152946472168,-24.468612670898438,-69.55165100097656,-45.23056411743164,-14.971595764160156,-16.992971420288086,-70.5986099243164,-45.229637145996094,-12.730171652510762,-24.479970548301935,-69.54780005058274,-45.24945390224457,-15.027602963149548,-17.123421907424927,-70.59478591894731,-45.248510437086225
Audioset,244,-3.5039222240448,-1.0109238624572754,-36.684574127197266,-44.35756301879883,-8.725638389587402,-15.629927635192871,-36.683685302734375,-44.35773468017578,-3.474012028425932,-1.0408338569104671,-36.63343704864383,-44.36641372554004,-8.820890337228775,-15.761053577065468,-36.63256210461259,-44.36657712049782
Audioset,767,-0.22598978877067566,-2.12686824798584,-20.46410369873047,-32.970489501953125,-4.524937152862549,-6.931363582611084,-20.464122772216797,-32.97102737426758,-0.23851346597075462,-2.114344697445631,-20.492833521217108,-32.974217551527545,-4.6874940395355225,-7.0379637479782104,-20.492851566523314,-32.97475852747448
Audioset,1791,-13.349788665771484,-2.2232654094696045,-51.66144561767578,-46.396644592285156,-20.342721939086914,-5.174448013305664,-51.65056228637695,-46.39634704589844,-13.337671381421387,-2.2353827953338623,-51.729497626423836,-46.48871250450611,-20.559278085827827,-5.368391513824463,-51.71862296015024,-46.48842103779316
Audioset,1905,-21.470829010009766,-17.62039566040039,-40.91028594970703,-38.200439453125,-14.801675796508789,-19.768625259399414,-40.91245651245117,-38.18940734863281,-21.46933901705779,-17.621885918662883,-40.79333098977804,-38.08647645264864,-14.797052083536983,-19.81389281526208,-40.79549649357796,-38.07547198981047
Audioset,4139,-1.8091988563537598,-6.265852928161621,-23.294456481933594,-42.81129837036133,-9.114326477050781,-10.4401216506958,-23.29427719116211,-42.811275482177734,-6.991034030914307,-1.0840177536010742,-28.480342864990234,-37.64284610748291,-14.370497703552246,-5.555477142333984,-28.480172634124756,-37.64281368255615
Audioset,4931,-1.1811543703079224,-1.7441620826721191,-35.68915939331055,-18.314863204956055,-12.614521026611328,-9.451598167419434,-35.692928314208984,-18.314912796020508,-1.141265518963337,-1.784050852060318,-35.64809998869896,-18.354227155447006,-12.733033403754234,-9.73157012462616,-35.652139890939,-18.35391093045473
Audioset,217,-0.2301464080810547,-7.563909530639648,-47.650672912597656,-26.959976196289062,-16.83918571472168,-15.480304718017578,-47.863380432128906,-26.959423065185547,-0.23044356884201989,-7.5636126084427815,-47.72254831343889,-27.03126086294651,-16.99370366334915,-15.669752016663551,-47.93525227159262,-27.030706204473972
Audioset,4597,-0.2616158127784729,-2.576491355895996,-46.020721435546875,-42.50977325439453,-16.463319778442383,-19.060504913330078,-46.01872253417969,-42.51649856567383,-0.17406023293733597,-2.6640468910336494,-45.93872727453709,-42.60278584808111,-16.473008391447365,-19.287089183926582,-45.9367283731699,-42.60950507223606
Audioset,1628,-8.165058135986328,-0.6026921272277832,-37.91193389892578,-33.285308837890625,-16.63962173461914,-17.123878479003906,-37.934043884277344,-33.43750762939453,-8.092096090316772,-0.6756540685892105,-37.68045201897621,-33.20248180627823,-16.495943278074265,-17.26109842956066,-37.702580854296684,-33.354657635092735
Audioset,4464,-3.821218490600586,-0.5064298510551453,-39.667762756347656,-40.93227767944336,-18.797761917114258,-21.595806121826172,-39.667354583740234,-40.932647705078125,-3.8630079701542854,-0.4646405205130577,-39.687377750873566,-40.868093095719814,-18.957530558109283,-21.654580291360617,-39.68696854636073,-40.86846785247326
Audioset,3436,-0.5117197036743164,-6.73858642578125,-30.84539222717285,-35.8885612487793,-16.26184844970703,-17.7822265625,-30.845352172851562,-35.91992950439453,-0.49333650059998035,-6.7569694723933935,-30.80528574809432,-35.880944098345935,-16.3506625816226,-17.892147563397884,-30.803035125136375,-35.914478382561356
Audioset,1805,-25.69328498840332,-11.539077758789062,-46.218910217285156,-34.89417266845703,-22.245849609375,-13.114106178283691,-46.21006774902344,-34.89468002319336,-25.540768340229988,-11.691594317555428,-46.124547123909,-35.102855890989304,-22.289973992854357,-13.42310917377472,-46.11572476476431,-35.10337854921818
Audioset,3679,-1.259440302848816,-0.09365178644657135,-19.79722023010254,-29.49894905090332,-2.554866075515747,-16.14008331298828,-19.79720687866211,-29.497995376586914,-1.1956027522683144,-0.1574893295764923,-19.50268131494522,-29.335545226931572,-2.3970873951911926,-16.06667823344469,-19.502667129039764,-29.33458563685417
Audioset,4827,-5.864292144775391,-20.431713104248047,-42.23886489868164,-34.72579574584961,-17.618627548217773,-17.641393661499023,-42.228118896484375,-34.7172737121582,-5.25607830286026,-21.039927005767822,-41.55653715133667,-35.268343925476074,-17.065910518169403,-18.327020525932312,-41.54690992832184,-35.26210409402847
Audioset,2278,-7.269105911254883,-0.21616019308567047,-27.642452239990234,-74.41363525390625,-12.837530136108398,-11.260032653808594,-27.640483856201172,-74.09066009521484,-7.248589752241969,-0.2366765048354864,-27.610453225672245,-74.4231074647978,-12.840861432254314,-11.377638690173626,-27.608692411333323,-74.09995356202126
