dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-1.9086322784423828,-0.833677351474762,-28.2653865814209,-40.29801940917969,-14.922555923461914,-10.751248359680176,-28.267127990722656,-40.2994499206543,-2.366827517747879,-0.3754821717739105,-28.720618724822998,-39.8365640938282,-15.417362660169601,-10.337143212556839,-28.722357839345932,-39.83796063065529
ESC50,228,-1.7168707847595215,-5.4925217628479,-55.311553955078125,-24.744518280029297,-22.921274185180664,-6.6015167236328125,-55.244956970214844,-24.744426727294922,-1.7366233840584755,-5.472768886014819,-55.591904044151306,-24.986515164375305,-23.293741047382355,-6.95433109998703,-55.52529054880142,-24.986406981945038
ESC50,51,-1.206838846206665,-11.878233909606934,-67.40316009521484,-37.17025375366211,-17.174598693847656,-17.78243064880371,-67.31401824951172,-37.161373138427734,-1.801481544971466,-11.283591032028198,-67.98917156457901,-36.56571888923645,-17.800780832767487,-17.223294377326965,-67.9000433087349,-36.556846261024475
ESC50,1518,-19.66808319091797,-10.534819602966309,-35.96818161010742,-33.1900634765625,-10.587187767028809,-14.838279724121094,-35.98186111450195,-33.188961029052734,-18.252611875534058,-11.95029091835022,-34.57182419300079,-34.62374758720398,-9.20418667793274,-16.303710103034973,-34.587650299072266,-34.61978900432587
ESC50,563,-25.35569953918457,-8.234183311462402,-33.72359848022461,-44.01290512084961,-16.58504295349121,-16.76300621032715,-33.723690032958984,-44.01360321044922,-25.382023287937045,-8.20785972289741,-33.709546092897654,-43.94598876684904,-16.630381006747484,-16.73779040761292,-33.70965816266835,-43.94667845219374
ESC50,501,-5.581714153289795,-0.09704407304525375,-66.14048767089844,-46.361106872558594,-12.184884071350098,-11.67191219329834,-65.98873138427734,-46.38938903808594,-5.591670899651945,-0.08708727918565273,-66.18376339226961,-46.384596874937415,-12.243946611881256,-11.740216456353664,-66.03206451609731,-46.412886248901486
ESC50,457,-0.145414337515831,-1.0675212144851685,-35.307518005371094,-38.84157943725586,-19.186643600463867,-7.7299065589904785,-35.3107795715332,-38.84159851074219,-0.1416076913010329,-1.0713278893381357,-35.32113956194371,-38.86281707882881,-19.253458455204964,-7.787552051246166,-35.3244104180485,-38.86282842606306
ESC50,285,-5.772489070892334,-4.38374137878418,-36.92079162597656,-18.395069122314453,-13.07756233215332,-10.163999557495117,-36.92079162597656,-18.395057678222656,-5.397159844636917,-4.759070783853531,-36.58123055100441,-18.803218245506287,-12.772507637739182,-10.641997426748276,-36.58123055100441,-18.80320680141449
ESC50,1508,-0.582534670829773,-7.168012619018555,-44.295650482177734,-26.01287078857422,-19.17339515686035,-12.684686660766602,-44.294944763183594,-26.012847900390625,0.7062031030654907,-8.456750273704529,-43.11066520214081,-27.378957748413086,-18.05905318260193,-14.087027668952942,-43.1099591255188,-27.378934860229492
ESC50,209,-1.100400447845459,-0.459474116563797,-43.39335632324219,-37.604148864746094,-27.076614379882812,-16.22801399230957,-43.39152908325195,-37.62163162231445,-1.1725095734000206,-0.3873651698231697,-43.44148403406143,-37.50755164027214,-27.159135825932026,-16.178115539252758,-43.439615834504366,-37.52509632706642
ESC50,1385,-0.159787118434906,-6.8436665534973145,-32.000022888183594,-31.794443130493164,-19.573287963867188,-6.097293853759766,-32.054725646972656,-31.796302795410156,-0.16539247147738934,-6.838060955051333,-32.00883019436151,-31.792004246264696,-19.615448258817196,-6.146848037838936,-32.063516420312226,-31.793885667808354
ESC50,1516,-2.084285259246826,-17.664169311523438,-41.98442840576172,-19.884483337402344,-17.89031982421875,-7.8797287940979,-41.983741760253906,-19.884511947631836,-2.0408707335591316,-17.707582913339138,-41.94353049620986,-19.930390901863575,-17.89019947573979,-7.953655570745468,-41.94284489378333,-19.930419512093067
ESC50,1827,-12.534967422485352,-6.806281566619873,-26.51449966430664,-37.80386734008789,-14.799196243286133,-11.783927917480469,-26.513856887817383,-37.82215118408203,-12.50942949205637,-6.831819463521242,-26.490262430161238,-37.830669632181525,-14.825324716046453,-11.90023023635149,-26.48962616175413,-37.84898743405938
ESC50,1116,-0.4910828173160553,-2.2932043075561523,-56.48099136352539,-26.608083724975586,-17.240922927856445,-15.26612663269043,-56.494197845458984,-26.601316452026367,-0.7083368599414825,-2.0759502351284027,-56.71613496541977,-26.409506052732468,-17.524500012397766,-15.106451585888863,-56.729277193546295,-26.402799740433693
ESC50,178,-18.626220703125,-8.99220085144043,-36.236610412597656,-36.56184387207031,-12.964509010314941,-22.945018768310547,-36.24153518676758,-36.55934524536133,-18.678992457687855,-8.93942878395319,-36.289856776595116,-36.50455031916499,-13.028380453586578,-22.917216565459967,-36.292220674455166,-36.504463110119104
ESC50,1209,-0.861923098564148,-0.9903702735900879,-37.312950134277344,-28.19375228881836,-18.790618896484375,-11.851309776306152,-37.31325912475586,-28.193763732910156,-0.8640291879419237,-0.9882641984149814,-37.228967040777206,-28.105515986680984,-18.74939873814583,-11.831089356914163,-37.229276560246944,-28.105526641011238
ESC50,864,-0.3854808211326599,-0.22730977833271027,-48.111263275146484,-63.1518440246582,-19.18186378479004,-17.458229064941406,-48.11580276489258,-63.151676177978516,-1.5226890444755554,0.9098984450101852,-49.24874794483185,-62.01499593257904,-20.34971809387207,-16.379061937332153,-49.253289103507996,-62.0148264169693
ESC50,65,-2.374403238296509,-1.8654016256332397,-31.850570678710938,-49.49171447753906,-4.750180721282959,-16.307235717773438,-31.8507080078125,-49.493038177490234,0.9963772296905518,-5.2361820936203,-28.4895076751709,-52.866971492767334,-1.4620580673217773,-19.75809359550476,-28.48964548110962,-52.86829328536987
ESC50,61,-2.8236522674560547,-0.0628676787018776,-32.48353958129883,-61.375885009765625,-14.442736625671387,-18.031904220581055,-32.506309509277344,-63.89706802368164,-2.9715517312288284,0.08503157645463943,-32.59969748556614,-61.166305273771286,-14.579841867089272,-17.877401188015938,-32.6068119853735,-63.700121000409126
ESC50,191,-15.090155601501465,-5.919093608856201,-42.4056396484375,-29.468339920043945,-17.063383102416992,-13.238237380981445,-42.4056396484375,-29.46837043762207,-15.068375242874026,-5.940873716026545,-42.37664058431983,-29.482938339933753,-17.123825062066317,-13.33074451982975,-42.37664006650448,-29.48296834155917
ESC50,447,-0.8175511360168457,-4.911728858947754,-20.51837158203125,-41.14223098754883,-13.399970054626465,-9.9530668258667,-20.52003288269043,-41.1422233581543,-0.9216777086257935,-4.807602062821388,-20.63272912800312,-41.04921846091747,-13.699548214673996,-10.053854838013649,-20.634704068303108,-41.048895835876465
ESC50,476,-1.1741926670074463,-7.931314468383789,-44.91471481323242,-35.24156188964844,-14.03904914855957,-13.139656066894531,-44.91533660888672,-35.2600212097168,0.09528660774230957,-9.200793743133545,-43.649240374565125,-36.51397669315338,-12.77733862400055,-14.412804007530212,-43.64984905719757,-36.532480359077454
ESC50,1034,-19.66063117980957,-2.239686965942383,-43.791221618652344,-46.41393280029297,-22.081836700439453,-21.50230598449707,-43.75701904296875,-46.41378402709961,-19.623108591884375,-2.2772097140550613,-43.644638523459435,-46.34336404502392,-22.0119249522686,-21.469528429210186,-43.610446125268936,-46.343207120895386
ESC50,1232,-8.98340892791748,-0.32960736751556396,-54.95248794555664,-29.295419692993164,-19.292522430419922,-19.44141387939453,-55.40618133544922,-29.32835578918457,-9.04466324672103,-0.2683528959751129,-55.16014274954796,-29.372905641794205,-19.548016488552094,-19.593206748366356,-55.61264157295227,-29.41433661431074
ESC50,54,-2.1144888401031494,-0.2628796100616455,-25.524118423461914,-46.06194305419922,-12.397940635681152,-21.079875946044922,-25.52525520324707,-46.06154251098633,-0.9598255157470703,-1.4175430536270142,-24.373060941696167,-47.219367265701294,-11.296627879142761,-22.282031536102295,-24.37419867515564,-47.21896994113922
ESC50,1149,-0.5244752764701843,-5.801895618438721,-28.62030792236328,-20.648929595947266,-17.124942779541016,-6.758805274963379,-28.62118911743164,-20.648841857910156,-0.524722739297431,-5.801647882646648,-28.59174976311624,-20.61987528577447,-17.1306469370611,-6.749885348603129,-28.59262366220355,-20.619779471307993
ESC50,407,-5.165047645568848,-12.20508861541748,-54.2873649597168,-54.96485900878906,-22.12082862854004,-18.384777069091797,-54.28757095336914,-54.96979522705078,-4.894802510738373,-12.475333988666534,-54.06717325747013,-55.282150596380234,-21.925949215888977,-18.749230533838272,-54.06737680733204,-55.28708729147911
ESC50,1466,-0.8386532068252563,-0.43896254897117615,-23.623424530029297,-23.734352111816406,-15.60470199584961,-16.240432739257812,-23.62348747253418,-23.807607650756836,-0.8395886249491014,-0.4380271882400848,-23.746638514101505,-23.506692349910736,-15.576637551188469,-16.243714645970613,-23.572725977748632,-23.754964496940374
ESC50,1330,-0.3780110776424408,-13.257770538330078,-27.178653717041016,-19.193906784057617,-17.608299255371094,-5.328823566436768,-27.17865562438965,-19.194082260131836,-0.7145256698131561,-12.921256065368652,-27.532971769571304,-18.876613676548004,-17.974331557750702,-5.018612772226334,-27.532904028892517,-18.876729279756546
ESC50,1436,-5.490799427032471,-1.267162561416626,-29.081037521362305,-14.854310035705566,-6.444741725921631,-12.09576416015625,-29.080718994140625,-14.854369163513184,-5.3278613686561584,-1.4301005601882935,-28.91995456814766,-15.01903384923935,-6.284164249897003,-12.262856155633926,-28.91963818669319,-15.019095972180367
ESC50,859,-14.170995712280273,-17.196386337280273,-54.64284896850586,-49.528324127197266,-19.224275588989258,-31.4388484954834,-54.63506317138672,-55.338199615478516,-14.17126750643365,-17.196114784979727,-54.64734820695594,-49.53232425497845,-19.277600053697824,-31.498754631727934,-54.63957171887159,-55.342166122514755
ESC50,451,-4.9750285148620605,-1.3829478025436401,-22.579740524291992,-31.209474563598633,-12.360431671142578,-14.164231300354004,-22.57974624633789,-31.209735870361328,-4.960936133749783,-1.397040531039238,-22.546303365379572,-31.20428080484271,-12.371135257184505,-14.206297788769007,-22.546307262033224,-31.204542370978743
ESC50,919,-3.2432737350463867,-2.9064676761627197,-34.44247055053711,-25.414384841918945,-16.425874710083008,-12.980602264404297,-34.442893981933594,-25.41434669494629,-3.321187362074852,-2.8285540640354156,-34.49674370884895,-25.312404096126556,-16.53641091287136,-12.926217645406723,-34.497166626155376,-25.31236197054386
