dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-0.0480320118367672,-1.1988602876663208,-21.61444854736328,-18.33676528930664,-12.071941375732422,-9.803727149963379,-21.614377975463867,-18.336732864379883,-0.03893366549164057,-1.2079589869827032,-21.611345523502678,-18.351844577118754,-12.086540148593485,-9.844242539256811,-21.611271583940834,-18.35180957429111
Music,204,-0.3107576370239258,-4.442339897155762,-25.71416473388672,-28.111255645751953,-16.313899993896484,-17.555850982666016,-25.714149475097656,-28.11119842529297,-0.3087839011568576,-4.444313512649387,-25.687477566301823,-28.088526636362076,-16.299764038063586,-17.597821906208992,-25.68746204674244,-28.088469674810767
Music,2253,0.1048639714717865,-0.5318594574928284,-15.600770950317383,-21.817276000976562,-10.56273365020752,-9.61556339263916,-15.600887298583984,-21.81728172302246,0.10607405018527061,-0.5330691991839558,-15.588060478679836,-21.807044696062803,-10.55358172673732,-9.610938194207847,-15.588204346597195,-21.807022914290428
Music,2006,-2.153576135635376,-0.8745087385177612,-27.84769058227539,-31.43669891357422,-10.149749755859375,-11.976423263549805,-27.847692489624023,-31.436721801757812,-2.154728426015936,-0.8733566601295024,-27.869518596678972,-31.456227837130427,-10.192649837583303,-12.025854036211967,-27.86951844394207,-31.45625227317214
Music,1828,-0.4798777401447296,-0.5703037977218628,-39.81361389160156,-41.69498062133789,-21.409791946411133,-15.152926445007324,-39.81367111206055,-41.69510269165039,-0.48019301978638396,-0.5699887540540658,-39.816384359495714,-41.6971193109639,-21.43173035979271,-15.166868733242154,-39.8164415799547,-41.6972413812764
Music,1143,-1.9894757270812988,-4.176461219787598,-41.82908630371094,-23.502405166625977,-21.106313705444336,-10.333890914916992,-41.824066162109375,-23.498899459838867,-1.9890664506528992,-4.17687071650289,-41.81076315045357,-23.483660608530045,-21.110940895508975,-10.355885840952396,-41.80533876270056,-23.480990394949913
Music,839,-0.07003311067819595,-4.3950605392456055,-41.42496109008789,-22.26813316345215,-22.690134048461914,-8.780274391174316,-41.424720764160156,-22.26813507080078,-0.06949568470008671,-4.395597898692358,-41.50929860025644,-22.353535823524,-22.783992260694504,-8.891151204705238,-41.50905827432871,-22.35353773087263
Music,4467,-1.7182562351226807,-10.777464866638184,-34.34737777709961,-37.63908386230469,-16.694387435913086,-22.288217544555664,-34.3431396484375,-37.638580322265625,-1.7179852005792782,-10.777736143121729,-34.3365545803681,-37.6297050928697,-16.689958915114403,-22.34322775527835,-34.33282271772623,-37.62880592048168
Music,712,-0.5384672284126282,-3.1298179626464844,-29.767568588256836,-28.638219833374023,-17.047809600830078,-14.040237426757812,-29.76751136779785,-28.63821792602539,-0.54052157048136,-3.1277634252328426,-29.967931017279625,-28.834565073251724,-17.30785295367241,-14.389515340328217,-29.967872321605682,-28.83456316590309
Music,4837,-1.636638879776001,-0.016356265172362328,-43.085304260253906,-62.3888053894043,-18.36387062072754,-22.138675689697266,-43.085296630859375,-62.39222717285156,-1.637066494935425,-0.015928349050227553,-43.1037703063339,-62.40641919337213,-18.39980459585786,-22.16712032444775,-43.103764740750194,-62.409840976819396
