dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-3.5932021141052246,-18.348237991333008,-52.5978889465332,-34.70610046386719,-24.125076293945312,-26.59474754333496,-52.62202453613281,-34.706092834472656,6.272421360015869,-28.213860511779785,-42.794718742370605,-44.57819938659668,-14.543349266052246,-36.479597091674805,-42.81881809234619,-44.5781946182251
VGGSound,114,-6.079177379608154,-15.641751289367676,-42.64693832397461,-61.640933990478516,-24.092185974121094,-18.240617752075195,-42.646202087402344,-61.46919631958008,0.3550558090209961,-22.075984477996826,-36.1980094909668,-68.07182693481445,-17.71910285949707,-24.690475463867188,-36.197250843048096,-67.90009117126465
VGGSound,25,-10.190046310424805,-2.114013671875,-36.997989654541016,-34.23954772949219,-18.3877010345459,-14.698896408081055,-36.998504638671875,-34.24184799194336,-9.916929721832275,-2.387130320072174,-36.73459467291832,-34.51875755190849,-18.154468163847923,-15.014005959033966,-36.73358619213104,-34.52266350388527
VGGSound,759,-8.41164493560791,-4.209164619445801,-46.406578063964844,-46.4285888671875,-25.377561569213867,-22.553245544433594,-46.405601501464844,-46.42933654785156,-4.504318714141846,-8.116491079330444,-42.52491903305054,-50.34637379646301,-21.5410578250885,-26.492486476898193,-42.523945569992065,-50.347121238708496
VGGSound,281,-1.489859700202942,-9.854344367980957,-53.29048538208008,-42.85606002807617,-20.584259033203125,-23.573694229125977,-53.288516998291016,-42.85443878173828,-8.562323212623596,-2.781881332397461,-60.33918762207031,-35.661059856414795,-27.652546882629395,-16.457510948181152,-60.33721208572388,-35.6594672203064
VGGSound,250,-1.8853206634521484,-0.2020358294248581,-31.598539352416992,-42.7520751953125,-17.18202781677246,-16.23343849182129,-31.105358123779297,-42.75273895263672,-6.465612888336182,4.378256395459175,-36.00092649459839,-38.367809772491455,-21.790855884552002,-11.690642356872559,-35.6906213760376,-38.18670320510864
VGGSound,228,-5.438082695007324,-5.400786876678467,-34.24430465698242,-41.269508361816406,-20.036657333374023,-12.208832740783691,-34.25391387939453,-41.26953887939453,-1.2019667625427246,-9.636902809143066,-29.979055881500244,-45.49470901489258,-15.81484842300415,-16.442654132843018,-29.98869562149048,-45.49470520019531
VGGSound,142,-7.030703544616699,-0.9371150135993958,-57.94407653808594,-46.85468292236328,-26.310068130493164,-16.498430252075195,-58.005836486816406,-46.854000091552734,2.0062990188598633,-9.974117577075958,-48.90699577331543,-55.89167881011963,-17.408266067504883,-25.5496187210083,-48.96876335144043,-55.89099311828613
VGGSound,754,-1.6119312047958374,-0.7676982283592224,-67.10711669921875,-45.971351623535156,-26.097326278686523,-20.91666603088379,-67.12644958496094,-45.97148895263672,3.0835810899734497,-5.463210999965668,-62.35702848434448,-50.648430824279785,-21.383697509765625,-25.614259243011475,-62.37636089324951,-50.648566246032715
VGGSound,104,-1.1575536727905273,-0.6587581634521484,-23.72391700744629,-33.461605072021484,-7.7670698165893555,-12.57436466217041,-23.724369049072266,-33.472267150878906,4.703146934509277,-6.519459247589111,-17.866239070892334,-39.32308006286621,-1.9384183883666992,-18.444543838500977,-17.866690635681152,-39.333752155303955
VGGSound,692,-5.061868667602539,-2.2584590911865234,-32.444210052490234,-41.354225158691406,-18.965988159179688,-15.895869255065918,-32.4432258605957,-41.35420227050781,-3.0015578269958496,-4.318769931793213,-30.36897373199463,-43.405293464660645,-16.98813819885254,-17.97338366508484,-30.36801242828369,-43.40524673461914
VGGSound,758,-1.8458349704742432,-16.374027252197266,-48.72821807861328,-31.34578514099121,-23.2830753326416,-17.72288703918457,-48.72690200805664,-31.356616973876953,-0.42865705490112305,-17.791205048561096,-47.268526673316956,-32.7319895029068,-21.853435277938843,-19.13253605365753,-47.26703119277954,-32.7430294752121
