dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-0.2680157423019409,-0.5038022994995117,-33.882049560546875,-25.413188934326172,-23.53920555114746,-13.998502731323242,-33.882083892822266,-25.41360092163086,-0.31004467234015465,-0.461773294955492,-33.92477370426059,-25.371862456202507,-23.60421396046877,-13.983239606022835,-33.924806494265795,-25.372274443507195
Audiocaps,204,-0.21970398724079132,-2.8740787506103516,-55.02361297607422,-32.4510498046875,-24.59304428100586,-9.597217559814453,-55.0240364074707,-32.451011657714844,0.5595223754644394,-3.6533051133155823,-54.23937851190567,-33.226092636585236,-23.834075391292572,-10.396829009056091,-54.23980164527893,-33.22605276107788
Audiocaps,2253,-2.5715627670288086,-1.2073869705200195,-28.528661727905273,-33.69743728637695,-10.035563468933105,-18.23506736755371,-28.528650283813477,-33.69926071166992,-2.5368913002312183,-1.2420586161315441,-28.50392753444612,-33.74169398844242,-10.036705868667923,-18.30497071892023,-28.50377420708537,-33.74364860355854
Audiocaps,2006,-0.17004789412021637,-0.8568522930145264,-37.330909729003906,-51.63286590576172,-20.68522834777832,-10.488266944885254,-37.331302642822266,-51.63425827026367,-0.17073537106625736,-0.8561649661860429,-37.32317069917917,-51.62374862283468,-20.721183855086565,-10.510129995644093,-37.32356309425086,-51.625142024829984
Audiocaps,1828,-0.3190074861049652,-0.4830905497074127,-38.21426010131836,-22.96514129638672,-20.062395095825195,-12.021815299987793,-38.214317321777344,-22.96513557434082,-0.4671991616487503,-0.33489881455898285,-38.32730081677437,-22.78057374060154,-20.218890577554703,-11.876150742173195,-38.32735651731491,-22.78056773543358
Audiocaps,1143,-1.2534688711166382,-0.09565956145524979,-32.718292236328125,-52.83620834350586,-15.274864196777344,-23.441322326660156,-32.718265533447266,-52.83615493774414,-1.2632515411823988,-0.0858765970915556,-32.72739868424833,-52.825748439878225,-15.309393543750048,-23.456366684287786,-32.72737043257803,-52.82569503411651
Audiocaps,839,-0.4274861216545105,-0.26652035117149353,-48.58402633666992,-45.52019119262695,-20.05665397644043,-22.801254272460938,-48.586612701416016,-45.51416015625,-0.45376458391547203,-0.24024181813001633,-48.71640567481518,-45.60063749551773,-20.21317258477211,-22.93947298824787,-48.71899203956127,-45.59461712837219
Audiocaps,4467,-2.4935708045959473,-0.03925928846001625,-22.641132354736328,-40.01652526855469,-10.850418090820312,-18.793649673461914,-22.64113426208496,-40.01658630371094,-2.568155951797962,0.03532570227980614,-22.71579433977604,-39.94202006608248,-10.93754992634058,-18.726357273757458,-22.715797781944275,-39.94208110123873
Audiocaps,712,-2.0253803730010986,-2.565056324005127,-31.696895599365234,-19.06578826904297,-12.230542182922363,-10.68348503112793,-31.696928024291992,-19.0657901763916,-1.9790116511285305,-2.6114249154925346,-31.617284424602985,-19.079269444569945,-12.175654139369726,-10.719569433480501,-31.61731657385826,-19.079271867871284
Audiocaps,3456,-0.4911673665046692,-1.6121115684509277,-39.5196418762207,-33.91181564331055,-25.041805267333984,-1.5925188064575195,-39.51959991455078,-33.910579681396484,-0.8279982209205627,-1.275281012058258,-39.938838839530945,-33.66375318169594,-25.488118410110474,-1.3887107521295547,-39.938707053661346,-33.66259588301182
