dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-0.09657896310091019,-1.3777234554290771,-39.45060729980469,-17.01647186279297,-18.898170471191406,-8.33791732788086,-39.45088195800781,-17.015642166137695,-0.16139233857393265,-1.3129098936915398,-39.61554443836212,-17.05317073687911,-19.202484726905823,-8.476666152477264,-39.61577224731445,-17.052393916994333
Audioset,912,-0.09900729358196259,-2.3876638412475586,-37.276947021484375,-22.813602447509766,-12.240008354187012,-8.979546546936035,-37.277164459228516,-22.813608169555664,-0.10509192664176226,-2.3815794847905636,-37.389396011829376,-22.914031572639942,-12.469411075115204,-9.199180379509926,-37.38961748033762,-22.914038307964802
Audioset,204,-1.3802284002304077,-2.1725897789001465,-32.25221633911133,-45.06707000732422,-12.600790977478027,-16.750919342041016,-32.251861572265625,-45.06705856323242,-1.4708692654967308,-2.0819488391280174,-32.128394812345505,-44.75732132792473,-12.584637897089124,-16.732802093029022,-32.12804324179888,-44.75731682777405
Audioset,2253,-0.12637734413146973,-2.651069402694702,-36.176513671875,-19.49415397644043,-14.598111152648926,-9.596817016601562,-36.1763801574707,-19.494173049926758,-0.021501988172531128,-2.75594499707222,-36.02058020234108,-19.549196049571037,-14.572055131196976,-9.77767325937748,-36.02044641971588,-19.549216143786907
Audioset,2006,-0.5636292099952698,-1.202648401260376,-41.54441452026367,-18.406980514526367,-11.22123908996582,-5.634551048278809,-41.54444885253906,-18.407028198242188,0.7978089451789856,-2.5640861988067627,-40.175867438316345,-19.76321816444397,-9.940160274505615,-7.078561425209045,-40.17589771747589,-19.763269305229187
Audioset,1828,-12.372588157653809,-9.416542053222656,-26.937952041625977,-28.746124267578125,-13.458863258361816,-12.765928268432617,-26.93891716003418,-28.829858779907227,-12.352960618212819,-9.436169417575002,-27.039977945387363,-28.88691695034504,-13.718146950006485,-13.115891873836517,-27.040979474782944,-28.970631912350655
Audioset,1143,-5.0133280754089355,-6.784389495849609,-36.125877380371094,-28.816650390625,-13.021389961242676,-9.897120475769043,-36.12674331665039,-28.814891815185547,-5.009888280183077,-6.787829413777217,-35.988153517246246,-28.685917273163795,-13.010223756544292,-9.931005459278822,-35.98898872733116,-28.68412534892559
Audioset,839,-25.32171058654785,-16.727191925048828,-44.783790588378906,-27.23011016845703,-6.455260276794434,-11.967288970947266,-44.79296875,-27.231037139892578,-25.29072716832161,-16.758175367489457,-44.746374007314444,-27.26757388934493,-6.458130076993257,-12.014363244175911,-44.76134393364191,-27.261384153738618
Audioset,4467,-2.7060155868530273,-18.33257293701172,-30.208953857421875,-21.445964813232422,-7.908822059631348,-11.477551460266113,-30.208703994750977,-21.44605827331543,-2.6531421169638634,-18.385446470230818,-30.183786440640688,-21.526222571730614,-7.987706758081913,-11.665458872914314,-30.183541525155306,-21.52630891650915
Audioset,712,-0.42382150888442993,-3.0828607082366943,-29.950626373291016,-22.492298126220703,-7.4892659187316895,-9.95344352722168,-29.955108642578125,-22.49244499206543,-0.28695714473724365,-3.219725176692009,-29.777208983898163,-22.5937480032444,-7.393585585057735,-10.182829141616821,-29.781693413853645,-22.593895375728607
Audioset,4837,-0.48466384410858154,-0.6097258925437927,-15.969392776489258,-38.025779724121094,-7.381356239318848,-11.754094123840332,-15.969404220581055,-38.02271270751953,-0.31136608123779297,-0.7830235511064529,-16.037469252943993,-38.43123885989189,-7.654350221157074,-12.315130472183228,-16.03747407346964,-38.42818459868431
Audioset,3456,-0.44107991456985474,-4.428157329559326,-44.88387680053711,-18.43503761291504,-17.015710830688477,-4.190826416015625,-44.8800048828125,-18.43503761291504,-0.35117846727371216,-4.518058896064758,-44.79526641219854,-18.52621792256832,-17.077897898852825,-4.446962386369705,-44.7914050668478,-18.526213869452477
Audioset,260,-6.7839531898498535,-19.917016983032227,-36.63755416870117,-39.27486038208008,-11.535219192504883,-6.627398490905762,-36.698917388916016,-39.27446365356445,-6.772595377638936,-19.928374860435724,-36.633703218307346,-39.293750166893005,-11.591226391494274,-6.7578489780426025,-36.69509338354692,-39.293336944654584
Audioset,244,-0.42226552963256836,-0.19368994235992432,-25.780498504638672,-43.448280334472656,-10.046904563903809,-17.494327545166016,-25.780794143676758,-43.44779968261719,-0.3923553340137005,-0.22359993681311607,-25.729361426085234,-43.45713104121387,-10.142156511545181,-17.625453487038612,-25.72967094555497,-43.45664212293923
Audioset,767,0.0037632242310792208,-0.08794994652271271,-13.221869468688965,-23.842676162719727,-5.79105281829834,-10.05005168914795,-13.221868515014648,-23.84270668029785,-0.008760452968999743,-0.07542639598250389,-13.250599291175604,-23.846404212294146,-5.9536097049713135,-10.156651854515076,-13.250597309321165,-23.84643783350475
Audioset,1791,-3.2358975410461426,-0.5978066325187683,-41.4290657043457,-44.93359375,-17.469833374023438,-1.0249519348144531,-41.4281120300293,-44.93274688720703,-3.2237802566960454,-0.6099240183830261,-41.49711771309376,-45.025661662220955,-17.68638952076435,-1.218895435333252,-41.496172703802586,-45.02482087910175
Audioset,1905,-16.136995315551758,-12.73481273651123,-32.36021423339844,-61.35112762451172,-9.819629669189453,-16.84058380126953,-32.35993957519531,-61.27788543701172,-16.135505322599784,-12.736302994773723,-32.24325927346945,-61.23716462403536,-9.815005956217647,-16.885851357132196,-32.2429795563221,-61.16395007818937
Audioset,4139,-1.1537895202636719,-0.6401098966598511,-16.344770431518555,-47.10939025878906,-7.205627918243408,-17.387577056884766,-16.344715118408203,-47.109317779541016,-6.335624694824219,4.541725277900696,-21.530656814575195,-41.940937995910645,-12.461799144744873,-12.50293254852295,-21.53061056137085,-41.940855979919434
Audioset,4931,-1.9508945941925049,-2.1564600467681885,-6.772320747375488,-32.72722244262695,-5.54872989654541,-6.0023603439331055,-6.772426605224609,-32.72804641723633,-1.9110057428479195,-2.1963488161563873,-6.731261342763901,-32.766586393117905,-5.667242273688316,-6.2823323011398315,-6.731638181954622,-32.76704455167055
Audioset,217,-0.37958529591560364,-5.994791507720947,-50.512203216552734,-26.568363189697266,-13.706474304199219,-13.223913192749023,-50.51414489746094,-26.568021774291992,-0.37988245667656884,-5.99449458552408,-50.58407861739397,-26.639647856354713,-13.86099225282669,-13.413360491394997,-50.58601673692465,-26.639304913580418
Audioset,4597,-0.20519956946372986,-0.7931432127952576,-32.57704544067383,-29.117353439331055,-10.946423530578613,-15.858879089355469,-32.580223083496094,-30.496421813964844,-0.11764398962259293,-0.8806987479329109,-32.49505127966404,-29.210366033017635,-10.956112143583596,-16.085463359951973,-32.498228922486305,-30.589428320527077
Audioset,1628,-0.6369263529777527,-0.38126394152641296,-35.9397087097168,-43.89012908935547,-15.394280433654785,-16.957317352294922,-35.94068145751953,-43.891788482666016,-0.563964307308197,-0.45422588288784027,-35.70822682976723,-43.80730205774307,-15.250601977109909,-17.094537302851677,-35.70921842753887,-43.80893848836422
