dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-0.5481975078582764,-0.4929876923561096,-48.368316650390625,-38.55052185058594,-16.419286727905273,-9.498519897460938,-48.35136032104492,-38.55174255371094,-1.0063927471637726,-0.03479251265525818,-48.823548793792725,-38.08906653523445,-16.91409346461296,-9.0844147503376,-48.8065901696682,-38.09025326371193
ESC50,228,-0.19182485342025757,-1.279173493385315,-42.1513786315918,-36.751461029052734,-22.55108070373535,-7.6742658615112305,-42.153377532958984,-36.752845764160156,-0.21157745271921158,-1.2594206165522337,-42.43172872066498,-36.99345791339874,-22.923547565937042,-8.027080237865448,-42.43371111154556,-36.99482601881027
ESC50,51,-0.3331405520439148,-0.5524704456329346,-42.83815002441406,-32.39316940307617,-18.651132583618164,-9.439154624938965,-42.78434371948242,-32.396156311035156,-0.9277832508087158,0.04217243194580078,-43.42416149377823,-31.788634538650513,-19.277314722537994,-8.88001835346222,-43.3703687787056,-31.791629433631897
ESC50,1518,-12.122447967529297,-17.06388282775879,-64.88531494140625,-17.863622665405273,-8.472173690795898,-4.181830883026123,-67.99740600585938,-17.862913131713867,-10.706976652145386,-18.4793541431427,-63.48895752429962,-19.297306776046753,-7.089172601699829,-5.647261261940002,-66.60319519042969,-19.293741106987
ESC50,563,-11.653204917907715,-4.680996894836426,-23.602582931518555,-33.220420837402344,-14.890677452087402,-16.32078742980957,-23.60247039794922,-33.22019958496094,-11.67952866666019,-4.654673306271434,-23.5885305441916,-33.153504483401775,-14.936015505343676,-16.29557162709534,-23.58843852765858,-33.153274826705456
ESC50,501,-1.5272095203399658,-0.14035838842391968,-19.914339065551758,-24.86716079711914,-10.48115062713623,-12.136829376220703,-19.91353416442871,-24.868427276611328,-1.5371662667021155,-0.13040159456431866,-19.95761478692293,-24.890650799497962,-10.540213167667389,-12.205133639276028,-19.956867296248674,-24.891924487426877
ESC50,457,-0.10194098204374313,-0.2994549572467804,-49.00868606567383,-27.656518936157227,-18.52304458618164,-9.385167121887207,-48.98410415649414,-27.65656852722168,-0.09813433582894504,-0.30326163209974766,-49.022307622246444,-27.67775657773018,-18.589859440922737,-9.442812614142895,-48.99773500300944,-27.677798442542553
ESC50,285,-4.133594512939453,-4.212808609008789,-32.05908203125,-28.20326042175293,-12.691072463989258,-10.294475555419922,-32.059078216552734,-28.203096389770508,-3.7582652866840363,-4.58813801407814,-31.719520956277847,-28.611409544944763,-12.386017769575119,-10.77247342467308,-31.71951714158058,-28.61124551296234
ESC50,1508,-0.24472418427467346,-3.660202741622925,-44.320709228515625,-18.25048828125,-17.927127838134766,-8.640031814575195,-44.32130432128906,-18.250486373901367,1.0440135896205902,-4.948940396308899,-43.1357239484787,-19.616575241088867,-16.812785863876343,-10.042372822761536,-43.13631868362427,-19.616573333740234
ESC50,209,-0.5413320660591125,-0.41564038395881653,-66.72340393066406,-39.3893928527832,-20.425382614135742,-15.778840065002441,-66.70457458496094,-39.06568908691406,-0.6134411916136742,-0.34353143721818924,-66.7715316414833,-39.29279562830925,-20.507904060184956,-15.72894161194563,-66.75266133621335,-38.96915379166603
ESC50,1385,-0.23786891996860504,-0.6349742412567139,-42.42729187011719,-22.110652923583984,-13.529216766357422,-2.273207426071167,-42.42190170288086,-22.11064910888672,-0.24347427301108837,-0.6293686428107321,-42.4360991762951,-22.108214039355516,-13.57137706130743,-2.322761610150337,-42.43069247622043,-22.108231981284916
ESC50,1516,-1.8281598091125488,-8.774462699890137,-21.106534957885742,-28.54569435119629,-9.505584716796875,-7.195484638214111,-21.106613159179688,-28.54568862915039,-1.7847452834248543,-8.817876301705837,-21.065637048333883,-28.59160191565752,-9.505464368317917,-7.269411414861679,-21.065716292709112,-28.591596193611622
ESC50,1827,-4.373652935028076,-6.471655368804932,-24.266637802124023,-28.411237716674805,-14.032997131347656,-9.286980628967285,-24.266557693481445,-28.40663719177246,-4.348115004599094,-6.497193265706301,-24.24240056797862,-28.43804000876844,-14.059125604107976,-9.403282947838306,-24.242326967418194,-28.43347344174981
ESC50,1116,-0.48270514607429504,-1.587719440460205,-27.049758911132812,-32.104251861572266,-12.777068138122559,-13.617939949035645,-27.09005355834961,-32.01466751098633,-0.6999591886997223,-1.3704653680324554,-27.28490251302719,-31.905674189329147,-13.06064522266388,-13.458264902234077,-27.32513290643692,-31.816150799393654
ESC50,178,-8.102636337280273,-6.279475212097168,-22.024187088012695,-33.37445068359375,-7.326772689819336,-19.192893981933594,-22.024171829223633,-33.44208908081055,-8.155408091843128,-6.226703144609928,-22.077433452010155,-33.31715713068843,-7.390644133090973,-19.165091779083014,-22.07485731691122,-33.38720694556832
ESC50,1209,-1.302320122718811,-4.822062015533447,-48.18356704711914,-32.419960021972656,-18.497182846069336,-7.160611152648926,-48.1827507019043,-32.41994857788086,-1.3044262120965868,-4.819955940358341,-48.099583953619,-32.33172371983528,-18.45596268773079,-7.140390733256936,-48.09876813739538,-32.33171148598194
ESC50,864,-0.5338761210441589,-0.1902260184288025,-28.141952514648438,-31.975690841674805,-15.135125160217285,-13.519203186035156,-28.14189910888672,-31.9757080078125,-1.6710843443870544,0.946982204914093,-29.2794371843338,-30.838842749595642,-16.302979469299316,-12.440036058425903,-29.279385447502136,-30.838858246803284
ESC50,65,-1.558003306388855,-1.5227214097976685,-33.778934478759766,-48.949119567871094,-6.6911702156066895,-13.075927734375,-33.7790412902832,-48.94925308227539,1.8127771615982056,-4.893501877784729,-30.417871475219727,-52.324376583099365,-3.403047561645508,-16.526785612106323,-30.417978763580322,-52.32450819015503
ESC50,61,-0.28418752551078796,-0.12050339579582214,-25.104961395263672,-28.789113998413086,-17.15774154663086,-13.634490966796875,-25.1483154296875,-29.527254104614258,-0.4320869892835617,0.027395859360694885,-25.221119299530983,-28.579534262418747,-17.294846788048744,-13.479987934231758,-25.248817905783653,-29.330307081341743
ESC50,191,-3.1734914779663086,-7.408301830291748,-38.14419174194336,-20.407241821289062,-18.80210304260254,-9.517311096191406,-38.14419174194336,-20.407236099243164,-3.15171111933887,-7.4300819374620914,-38.11519267782569,-20.42184024117887,-18.862545002251863,-9.609818235039711,-38.11519216001034,-20.421834003180265
ESC50,447,-0.9658663272857666,-0.939547061920166,-16.224430084228516,-19.609895706176758,-9.853309631347656,3.6401331424713135,-16.218584060668945,-19.609973907470703,-1.0699928998947144,-0.8354202657938004,-16.338787630200386,-19.516883179545403,-10.152887791395187,3.5393451303243637,-16.333255246281624,-19.51664638519287
ESC50,476,-0.07838241755962372,-3.7808284759521484,-44.55095291137695,-9.884963035583496,-11.854900360107422,-2.9000396728515625,-44.55154800415039,-9.885123252868652,1.1910968571901321,-5.050307750701904,-43.285478472709656,-11.15737783908844,-10.5931898355484,-4.173187613487244,-43.28606045246124,-11.157582402229309
ESC50,1034,-8.23679256439209,-1.1549463272094727,-27.689157485961914,-64.15560913085938,-12.191967964172363,-21.94072151184082,-27.691102981567383,-64.15726470947266,-8.199269976466894,-1.1924690753221512,-27.542574390769005,-64.08504037559032,-12.12205621600151,-21.907943956553936,-27.54453006386757,-64.08668780326843
ESC50,1232,-1.7629982233047485,-0.10676808655261993,-20.015954971313477,-34.78938293457031,-11.300116539001465,-15.747048377990723,-20.015512466430664,-34.760986328125,-1.8242525421082973,-0.045513615012168884,-20.223609775304794,-34.86686888337135,-11.555610597133636,-15.898841246962547,-20.221972703933716,-34.84696715325117
ESC50,54,-2.786597967147827,-0.10200069099664688,-48.7425537109375,-38.7547492980957,-15.643658638000488,-22.975971221923828,-48.728759765625,-39.643795013427734,-1.631934642791748,-1.2566641345620155,-47.59149622917175,-39.91217350959778,-14.542345881462097,-24.1781268119812,-47.57770323753357,-40.80122244358063
ESC50,1149,-0.10360520333051682,-2.9940061569213867,-34.549774169921875,-15.735150337219238,-18.92266273498535,-3.6711413860321045,-34.571048736572266,-15.735318183898926,-0.10385266615776345,-2.9937584211293142,-34.521216010674834,-15.706096027046442,-18.928366892505437,-3.662221459671855,-34.542483281344175,-15.706255797296762
ESC50,407,-1.4561541080474854,-0.8267962336540222,-39.90793228149414,-41.002132415771484,-17.945056915283203,-12.994033813476562,-39.9079704284668,-41.00247573852539,-1.1859089732170105,-1.0970416069030762,-39.687740579247475,-41.319424003362656,-17.75017750263214,-13.358487278223038,-39.687776282429695,-41.31976780295372
ESC50,1466,-0.22377453744411469,-1.123003363609314,-17.587182998657227,-29.863033294677734,-5.258913040161133,-15.9960298538208,-17.58723258972168,-30.178600311279297,-0.2247099555679597,-1.1220680028782226,-17.710396982729435,-29.635373532772064,-5.230848595499992,-15.999311760533601,-17.536471094936132,-30.125957157462835
ESC50,1330,-0.4131496250629425,-1.642410159111023,-27.947141647338867,-13.861754417419434,-21.234424591064453,-5.6618146896362305,-27.946544647216797,-13.861682891845703,-0.7496642172336578,-1.3058956861495972,-28.301459699869156,-13.54446130990982,-21.60045689344406,-5.3516038954257965,-28.300793051719666,-13.544329911470413
ESC50,1436,-2.808722496032715,-0.5616569519042969,-22.473024368286133,-21.284154891967773,-1.5140451192855835,-9.98171329498291,-22.473060607910156,-21.284175872802734,-2.6457844376564026,-0.7245949506759644,-22.311941415071487,-21.448878705501556,-1.3534676432609558,-10.148805290460587,-22.311979800462723,-21.448902681469917
ESC50,859,-4.254172325134277,-4.127841472625732,-47.6241340637207,-64.81005096435547,-19.620092391967773,-18.875289916992188,-48.81188201904297,-70.84365844726562,-4.254444119287655,-4.127569920325186,-47.62863330217078,-64.81405109213665,-19.67341685667634,-18.935196053236723,-48.81639056652784,-70.84762495430186
ESC50,451,-3.4170706272125244,-0.3010585308074951,-23.525070190429688,-30.683311462402344,-10.948016166687012,-18.057279586791992,-23.52507781982422,-30.683311462402344,-3.402978246100247,-0.31515125930309296,-23.491633031517267,-30.67811770364642,-10.958719752728939,-18.099346075206995,-23.491638835519552,-30.67811796301976
ESC50,919,-1.50932776927948,-2.660881519317627,-36.99946975708008,-31.82588005065918,-15.758058547973633,-12.323049545288086,-36.9986457824707,-31.825790405273438,-1.5872413963079453,-2.582967907190323,-37.05374291539192,-31.72389930486679,-15.868594750761986,-12.268664926290512,-37.052918426692486,-31.72380568087101
