dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-0.0023811261635273695,-0.2591061294078827,-20.180089950561523,-23.911640167236328,-12.372658729553223,-9.841919898986816,-20.180034637451172,-23.91168212890625,0.006717220181599259,-0.2682048287242651,-20.17698692670092,-23.926719455048442,-12.387257502414286,-9.882435288280249,-20.17692824592814,-23.926758838817477
Music,204,-0.7478417158126831,-1.769200325012207,-31.453266143798828,-28.05607032775879,-14.963128089904785,-16.020723342895508,-31.45321273803711,-28.056047439575195,-0.7458679799456149,-1.7711739405058324,-31.426578976213932,-28.03334131836891,-14.948992134071887,-16.062694266438484,-31.426525309681892,-28.033318689092994
Music,2253,0.1152958795428276,-0.2482946217060089,-14.857901573181152,-26.722274780273438,-6.944431304931641,-11.88241958618164,-14.858285903930664,-26.722288131713867,0.11650595825631171,-0.24950436339713633,-14.845191101543605,-26.71204347535968,-6.9352793814614415,-11.877794387750328,-14.845602951943874,-26.712029322981834
Music,2006,-1.3752264976501465,-1.3881213665008545,-31.862934112548828,-55.14060974121094,-10.11174488067627,-10.106738090515137,-31.86292839050293,-55.14081573486328,-1.3763787880307063,-1.3869692881125957,-31.88476212695241,-55.160138664767146,-10.154644962400198,-10.1561688631773,-31.884754344820976,-55.16034620627761
Music,1828,-0.5227320194244385,-0.35098499059677124,-35.751220703125,-29.812734603881836,-16.55077362060547,-15.687004089355469,-35.751190185546875,-29.81280517578125,-0.5230472990660928,-0.35066994692897424,-35.75399117101915,-29.814873293507844,-16.572712033987045,-15.700946377590299,-35.75396065344103,-29.81494386540726
Music,1143,-1.9249391555786133,-1.575394868850708,-40.61910629272461,-43.15574264526367,-14.53479290008545,-7.655007362365723,-40.61833190917969,-43.126678466796875,-1.9245298791502137,-1.5758043655660003,-40.60078313946724,-43.13699808716774,-14.539420090150088,-7.677002288401127,-40.59960450977087,-43.10876940190792
Music,839,-0.40086913108825684,-0.4170044958591461,-28.05961799621582,-16.42413330078125,-17.97191047668457,-4.013375759124756,-28.05965805053711,-16.42415428161621,-0.4003317051101476,-0.41754185530589893,-28.143955506384373,-16.5095359608531,-18.06576868891716,-4.124252572655678,-28.14399556070566,-16.50955694168806
Music,4467,-3.1538562774658203,-4.400550842285156,-31.31047821044922,-30.146615982055664,-10.718924522399902,-12.272198677062988,-31.315876007080078,-30.146709442138672,-3.153585242922418,-4.400822118768701,-31.29965501371771,-30.137237212620676,-10.71449600160122,-12.327208887785673,-31.30555907636881,-30.13693504035473
Music,712,-0.1383943110704422,-0.44614359736442566,-45.276485443115234,-31.323633193969727,-16.971534729003906,-13.712207794189453,-45.277130126953125,-31.323654174804688,-0.14044865313917398,-0.44408905995078385,-45.47684787213802,-31.519978433847427,-17.231578081846237,-14.061485707759857,-45.477491080760956,-31.51999941468239
Music,4837,-0.47704949975013733,-0.3399747908115387,-22.96428680419922,-43.1751823425293,-13.593733787536621,-11.92223834991455,-22.964296340942383,-43.17475128173828,-0.47747711490956135,-0.3395468746894039,-22.982752850279212,-43.19279614649713,-13.62966776266694,-11.950682984665036,-22.9827644508332,-43.192365085706115
