dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-8.500767707824707,-2.403918743133545,-24.89327621459961,-36.589866638183594,-8.664318084716797,-23.91644287109375,-24.89412498474121,-36.67174530029297,1.3648557662963867,-12.269541263580322,-15.090106010437012,-46.461965560913086,0.9174089431762695,-33.801292419433594,-15.09091854095459,-46.54384708404541
VGGSound,114,-1.715210199356079,-7.372498035430908,-50.805686950683594,-65.0163345336914,-24.466842651367188,-12.465025901794434,-50.803184509277344,-65.04491424560547,4.719022989273071,-13.806731224060059,-44.35675811767578,-71.44722747802734,-18.093759536743164,-18.914883613586426,-44.354233264923096,-71.47580909729004
VGGSound,25,-4.598669528961182,-2.642395496368408,-43.24922561645508,-41.72669219970703,-17.604467391967773,-9.875038146972656,-43.24939727783203,-41.73357009887695,-4.325552940368652,-2.9155121445655823,-42.98583063483238,-42.00590202212334,-17.3712345212698,-10.190147697925568,-42.9844788312912,-42.01438561081886
VGGSound,759,-3.200164794921875,-3.951724052429199,-48.9460563659668,-48.77439498901367,-25.307138442993164,-16.12861442565918,-48.946563720703125,-48.77479553222656,0.7071614265441895,-7.859050512313843,-45.06439733505249,-52.692179918289185,-21.470634698867798,-20.06785535812378,-45.06490778923035,-52.692580223083496
VGGSound,281,-1.21418297290802,-3.0099728107452393,-47.41763687133789,-40.43878936767578,-21.399221420288086,-24.1621036529541,-47.417381286621094,-40.43857955932617,-8.286646485328674,4.062490224838257,-54.466339111328125,-33.243789196014404,-28.467509269714355,-17.045920372009277,-54.466076374053955,-33.24360799789429
VGGSound,250,-0.029140304774045944,-0.8276669979095459,-33.720726013183594,-40.565879821777344,-15.29360580444336,-16.170242309570312,-34.139102935791016,-40.56869888305664,-4.609432529658079,3.7526252269744873,-38.12311315536499,-36.1816143989563,-19.9024338722229,-11.627446174621582,-38.724366188049316,-36.002663135528564
VGGSound,228,-8.199638366699219,-4.656074523925781,-30.965404510498047,-42.1236457824707,-22.62381362915039,-12.854223251342773,-30.968358993530273,-42.12360382080078,-3.963522434234619,-8.89219045639038,-26.70015573501587,-46.348846435546875,-18.402004718780518,-17.0880446434021,-26.70314073562622,-46.34877014160156
VGGSound,142,-3.23246431350708,-0.7817962765693665,-28.49554443359375,-45.77877426147461,-17.110952377319336,-19.821720123291016,-28.49553871154785,-45.787261962890625,5.804538249969482,-9.818798840045929,-19.458463668823242,-54.81577014923096,-8.209150314331055,-28.87290859222412,-19.458465576171875,-54.82425498962402
VGGSound,754,-0.7261638641357422,-4.68657112121582,-45.91292953491211,-22.00909423828125,-24.566974639892578,-8.05180549621582,-45.91474914550781,-22.00908851623535,3.969348430633545,-9.382083892822266,-41.16284132003784,-26.68617343902588,-19.85334587097168,-12.749398708343506,-41.16466045379639,-26.686165809631348
VGGSound,104,-2.392601728439331,-0.24416521191596985,-52.7467041015625,-42.81803894042969,-13.653741836547852,-11.91687297821045,-52.74737548828125,-42.815940856933594,3.4680988788604736,-6.104866296052933,-46.889026165008545,-48.679513931274414,-7.825090408325195,-17.787052154541016,-46.88969707489014,-48.67742586135864
VGGSound,692,-4.478670120239258,-6.110489368438721,-21.616233825683594,-37.91525650024414,-7.90017557144165,-12.725939750671387,-21.61629867553711,-37.91526412963867,-2.4183592796325684,-8.17080020904541,-19.54099750518799,-39.96632480621338,-5.922325611114502,-14.803454160690308,-19.541085243225098,-39.96630859375
VGGSound,758,-0.4586707055568695,-3.3788504600524902,-56.75975799560547,-18.512205123901367,-24.253232955932617,-10.499967575073242,-56.761802673339844,-18.512304306030273,0.9585072100162506,-4.796028256416321,-55.30006659030914,-19.898409485816956,-22.82359290122986,-11.909616589546204,-55.301931858062744,-19.898716807365417
VGGSound,913,-6.331490516662598,-4.257147789001465,-43.43202590942383,-23.18862533569336,-17.224775314331055,-12.476484298706055,-43.43706512451172,-23.188678741455078,2.122910499572754,-12.711548805236816,-34.885108947753906,-31.629995346069336,-8.814332962036133,-20.932863235473633,-34.890220642089844,-31.630003929138184
VGGSound,558,-0.8524171113967896,-0.7593088746070862,-33.00715637207031,-47.6996955871582,-11.652108192443848,-9.596353530883789,-33.00682830810547,-47.69999694824219,3.5997923612594604,-5.211518347263336,-28.53210163116455,-52.14372539520264,-7.197994232177734,-14.060135841369629,-28.531774520874023,-52.14402675628662
VGGSound,89,-2.3932390213012695,-1.7208276987075806,-24.3883056640625,-43.70949172973633,-12.763907432556152,-21.533164978027344,-24.388601303100586,-43.71030807495117,-3.3745641708374023,-0.7395026683807373,-25.413591504096985,-42.78325307369232,-13.817341089248657,-20.63537311553955,-25.413899779319763,-42.78403127193451
VGGSound,604,-9.823949813842773,-14.115787506103516,-35.080989837646484,-43.71507263183594,-16.059534072875977,-17.308712005615234,-35.08020782470703,-43.711055755615234,0.8917169570922852,-24.831454277038574,-24.356465339660645,-54.42999076843262,-5.505246162414551,-28.035802841186523,-24.355671882629395,-54.42597007751465
VGGSound,432,-6.636192321777344,-1.0623533725738525,-27.579483032226562,-22.921064376831055,-12.108617782592773,-13.3179292678833,-27.579612731933594,-22.921119689941406,-3.467808485031128,-4.230737209320068,-24.386767387390137,-26.07773470878601,-8.94316577911377,-16.490513563156128,-24.386898517608643,-26.077790021896362
VGGSound,32,-1.1224251985549927,-6.938592910766602,-37.39780044555664,-19.07213020324707,-23.43707847595215,-10.163135528564453,-37.39775085449219,-19.071605682373047,4.221176028251648,-12.282194137573242,-32.100762367248535,-24.429269790649414,-18.18177318572998,-15.528063297271729,-32.10073184967041,-24.428866863250732
VGGSound,30,-0.11980529129505157,-3.2670350074768066,-42.3737678527832,-33.93039321899414,-23.8338623046875,-6.301344871520996,-42.37147903442383,-33.93063735961914,0.6430744379758835,-4.029914915561676,-41.65749675035477,-34.73137408494949,-23.138958513736725,-7.127135694026947,-41.65447950363159,-34.73203790187836
