dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-0.38275837898254395,-1.4996106624603271,-42.69725799560547,-44.20288848876953,-22.741439819335938,-13.962979316711426,-42.69891357421875,-44.20272445678711,-0.4247873090207577,-1.4575816579163074,-42.73998213931918,-44.161562010645866,-22.806448228657246,-13.947716191411018,-42.74163617566228,-44.161397978663445
Audiocaps,204,-0.3866889774799347,-0.7822186946868896,-51.44491195678711,-25.123455047607422,-24.233718872070312,-11.237516403198242,-51.44511413574219,-25.123458862304688,0.392537385225296,-1.5614450573921204,-50.66067749261856,-25.898497879505157,-23.474749982357025,-12.03712785243988,-50.660879373550415,-25.898499965667725
Audiocaps,2253,-1.2591086626052856,-3.785431385040283,-30.886220932006836,-47.7852668762207,-11.98289680480957,-18.342355728149414,-30.886188507080078,-47.7808723449707,-1.2244371958076954,-3.820103030651808,-30.861486738547683,-47.82952357828617,-11.984039204544388,-18.412259079515934,-30.861312430351973,-47.82526023685932
Audiocaps,2006,-0.9987635612487793,-0.22479966282844543,-41.122379302978516,-53.56507110595703,-21.12019920349121,-19.012928009033203,-41.12209701538086,-53.56144332885742,-0.9994510381948203,-0.22411233599996194,-41.11464027315378,-53.555953823029995,-21.156154710799456,-19.034791059792042,-41.11435746680945,-53.552327083423734
Audiocaps,1828,-0.15977002680301666,-1.2626185417175293,-35.40972137451172,-25.084762573242188,-16.24973487854004,-14.419801712036133,-35.409706115722656,-25.084754943847656,-0.30796170234680176,-1.1144268065690994,-35.52276208996773,-24.90019501745701,-16.406230360269547,-14.274137154221535,-35.52274531126022,-24.900187104940414
Audiocaps,1143,-0.7675536870956421,-0.6238303184509277,-32.750770568847656,-49.83108901977539,-12.797541618347168,-27.517330169677734,-32.75074768066406,-49.83103942871094,-0.7773363571614027,-0.6140473540872335,-32.75987701676786,-49.82062911614776,-12.832070965319872,-27.532374527305365,-32.759852579794824,-49.8205795250833
Audiocaps,839,-1.113759160041809,-1.0128099918365479,-25.917837142944336,-45.866451263427734,-20.35196876525879,-24.522245407104492,-25.919477462768555,-45.86946487426758,-1.1400376223027706,-0.9865314587950706,-26.050216481089592,-45.94689756631851,-20.50848737359047,-24.660464122891426,-26.05185680091381,-45.94992184638977
Audiocaps,4467,-5.97982931137085,-0.020022545009851456,-26.467639923095703,-50.18238830566406,-11.05310344696045,-24.402690887451172,-26.467639923095703,-50.18267822265625,-6.0544144585728645,0.05456244572997093,-26.542301908135414,-50.10788310319185,-11.140235282480717,-24.335398487746716,-26.542303442955017,-50.10817302018404
Audiocaps,712,-1.9542222023010254,-1.6114674806594849,-31.098934173583984,-26.873374938964844,-13.232948303222656,-11.43391227722168,-31.098968505859375,-26.873380661010742,-1.9078534804284573,-1.6578360721468925,-31.019322998821735,-26.88685611449182,-13.17806025967002,-11.469996679574251,-31.019357055425644,-26.886862352490425
Audiocaps,3456,-0.6724832057952881,-1.7032802104949951,-35.59595489501953,-48.692100524902344,-26.67564582824707,-2.5254502296447754,-35.59599304199219,-48.6790771484375,-1.0093140602111816,-1.3664496541023254,-36.01515185832977,-48.444038063287735,-27.12195897102356,-2.3216421753168106,-36.01510018110275,-48.431093350052834
Audiocaps,260,-0.7894530296325684,-1.979136347770691,-47.205345153808594,-41.40025329589844,-25.653850555419922,-14.513574600219727,-47.204891204833984,-41.40021896362305,-0.8019472816959023,-1.96664213296026,-47.236244805157185,-41.406216950621456,-25.704433407634497,-14.542105002328753,-47.23579239845276,-41.406182100996375
Audiocaps,244,-0.208955779671669,-2.088498830795288,-59.69642639160156,-68.49629974365234,-26.552507400512695,-19.908329010009766,-59.69585037231445,-68.49455261230469,-0.14667965471744537,-2.1507749892771244,-59.654907044023275,-68.57903954386711,-26.52540672942996,-20.003461346030235,-59.65433180704713,-68.57729087769985
Audiocaps,767,-0.27012476325035095,-4.496354103088379,-47.81919479370117,-29.762256622314453,-24.562280654907227,-6.571109771728516,-47.81867599487305,-29.762256622314453,-0.281189332716167,-4.485289558768272,-47.83016537781805,-29.751097870990634,-24.60101529955864,-6.607827540487051,-47.82964657898992,-29.75109657458961
Audiocaps,1791,-0.5213146805763245,-0.1465183049440384,-33.0049934387207,-27.560470581054688,-22.523841857910156,-12.127955436706543,-33.00511169433594,-27.560434341430664,-0.6400923728942871,-0.027740567922592163,-33.1256879940629,-27.443663209676743,-22.66028355062008,-12.017435401678085,-33.125807255506516,-27.44362749904394
Audiocaps,1905,-0.4926363229751587,-0.6077237129211426,-72.99089050292969,-59.5408821105957,-32.70512390136719,-24.427614212036133,-73.0073471069336,-59.54291915893555,-1.8604322671890259,0.7600722312927246,-74.36307215690613,-58.179094314575195,-34.09961485862732,-23.086363792419434,-74.37952923774719,-58.181132078170776
Audiocaps,4139,-0.21616917848587036,-1.8359054327011108,-45.6800422668457,-29.610795974731445,-24.833940505981445,-12.229195594787598,-45.69740676879883,-29.610795974731445,-0.630149781703949,-1.4219246208667755,-46.09237292408943,-29.195081561803818,-25.274115204811096,-11.849234253168106,-46.10977602005005,-29.195043921470642
Audiocaps,217,-5.9125566482543945,-3.634573459625244,-15.908206939697266,-51.422218322753906,-9.580584526062012,-9.372978210449219,-15.908208847045898,-51.43040466308594,-5.911381007288583,-3.635749041219242,-15.89488372579217,-51.41124954074621,-9.586385475005955,-9.390320109203458,-15.894885113462806,-51.41943406499922
Audiocaps,4597,-0.27786195278167725,-0.5588456392288208,-24.79496192932129,-47.3173828125,-6.805790901184082,-22.300209045410156,-24.79496955871582,-47.315399169921875,-0.27111315820366144,-0.5655945595353842,-24.836172975599766,-47.372012834995985,-6.90980613976717,-22.38695464283228,-24.83617804199457,-47.370031747967005
Audiocaps,1628,-0.4998084604740143,-4.899920463562012,-39.23624801635742,-34.17974853515625,-19.35115623474121,-18.59718894958496,-39.23657989501953,-34.17972183227539,-0.5075466437265277,-4.892182211391628,-39.2368236820912,-34.16483282484114,-19.36667539924383,-18.592800537589937,-39.23715659609297,-34.16480871848762
Audiocaps,4464,-0.8242183327674866,-0.5832640528678894,-36.1983757019043,-35.321388244628906,-25.736324310302734,-16.56015968322754,-36.198486328125,-35.321258544921875,-0.6711506843566895,-0.7363314181566238,-35.99677646160126,-35.42759981751442,-25.555845007300377,-16.68116343766451,-35.99687460064888,-35.42747113108635
Audiocaps,3436,-0.951928973197937,-1.0701115131378174,-35.09575271606445,-41.55805206298828,-8.238691329956055,-15.963162422180176,-35.086891174316406,-41.51852035522461,-0.9916730746626854,-1.030367650091648,-35.1558634378016,-41.53962544724345,-8.314429759979248,-15.981904473155737,-35.14685484021902,-41.49918716400862
