dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-0.2525985836982727,-8.537463188171387,-40.7032356262207,-34.030479431152344,-19.744173049926758,-10.321767807006836,-40.70320129394531,-34.03110122680664,-0.31741195917129517,-8.47264962643385,-40.86817276477814,-34.067178305238485,-20.048487305641174,-10.460516631603241,-40.86809158325195,-34.06785297766328
Audioset,912,-0.2846003770828247,-2.390786647796631,-50.928768157958984,-31.072589874267578,-16.307077407836914,-10.892654418945312,-50.946014404296875,-31.07283592224121,-0.2906850101426244,-2.384702291339636,-51.041217148303986,-31.173018999397755,-16.536480128765106,-11.112288251519203,-51.05846742540598,-31.17326606065035
Audioset,204,-2.1644809246063232,-3.143422842025757,-39.554447174072266,-30.090906143188477,-17.256370544433594,-12.693939208984375,-39.55352020263672,-30.091129302978516,-2.2551217898726463,-3.0527819022536278,-39.43062564730644,-29.781157463788986,-17.24021746404469,-12.675821959972382,-39.42970187216997,-29.78138756752014
Audioset,2253,-0.15545883774757385,-1.804673433303833,-35.564395904541016,-33.45582962036133,-16.927413940429688,-10.368911743164062,-35.564247131347656,-33.45585250854492,-0.050583481788635254,-1.9095490276813507,-35.408462435007095,-33.510871693491936,-16.901357918977737,-10.54976798593998,-35.408313393592834,-33.51089560240507
Audioset,2006,-0.4728752374649048,-3.1683647632598877,-59.53342056274414,-20.5600528717041,-9.480635643005371,-4.012934684753418,-59.54606628417969,-20.560033798217773,0.8885629177093506,-4.529802560806274,-58.164873480796814,-21.916290521621704,-8.199556827545166,-5.456945061683655,-58.177515149116516,-21.916274905204773
Audioset,1828,-26.356311798095703,-11.659866333007812,-32.13512420654297,-47.51978302001953,-13.95167350769043,-17.13216209411621,-32.137420654296875,-47.93986892700195,-26.336684258654714,-11.679493697360158,-32.237150110304356,-47.660575702786446,-14.210957199335098,-17.48212569952011,-32.23948296904564,-48.08064205944538
Audioset,1143,-4.878477096557617,-5.608951568603516,-33.585113525390625,-13.49134635925293,-13.00810718536377,-4.797170162200928,-33.584434509277344,-13.491432189941406,-4.8750373013317585,-5.6123914865311235,-33.44738966226578,-13.360613241791725,-12.996940980665386,-4.831055145710707,-33.446679919958115,-13.36066572368145
Audioset,839,-22.25359344482422,-16.649131774902344,-33.77713394165039,-44.4229850769043,-8.09360408782959,-14.010563850402832,-33.78567123413086,-44.42058181762695,-22.222610026597977,-16.680115217342973,-33.73971736058593,-44.460448797792196,-8.096473888028413,-14.057638123631477,-33.75404641777277,-44.45092883147299
Audioset,4467,-3.1425821781158447,-18.688026428222656,-25.311906814575195,-26.747400283813477,-9.393893241882324,-10.250448226928711,-25.311744689941406,-26.74748992919922,-3.0897087082266808,-18.740899961441755,-25.28673939779401,-26.82765804231167,-9.47277794033289,-10.438355639576912,-25.286582220345736,-26.82774057239294
Audioset,712,-0.43589621782302856,-4.760399341583252,-48.07210922241211,-31.602571487426758,-7.465997695922852,-13.926384925842285,-48.05738067626953,-31.602092742919922,-0.2990318536758423,-4.897263810038567,-47.89869183301926,-31.704021364450455,-7.3703173622488976,-14.155770540237427,-47.88396544754505,-31.7035431265831
