dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-3.4581382274627686,-0.6063377261161804,-30.239511489868164,-47.068023681640625,-10.793448448181152,-10.325687408447266,-30.23977279663086,-47.06365966796875,-3.9163334667682648,-0.14814254641532898,-30.694743633270264,-46.60656836628914,-11.28825518488884,-9.911582261323929,-30.695002645254135,-46.60217037796974
ESC50,228,-2.563188314437866,-11.160449981689453,-40.78258514404297,-24.939464569091797,-25.968568801879883,-11.202249526977539,-40.76167678833008,-24.94050407409668,-2.58294091373682,-11.140697104856372,-41.06293523311615,-25.181461453437805,-26.341035664081573,-11.555063903331757,-41.04201036691666,-25.182484328746796
ESC50,51,-1.4099246263504028,-7.629790306091309,-41.40628433227539,-58.616363525390625,-16.619213104248047,-17.887311935424805,-41.36528396606445,-57.93439865112305,-2.004567325115204,-7.035147428512573,-41.99229580163956,-58.011828660964966,-17.245395243167877,-17.32817566394806,-41.95130902528763,-57.32987177371979
ESC50,1518,-10.347003936767578,-17.70444679260254,-32.29605484008789,-19.263317108154297,-12.6356840133667,-3.8152966499328613,-32.23762130737305,-19.262540817260742,-8.931532621383667,-19.11991810798645,-30.899697422981262,-20.697001218795776,-11.25268292427063,-5.280727028846741,-30.84341049194336,-20.693368792533875
ESC50,563,-14.332919120788574,-7.892139434814453,-23.16084861755371,-34.08933639526367,-15.251418113708496,-15.414397239685059,-23.1606502532959,-34.08915710449219,-14.359242869541049,-7.865815846249461,-23.146796230226755,-34.0224200412631,-15.29675616696477,-15.38918143697083,-23.14661838300526,-34.022232346236706
ESC50,501,-5.313243865966797,-0.11417114734649658,-20.85237693786621,-25.957338333129883,-12.480921745300293,-12.133359909057617,-20.85320281982422,-25.95691680908203,-5.323200612328947,-0.10421435348689556,-20.895652659237385,-25.980828335508704,-12.539984285831451,-12.201664172112942,-20.896535951644182,-25.98041401989758
ESC50,457,-0.09154163300991058,-2.219677209854126,-40.472145080566406,-23.952646255493164,-18.45608139038086,-7.783919811248779,-40.457733154296875,-23.952632904052734,-0.08773498679511249,-2.2234838847070932,-40.48576663713902,-23.973883897066116,-18.522896245121956,-7.841565303504467,-40.47136400081217,-23.973862819373608
ESC50,285,-4.7049455642700195,-2.8989453315734863,-50.492069244384766,-26.127408981323242,-12.06056022644043,-11.011048316955566,-50.49208068847656,-26.127477645874023,-4.329616338014603,-3.2742747366428375,-50.15250816941261,-26.535558104515076,-11.755505532026291,-11.489046186208725,-50.15251961350441,-26.535626769065857
ESC50,1508,-0.39529407024383545,-5.002284049987793,-50.71727752685547,-18.4184513092041,-18.489974975585938,-10.111288070678711,-50.7162971496582,-18.41844940185547,0.8934437036514282,-6.291021704673767,-49.53229224681854,-19.78453826904297,-17.375633001327515,-11.513629078865051,-49.53131151199341,-19.784536361694336
ESC50,209,-0.7736493945121765,-0.8405064344406128,-36.17327880859375,-36.8213005065918,-21.627538681030273,-16.421314239501953,-36.17443084716797,-36.811737060546875,-0.8457585200667381,-0.7683974876999855,-36.221406519412994,-36.724703282117844,-21.710060127079487,-16.37141578644514,-36.22251759842038,-36.71520176529884
