dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-0.19001127779483795,-2.078930616378784,-22.19871711730957,-28.969024658203125,-11.590435981750488,-11.031618118286133,-22.198650360107422,-28.969074249267578,-0.18091293144971132,-2.0880293156951666,-22.195614093448967,-28.98410394601524,-11.605034754611552,-11.072133507579565,-22.19554396858439,-28.984150959178805
Music,204,-0.4887266457080841,-1.8928731679916382,-42.796939849853516,-26.887971878051758,-15.434497833251953,-20.50298500061035,-42.79646301269531,-26.8879337310791,-0.48675290984101593,-1.8948467834852636,-42.77025268226862,-26.86524286866188,-15.420361877419055,-20.544955924153328,-42.769775584340096,-26.8652049805969
Music,2253,0.062151629477739334,-0.7673161029815674,-18.22756004333496,-51.16813278198242,-7.981930732727051,-8.919220924377441,-18.22817039489746,-51.16809844970703,0.06336170819122344,-0.7685258446726948,-18.214849571697414,-51.15790147706866,-7.972778809256852,-8.914595725946128,-18.21548744291067,-51.157839640975
Music,2006,-2.1859042644500732,-5.235225677490234,-34.907318115234375,-18.088876724243164,-8.497831344604492,-9.797965049743652,-34.907352447509766,-18.088886260986328,-2.187056554830633,-5.234073599101976,-34.92914612963796,-18.108405647799373,-8.54073142632842,-9.847395822405815,-34.92917840182781,-18.108416732400656
Music,1828,-0.49720171093940735,-0.7029786705970764,-65.26791381835938,-32.58418655395508,-18.898948669433594,-15.855265617370605,-65.26751708984375,-32.584259033203125,-0.4975169905810617,-0.7026636269292794,-65.27068428625353,-32.586325243581086,-18.92088708281517,-15.869207905605435,-65.2702875577379,-32.58639772282913
Music,1143,-2.6571691036224365,-2.7463531494140625,-33.69841766357422,-28.535232543945312,-15.012577056884766,-8.715126037597656,-33.69626235961914,-28.537256240844727,-2.656759827194037,-2.746762646129355,-33.68009451031685,-28.51648798584938,-15.017204246949404,-8.73712096363306,-33.67753496021032,-28.519347175955772
Music,839,-0.4211447238922119,-0.9711769223213196,-34.998416900634766,-17.8013973236084,-18.656782150268555,-4.834383010864258,-34.99845886230469,-17.801414489746094,-0.4206072979141027,-0.9717142817680724,-35.08275441080332,-17.88679998368025,-18.750640362501144,-4.94525982439518,-35.08279637247324,-17.886817149817944
Music,4467,-6.044852256774902,-11.1366548538208,-42.723243713378906,-31.01624298095703,-10.58382797241211,-9.536205291748047,-42.73936462402344,-31.01648712158203,-6.0445812222315,-11.136926130304346,-42.7124205166474,-31.006864211522043,-10.579399451613426,-9.591215502470732,-42.72904769331217,-31.006712719798088
Music,712,-0.7202497124671936,-1.1504451036453247,-29.109508514404297,-39.83790969848633,-15.489259719848633,-22.243881225585938,-29.10946273803711,-39.83789825439453,-0.7223040545359254,-1.148390566231683,-29.309870943427086,-40.03425493836403,-15.749303072690964,-22.59315913915634,-29.30982369184494,-40.03424349427223
Music,4837,-2.6999335289001465,-0.02319248393177986,-29.27383041381836,-66.81185913085938,-16.17075538635254,-20.783369064331055,-29.273832321166992,-66.81974792480469,-2.7003611440595705,-0.022764567809645087,-29.292296459898353,-66.82947293482721,-16.20668936148286,-20.81181369908154,-29.29230043105781,-66.83736172877252
Music,3456,-5.787375450134277,-1.0455797910690308,-31.502857208251953,-42.25450897216797,-9.305475234985352,-17.561166763305664,-31.50284767150879,-42.25578308105469,-5.79021783452481,-1.0427373584825546,-31.514934840612113,-42.26090172305703,-9.326223153620958,-17.58531567454338,-31.514922205358744,-42.262178416829556
