dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-3.357262134552002,-17.996326446533203,-52.32914352416992,-37.49353790283203,-23.929262161254883,-26.93585205078125,-52.332801818847656,-37.49235916137695,6.508361339569092,-27.86194896697998,-42.525973320007324,-47.36563682556152,-14.347535133361816,-36.820701599121094,-42.529595375061035,-47.364460945129395
VGGSound,114,-2.9861207008361816,-5.489739418029785,-58.07831573486328,-41.227745056152344,-24.057647705078125,-13.501832962036133,-58.071861267089844,-41.22831726074219,3.4481124877929688,-11.923972606658936,-51.62938690185547,-47.65863800048828,-17.6845645904541,-19.951690673828125,-51.622910022735596,-47.65921211242676
VGGSound,25,-3.9026951789855957,-8.806402206420898,-21.59817886352539,-29.99773406982422,-16.60133171081543,-7.99287748336792,-21.598203659057617,-30.00722885131836,-3.6295785903930664,-9.079518854618073,-21.334783881902695,-30.276943892240524,-16.368098840117455,-8.307987034320831,-21.333285212516785,-30.28804436326027
VGGSound,759,-23.316442489624023,-6.421973705291748,-59.804744720458984,-47.13180923461914,-28.797069549560547,-18.681529998779297,-59.77939224243164,-47.13115310668945,-19.40911626815796,-10.329300165176392,-55.92308568954468,-51.04959416389465,-24.96056580543518,-22.620770931243896,-55.89773631095886,-51.04893779754639
VGGSound,281,-1.8557143211364746,-6.8640642166137695,-33.479835510253906,-59.24261474609375,-19.583553314208984,-22.69275665283203,-33.47971725463867,-59.24437713623047,-8.928177833557129,0.20839881896972656,-40.52853775024414,-52.04761457443237,-26.651841163635254,-15.576573371887207,-40.52841234207153,-52.049405574798584
VGGSound,250,-2.400489091873169,-0.6312626600265503,-31.373422622680664,-28.418811798095703,-23.422319412231445,-15.545088768005371,-30.848175048828125,-28.418846130371094,-6.980781316757202,3.949029564857483,-35.77580976486206,-24.034546375274658,-28.031147480010986,-11.00229263305664,-35.433438301086426,-23.852810382843018
VGGSound,228,-6.076901435852051,-6.02642297744751,-30.04772186279297,-33.3687744140625,-19.492273330688477,-12.391103744506836,-30.04401206970215,-33.3687858581543,-1.8407855033874512,-10.26253890991211,-25.78247308731079,-37.59397506713867,-15.270464420318604,-16.624925136566162,-25.778793811798096,-37.59395217895508
VGGSound,142,-1.839025616645813,-15.979310035705566,-22.073909759521484,-27.706621170043945,-10.77817440032959,-19.84067153930664,-22.074077606201172,-27.7066707611084,7.1979769468307495,-25.01631259918213,-13.036828994750977,-36.74361705780029,-1.8763723373413086,-28.891860008239746,-13.037004470825195,-36.7436637878418
VGGSound,754,-1.4611613750457764,-4.196447372436523,-56.47629165649414,-22.235124588012695,-24.920795440673828,-8.562117576599121,-56.474002838134766,-22.23516082763672,3.2343509197235107,-8.891960144042969,-51.72620344161987,-26.912203788757324,-20.20716667175293,-13.259710788726807,-51.72391414642334,-26.912238121032715
VGGSound,104,-1.5091979503631592,-0.5132169127464294,-17.20718002319336,-55.506534576416016,-5.772900581359863,-12.617980003356934,-17.207881927490234,-55.56280517578125,4.3515026569366455,-6.373917996883392,-11.349502086639404,-61.36800956726074,0.05575084686279297,-18.4881591796875,-11.350203514099121,-61.4242901802063
VGGSound,692,-1.0052711963653564,-4.184866428375244,-23.788679122924805,-50.19784927368164,-10.338971138000488,-12.966432571411133,-23.788700103759766,-50.19782257080078,1.055039644241333,-6.245177268981934,-21.7134428024292,-52.24891757965088,-8.36112117767334,-15.043946981430054,-21.713486671447754,-52.24886703491211
VGGSound,758,-0.6575583815574646,-0.9734824895858765,-39.36365509033203,-41.33186340332031,-22.534021377563477,-16.614286422729492,-39.3634147644043,-41.32079315185547,0.7596195340156555,-2.390660285949707,-37.903963685035706,-42.7180677652359,-21.104381322860718,-18.023935437202454,-37.9035439491272,-42.70720565319061
VGGSound,913,-3.870260715484619,-7.612456321716309,-29.423444747924805,-30.408340454101562,-15.634967803955078,-15.115999221801758,-29.42445945739746,-30.408620834350586,4.584140300750732,-16.06685733795166,-20.876527786254883,-38.84971046447754,-7.224525451660156,-23.572378158569336,-20.877614974975586,-38.84994602203369
VGGSound,558,-0.04886494576931,-3.6870579719543457,-46.82338333129883,-31.68753433227539,-24.70172691345215,-10.216327667236328,-46.826087951660156,-31.687541961669922,4.40334452688694,-8.139267444610596,-42.348328590393066,-36.131564140319824,-20.247612953186035,-14.680109977722168,-42.35103416442871,-36.131571769714355
VGGSound,89,-7.639742851257324,-0.8171590566635132,-45.15770721435547,-60.65666580200195,-15.08059024810791,-23.45870590209961,-45.158447265625,-60.65985870361328,-8.621068000793457,0.16416597366333008,-46.182993054389954,-59.73042714595795,-16.134023904800415,-22.560914039611816,-46.18374574184418,-59.73358190059662
VGGSound,604,-6.485291004180908,-16.678722381591797,-29.458772659301758,-53.709415435791016,-16.425586700439453,-17.453857421875,-29.458171844482422,-53.724609375,4.23037576675415,-27.394389152526855,-18.734248161315918,-64.4243335723877,-5.871298789978027,-28.18094825744629,-18.733635902404785,-64.43952369689941
VGGSound,432,-4.048959732055664,-1.5436198711395264,-47.10368347167969,-25.770309448242188,-19.4863338470459,-15.624659538269043,-47.10404968261719,-25.77039337158203,-0.8805758953094482,-4.712003707885742,-43.91096782684326,-28.926979780197144,-16.320881843566895,-18.79724383354187,-43.911335468292236,-28.927063703536987
