dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audiocaps,912,-0.06344248354434967,-0.5561891794204712,-31.017532348632812,-24.366628646850586,-22.330909729003906,-12.887165069580078,-31.017616271972656,-24.366802215576172,-0.1054714135825634,-0.5141601748764515,-31.060256492346525,-24.32530216872692,-22.395918138325214,-12.87190194427967,-31.060338873416185,-24.325475737452507
Audiocaps,204,-0.12857921421527863,-0.8918212652206421,-60.42941665649414,-27.358797073364258,-25.051815032958984,-10.292354583740234,-60.43058395385742,-27.358789443969727,0.6506471484899521,-1.6710476279258728,-59.64518219232559,-28.133839905261993,-24.292846143245697,-11.091966032981873,-59.64634919166565,-28.133830547332764
Audiocaps,2253,-0.6121742129325867,-0.7698540687561035,-23.675395965576172,-35.592323303222656,-9.803403854370117,-18.477672576904297,-23.675384521484375,-35.59523391723633,-0.5775027461349964,-0.8045257143676281,-23.65066177211702,-35.636580005288124,-9.804546254104935,-18.547575928270817,-23.65050844475627,-35.63962180912495
Audiocaps,2006,-0.16868597269058228,-0.7198042273521423,-42.99812698364258,-22.581560134887695,-21.078048706054688,-9.553327560424805,-42.99885177612305,-22.581510543823242,-0.16937344963662326,-0.7191169005236588,-42.990387953817844,-22.57244285196066,-21.114004213362932,-9.575190611183643,-42.99111222755164,-22.572394298389554
Audiocaps,1828,-0.1692086160182953,-0.20940560102462769,-37.30171203613281,-22.325904846191406,-17.49631118774414,-15.174466133117676,-37.30168533325195,-22.325899124145508,-0.3174002915620804,-0.061213865876197815,-37.41475275158882,-22.141337290406227,-17.652806669473648,-15.028801575303078,-37.41472452878952,-22.141331285238266
Audiocaps,1143,-0.5968338847160339,-0.29398101568222046,-27.804000854492188,-54.81439208984375,-13.661378860473633,-20.007381439208984,-27.803983688354492,-54.814300537109375,-0.6066165547817945,-0.28419805131852627,-27.81310730241239,-54.803932186216116,-13.695908207446337,-20.022425796836615,-27.813088587485254,-54.80384063348174
Audiocaps,839,-0.14896641671657562,-0.2637968361377716,-39.949790954589844,-43.46732711791992,-24.990827560424805,-22.811859130859375,-39.949310302734375,-43.46240234375,-0.17524487897753716,-0.2375183030962944,-40.0821702927351,-43.5477734208107,-25.147346168756485,-22.95007784664631,-40.08168964087963,-43.54285931587219
Audiocaps,4467,-1.8194546699523926,0.038939639925956726,-25.159719467163086,-20.15118408203125,-10.577325820922852,-11.31680965423584,-25.15972137451172,-20.151241302490234,-1.8940398171544075,0.11352463066577911,-25.234381452202797,-20.07667887955904,-10.664457656443119,-11.249517254531384,-25.234384894371033,-20.076736100018024
Audiocaps,712,-1.0400290489196777,-0.5684831738471985,-32.37710952758789,-25.245624542236328,-13.343562126159668,-10.621509552001953,-32.37717056274414,-25.245655059814453,-0.9936603270471096,-0.6148517653346062,-32.29749835282564,-25.259105717763305,-13.28867408260703,-10.657593954354525,-32.29755911231041,-25.259136751294136
Audiocaps,3456,-0.1513301432132721,-1.3161574602127075,-34.55418395996094,-20.20827293395996,-22.41855812072754,-3.977536201477051,-34.55414581298828,-20.208274841308594,-0.48816099762916565,-0.9793269038200378,-34.97338092327118,-19.960210472345352,-22.86487126350403,-3.773728147149086,-34.973252952098846,-19.960291042923927
Audiocaps,260,-0.10423815995454788,-0.5439541935920715,-39.45366668701172,-25.317535400390625,-16.551252365112305,-12.415473937988281,-39.45357894897461,-25.317523956298828,-0.11673241201788187,-0.5314599787816405,-39.48456633836031,-25.323499055113643,-16.60183521732688,-12.444004340097308,-39.484480142593384,-25.323487093672156
Audiocaps,244,-0.06625946611166,-0.7471427917480469,-49.883705139160156,-38.41053771972656,-20.36514663696289,-17.321840286254883,-49.882511138916016,-38.41044998168945,-0.003983341157436371,-0.8094189502298832,-49.84218579158187,-38.49327751994133,-20.338045965880156,-17.416972622275352,-49.84099257364869,-38.49318824708462
Audiocaps,767,-0.2579626739025116,-0.15173490345478058,-43.193050384521484,-28.46198844909668,-19.068342208862305,-9.807924270629883,-43.19330596923828,-28.461997985839844,-0.2690272433683276,-0.14067035913467407,-43.20402096863836,-28.45082969777286,-19.107076853513718,-9.844642039388418,-43.20427655335516,-28.450837938115
