dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Audioset,5238,-0.11627131700515747,-0.24488982558250427,-44.3726921081543,-22.168855667114258,-17.917396545410156,-9.895459175109863,-44.37215805053711,-22.16073989868164,-0.18108469247817993,-0.1800762638449669,-44.53762924671173,-22.2055545412004,-18.221710801124573,-10.034207999706268,-44.53704833984375,-22.19749164953828
Audioset,912,-0.5364350080490112,-0.5060209035873413,-21.802623748779297,-24.9853515625,-9.658380508422852,-8.672759056091309,-21.802614212036133,-24.985321044921875,-0.5425196411088109,-0.4999365471303463,-21.915072739124298,-25.085780687630177,-9.887783229351044,-8.8923928886652,-21.915067233145237,-25.085751183331013
Audioset,204,-3.636173725128174,-1.2653329372406006,-33.12334060668945,-73.09001922607422,-10.85201358795166,-16.96092414855957,-33.12343978881836,-73.06914520263672,-3.726814590394497,-1.1746919974684715,-32.99951907992363,-72.78027054667473,-10.835860507562757,-16.942806899547577,-32.99962145835161,-72.75940346717834
Audioset,2253,-0.16015839576721191,-1.2478034496307373,-56.42070007324219,-23.58538055419922,-16.43475914001465,-10.894360542297363,-56.420997619628906,-23.58538055419922,-0.055283039808273315,-1.352679044008255,-56.26476660370827,-23.640422627329826,-16.4087031185627,-11.07521678507328,-56.265063881874084,-23.640423648059368
Audioset,2006,-0.21638384461402893,0.020205587148666382,-46.941558837890625,-15.300198554992676,-14.13167953491211,-2.4727871417999268,-46.941715240478516,-15.300312995910645,1.1450543105602264,-1.3412322103977203,-45.5730117559433,-16.65643620491028,-12.850600719451904,-3.9167975187301636,-45.573164105415344,-16.656554102897644
Audioset,1828,-10.360888481140137,-10.713741302490234,-34.63985824584961,-29.805992126464844,-12.56269359588623,-14.169669151306152,-34.63047409057617,-29.938180923461914,-10.341260941699147,-10.73336866684258,-34.741884149610996,-29.946784809231758,-12.821977287530899,-14.519632756710052,-34.732536405324936,-30.078954055905342
Audioset,1143,-3.8294174671173096,-6.732451915740967,-37.6630973815918,-42.530426025390625,-11.733567237854004,-6.412045001983643,-37.66332244873047,-42.52833557128906,-3.825977671891451,-6.735891833668575,-37.52537351846695,-42.39969290792942,-11.72240103315562,-6.4459299854934216,-37.52556785941124,-42.397569105029106
Audioset,839,-18.44573402404785,-17.084529876708984,-43.5302734375,-30.31165313720703,-7.250481128692627,-9.903070449829102,-43.51893615722656,-30.310909271240234,-18.41475060582161,-17.115513319149613,-43.49285685643554,-30.34911685809493,-7.25335092889145,-9.950144723057747,-43.48731134086847,-30.341256285086274
Audioset,4467,-5.17704963684082,-1.2339075803756714,-24.1197566986084,-16.975587844848633,-8.692268371582031,-10.839180946350098,-24.11974334716797,-16.975595474243164,-5.124176166951656,-1.2867811135947704,-24.09458928182721,-17.055845603346825,-8.771153070032597,-11.027088358998299,-24.094580877572298,-17.055846117436886
Audioset,712,-0.5869137048721313,-1.5369266271591187,-21.031734466552734,-13.019357681274414,-8.005766868591309,-9.023321151733398,-21.03173828125,-13.019375801086426,-0.45004934072494507,-1.6737910956144333,-20.85831707715988,-13.120807558298111,-7.910086534917355,-9.25270676612854,-20.85832305252552,-13.120826184749603
Audioset,4837,-0.5341390371322632,-0.20934639871120453,-34.5149040222168,-26.752519607543945,-7.638814926147461,-10.306087493896484,-34.51539611816406,-26.75228500366211,-0.3608412742614746,-0.38264405727386475,-34.58298049867153,-27.157978743314743,-7.911808907985687,-10.86712384223938,-34.58346597105265,-27.15775689482689
Audioset,3456,-1.4609429836273193,-1.3277266025543213,-38.46419143676758,-23.89864158630371,-16.589900970458984,-2.3512399196624756,-38.465885162353516,-23.898611068725586,-1.3710415363311768,-1.4176281690597534,-38.37558104842901,-23.989821895956993,-16.652088038623333,-2.607375890016556,-38.37728534638882,-23.989787325263023
