dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
ESC50,1309,-0.2508908808231354,-0.34376221895217896,-56.66351318359375,-33.6744499206543,-16.329225540161133,-11.371603012084961,-56.606971740722656,-33.6751823425293,-0.7090861201286316,0.11443296074867249,-57.11874532699585,-33.21299460530281,-16.82403227686882,-10.957497864961624,-57.06220158934593,-33.21369305253029
ESC50,228,-0.11090967804193497,-1.1944235563278198,-38.60259246826172,-23.560394287109375,-17.768516540527344,-4.08236837387085,-38.601009368896484,-23.561019897460938,-0.13066227734088898,-1.1746706794947386,-38.8829425573349,-23.802391171455383,-18.140983402729034,-4.435182750225067,-38.88134294748306,-23.803000152111053
ESC50,51,-0.6955516934394836,-0.22665120661258698,-55.28275680541992,-28.80925941467285,-17.68628692626953,-8.503002166748047,-55.215606689453125,-28.8128719329834,-1.2901943922042847,0.3679916709661484,-55.86876827478409,-28.204724550247192,-18.31246906518936,-7.943865895271301,-55.8016317486763,-28.20834505558014
ESC50,1518,-8.746339797973633,-12.104413986206055,-32.729007720947266,-14.293764114379883,-8.867077827453613,-3.839949131011963,-32.82444381713867,-14.293950080871582,-7.330868482589722,-13.519885301589966,-31.332650303840637,-15.727448225021362,-7.484076738357544,-5.305379509925842,-31.430233001708984,-15.724778056144714
ESC50,563,-8.30267333984375,-5.937090873718262,-24.310407638549805,-46.377960205078125,-14.023927688598633,-15.459123611450195,-24.310522079467773,-46.3773307800293,-8.328997088596225,-5.91076728515327,-24.29635525122285,-46.31104385107756,-14.069265741854906,-15.433907808735967,-24.296490209177136,-46.310406021773815
ESC50,501,-0.8934617042541504,-0.864634096622467,-29.453655242919922,-30.84288215637207,-8.863537788391113,-11.180830001831055,-29.45172119140625,-30.841066360473633,-0.9034184506163001,-0.854677302762866,-29.496930964291096,-30.86637215875089,-8.922600328922272,-11.24913426488638,-29.495054323226213,-30.86456357128918
ESC50,457,-0.14080938696861267,-0.34873855113983154,-33.88348388671875,-35.371212005615234,-17.10038185119629,-7.332555770874023,-33.881202697753906,-35.37114334106445,-0.13700274075381458,-0.3525452259927988,-33.897105443291366,-35.39244964718819,-17.167196705937386,-7.390201263129711,-33.894833544269204,-35.392373256385326
ESC50,285,-2.9363059997558594,-4.264449596405029,-49.59312057495117,-53.3353385925293,-12.681418418884277,-8.297713279724121,-49.59310531616211,-53.33366775512695,-2.5609767735004425,-4.6397790014743805,-49.25355949997902,-53.74348771572113,-12.376363724470139,-8.77571114897728,-49.25354424118996,-53.74181687831879
ESC50,1508,-0.42541030049324036,-0.10465215146541595,-42.08137130737305,-30.303800582885742,-21.464250564575195,-12.982851028442383,-42.081790924072266,-30.30375099182129,0.8633274734020233,-1.39338980615139,-40.89638602733612,-31.66988754272461,-20.349908590316772,-14.385192036628723,-40.89680528640747,-31.669837951660156
ESC50,209,-0.3022802472114563,-0.15961401164531708,-41.992984771728516,-49.00456619262695,-21.302108764648438,-16.912397384643555,-41.9914436340332,-49.51108169555664,-0.3743893727660179,-0.08750506490468979,-42.04111248254776,-48.907968968153,-21.38463021069765,-16.862498931586742,-42.039530385285616,-49.41454640030861
ESC50,1385,-0.47877371311187744,0.17996899783611298,-21.63224220275879,-12.966951370239258,-10.67325496673584,-1.9411479234695435,-21.632442474365234,-12.966577529907227,-0.48437906615436077,0.18557459628209472,-21.641049508936703,-12.96451248601079,-10.715415261685848,-1.9907021075487137,-21.641233247704804,-12.964160402305424
ESC50,1516,-1.220025658607483,-5.86171293258667,-26.387929916381836,-25.906661987304688,-10.870081901550293,-6.60088586807251,-26.388051986694336,-25.906667709350586,-1.1766111329197884,-5.9051265344023705,-26.347032006829977,-25.95256955176592,-10.869961553071334,-6.6748126447200775,-26.34715512022376,-25.952575273811817
ESC50,1827,-4.9986677169799805,-4.972743511199951,-22.836820602416992,-57.25192642211914,-13.766075134277344,-10.486820220947266,-22.83683204650879,-57.25105285644531,-4.973129786550999,-4.99828140810132,-22.81258336827159,-57.278728714212775,-13.792203607037663,-10.603122539818287,-22.812601320445538,-57.27788910642266
ESC50,1116,-0.48376888036727905,-0.1891389787197113,-28.31016731262207,-41.086116790771484,-12.912459373474121,-16.763629913330078,-28.37920570373535,-41.217674255371094,-0.7010229229927063,0.02811509370803833,-28.54531091451645,-40.887539118528366,-13.196036458015442,-16.60395486652851,-28.614285051822662,-41.01915754377842
ESC50,178,-5.890173435211182,-6.290247917175293,-21.992610931396484,-42.506996154785156,-9.264264106750488,-18.534881591796875,-21.992578506469727,-42.641510009765625,-5.942945189774036,-6.237475849688053,-22.045857295393944,-42.449702601879835,-9.328135550022125,-18.507079388946295,-22.043263994157314,-42.5866278745234
