dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
Music,912,-0.038397904485464096,-0.4144347310066223,-19.382322311401367,-43.8144645690918,-12.484718322753906,-9.867498397827148,-19.382280349731445,-43.81416320800781,-0.029299558140337467,-0.4235334303230047,-19.379219287540764,-43.82954385690391,-12.49931709561497,-9.90801378712058,-19.379173958208412,-43.82923991791904
Music,204,-0.33709660172462463,-1.7398823499679565,-28.21136474609375,-40.98731994628906,-16.003536224365234,-14.792314529418945,-28.211328506469727,-40.987335205078125,-0.33512286585755646,-1.741855965461582,-28.184677578508854,-40.964590936899185,-15.989400268532336,-14.834285452961922,-28.18464107811451,-40.96460645459592
Music,2253,0.1333785504102707,-0.47355127334594727,-14.210079193115234,-25.995044708251953,-6.980836391448975,-12.04425048828125,-14.210419654846191,-25.995044708251953,0.1345886291237548,-0.4747610150370747,-14.197368721477687,-25.984813403338194,-6.9716844679787755,-12.039625289849937,-14.197736702859402,-25.98478589951992
Music,2006,-0.6247912049293518,-0.7104350328445435,-24.53119659423828,-30.726472854614258,-10.090153694152832,-13.519227981567383,-24.531190872192383,-30.726463317871094,-0.6259434953099117,-0.7092829544562846,-24.553024608641863,-30.746001778170466,-10.13305377587676,-13.568658754229546,-24.55301682651043,-30.74599378928542
Music,1828,-0.32906338572502136,-0.352892130613327,-28.891220092773438,-28.672534942626953,-15.371941566467285,-15.115826606750488,-28.891197204589844,-28.67259979248047,-0.3293786653666757,-0.35257708694553,-28.89399056066759,-28.67467363225296,-15.393879979848862,-15.129768894985318,-28.893967672483996,-28.674738482106477
Music,1143,-1.1665937900543213,-0.3582252860069275,-28.32819175720215,-28.284608840942383,-12.346267700195312,-10.288134574890137,-28.327627182006836,-28.290796279907227,-1.1661845136259217,-0.3586347827222198,-28.30986860394478,-28.26586428284645,-12.350894890259951,-10.310129500925541,-28.30889978259802,-28.272887215018272
Music,839,-0.2971523106098175,-0.4876372218132019,-26.638164520263672,-16.54829216003418,-19.4949951171875,-3.2597689628601074,-26.638202667236328,-16.548307418823242,-0.29661488463170826,-0.4881745812599547,-26.722502030432224,-16.63369482010603,-19.58885332942009,-3.3706457763910294,-26.72254017740488,-16.633710078895092
Music,4467,-1.3126016855239868,-1.8574318885803223,-39.94208908081055,-33.22452926635742,-13.116808891296387,-13.993019104003906,-39.92440414428711,-33.224937438964844,-1.3123306509805843,-1.8577031650638673,-39.93126588407904,-33.21515049692243,-13.112380370497704,-14.048029314726591,-39.91408721357584,-33.2151630371809
Music,712,-0.16730563342571259,-0.09940322488546371,-48.788047790527344,-30.95697784423828,-17.173770904541016,-14.690400123596191,-48.78886795043945,-30.957027435302734,-0.16935997549444437,-0.0973486874718219,-48.98841021955013,-31.153323084115982,-17.433814257383347,-15.039678037166595,-48.989228904247284,-31.153372675180435
Music,4837,-0.17598234117031097,-0.407907098531723,-26.08464813232422,-45.43903350830078,-12.850592613220215,-12.135625839233398,-26.084667205810547,-45.43843078613281,-0.176409956329735,-0.40747918240958825,-26.103114178404212,-45.456647312268615,-12.886526588350534,-12.164070473983884,-26.103135315701365,-45.456044590100646
