dataset_name,idx,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,654,-5.888218402862549,-0.8516322374343872,-27.196861267089844,-49.23955535888672,-8.817350387573242,-20.390932083129883,-27.19871711730957,-49.37499237060547,3.977405071258545,-10.717254757881165,-17.393691062927246,-59.11165428161621,0.7643766403198242,-30.275781631469727,-17.39551067352295,-59.24709415435791
VGGSound,114,-2.2793917655944824,-5.130937099456787,-49.37923049926758,-42.31125259399414,-24.96356201171875,-12.22461986541748,-49.3778190612793,-42.31032943725586,4.154841423034668,-11.565170288085938,-42.930301666259766,-48.74214553833008,-18.590478897094727,-18.674477577209473,-42.92886781692505,-48.74122428894043
VGGSound,25,-1.0447819232940674,-0.9336426258087158,-32.466434478759766,-29.165851593017578,-19.64421272277832,-9.144770622253418,-32.46651077270508,-29.169029235839844,-0.7716653347015381,-1.20675927400589,-32.20303949713707,-29.445061415433884,-19.410979852080345,-9.45988017320633,-32.201592326164246,-29.449844747781754
VGGSound,759,-2.606968641281128,-3.8908610343933105,-64.6365966796875,-49.28724670410156,-24.55604362487793,-18.424360275268555,-64.63174438476562,-49.28762435913086,1.3003575801849365,-7.798187494277954,-60.75493764877319,-53.205031633377075,-20.719539880752563,-22.363601207733154,-60.75008845329285,-53.20540904998779
VGGSound,281,-1.0551677942276,-1.926889181137085,-35.96437072753906,-42.584686279296875,-18.564435958862305,-23.076580047607422,-35.964508056640625,-42.584781646728516,-8.127631306648254,5.145573854446411,-43.0130729675293,-35.3896861076355,-25.632723808288574,-15.960396766662598,-43.013203144073486,-35.38981008529663
VGGSound,250,-0.04326653480529785,-1.194399356842041,-38.94422149658203,-22.430627822875977,-21.852445602416992,-15.533246040344238,-40.484046936035156,-22.430557250976562,-4.623558759689331,3.385892868041992,-43.34660863876343,-18.04636240005493,-26.461273670196533,-10.990449905395508,-45.06931018829346,-17.864521503448486
VGGSound,228,-4.777553081512451,-1.3257040977478027,-47.146453857421875,-28.920379638671875,-21.330419540405273,-12.076072692871094,-47.17798614501953,-28.920394897460938,-0.5414371490478516,-5.561820030212402,-42.8812050819397,-33.14558029174805,-17.1086106300354,-16.30989408493042,-42.91276788711548,-33.14556121826172
VGGSound,142,-2.7082319259643555,-0.5899137854576111,-43.78416442871094,-34.03257751464844,-18.26378631591797,-20.68429946899414,-43.78467559814453,-34.03220748901367,6.328770637512207,-9.626916348934174,-34.74708366394043,-43.069573402404785,-9.361984252929688,-29.735487937927246,-34.747602462768555,-43.06920051574707
VGGSound,754,-0.4548998177051544,-5.478959560394287,-48.93933868408203,-17.20794677734375,-24.816604614257812,-7.399998664855957,-48.94139862060547,-17.20794677734375,4.240612477064133,-10.174472332000732,-44.189250469207764,-21.88502597808838,-20.102975845336914,-12.097591876983643,-44.19130992889404,-21.885024070739746
VGGSound,104,-1.4293123483657837,-0.24987338483333588,-50.605064392089844,-47.51363754272461,-12.943719863891602,-11.152705192565918,-50.602294921875,-47.4924430847168,4.431388258934021,-6.110574468970299,-44.74738645553589,-53.375112533569336,-7.115068435668945,-17.022884368896484,-44.74461650848389,-53.353928089141846
